"no_fonte_dados","dh_medicao","nu_iqar","nu_concentracao","st_situacao","cd_flag","ds_flag","st_situacao_iqar","no_item_monitorado","cd_normalizado","id_estacao","cod_estacao","no_estacao","nu_latitude","nu_longitude","st_estacao","id_municipio","no_municipio","sg_uf","ano","data","hora","dh_arredondado","data_fechada","hora_fechada"
NA,"2021-06-28 18:00:00",NA,1,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"18:00:00",2021-06-28 18:00:00,2021-06-28,"18:00:00"
NA,"2021-06-28 19:00:00",NA,1,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"19:00:00",2021-06-28 19:00:00,2021-06-28,"19:00:00"
NA,"2021-06-28 20:00:00",NA,15,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"20:00:00",2021-06-28 20:00:00,2021-06-28,"20:00:00"
NA,"2021-06-28 21:00:00",NA,17,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"21:00:00",2021-06-28 21:00:00,2021-06-28,"21:00:00"
NA,"2021-06-28 22:00:00",NA,16,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"22:00:00",2021-06-28 22:00:00,2021-06-28,"22:00:00"
NA,"2021-06-28 23:00:00",NA,9,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-28,"23:00:00",2021-06-28 23:00:00,2021-06-28,"23:00:00"
NA,"2021-06-29 00:00:00",NA,10,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-29,"00:00:00",2021-06-29,2021-06-29,"00:00:00"
NA,"2021-06-29 01:00:00",NA,13,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-29,"01:00:00",2021-06-29 01:00:00,2021-06-29,"01:00:00"
NA,"2021-06-29 02:00:00",NA,12,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-29,"02:00:00",2021-06-29 02:00:00,2021-06-29,"02:00:00"
NA,"2021-06-29 03:00:00",NA,6,NA,NA,NA,NA,"Material Particulado com diâmetro de até 10 μm","MP10",NA,"15","CPRH",NA,NA,NA,NA,NA,"PE",2021,2021-06-29,"03:00:00",2021-06-29 03:00:00,2021-06-29,"03:00:00"
