"arquivo","disponivel_localmente","coluna"
"Dados_MonitorAr_2023.csv",TRUE,"no_fonte_dados"
"Dados_MonitorAr_2023.csv",TRUE,"dh_medicao"
"Dados_MonitorAr_2023.csv",TRUE,"nu_iqar"
"Dados_MonitorAr_2023.csv",TRUE,"nu_concentracao"
"Dados_MonitorAr_2023.csv",TRUE,"st_situacao"
"Dados_MonitorAr_2023.csv",TRUE,"cd_flag"
"Dados_MonitorAr_2023.csv",TRUE,"ds_flag"
"Dados_MonitorAr_2023.csv",TRUE,"st_situacao_iqar"
"Dados_MonitorAr_2023.csv",TRUE,"no_item_monitorado"
"Dados_MonitorAr_2023.csv",TRUE,"cd_normalizado"
"Dados_MonitorAr_2023.csv",TRUE,"id_estacao"
"Dados_MonitorAr_2023.csv",TRUE,"cod_estacao"
"Dados_MonitorAr_2023.csv",TRUE,"no_estacao"
"Dados_MonitorAr_2023.csv",TRUE,"nu_latitude"
"Dados_MonitorAr_2023.csv",TRUE,"nu_longitude"
"Dados_MonitorAr_2023.csv",TRUE,"st_estacao"
"Dados_MonitorAr_2023.csv",TRUE,"id_municipio"
"Dados_MonitorAr_2023.csv",TRUE,"no_municipio"
"Dados_MonitorAr_2023.csv",TRUE,"sg_uf"
"Dados_MonitorAr_2024.csv",TRUE,"no_fonte_dados"
"Dados_MonitorAr_2024.csv",TRUE,"dh_medicao"
"Dados_MonitorAr_2024.csv",TRUE,"nu_iqar"
"Dados_MonitorAr_2024.csv",TRUE,"nu_concentracao"
"Dados_MonitorAr_2024.csv",TRUE,"st_situacao_item"
"Dados_MonitorAr_2024.csv",TRUE,"cd_flag"
"Dados_MonitorAr_2024.csv",TRUE,"ds_flag"
"Dados_MonitorAr_2024.csv",TRUE,"st_situacao_iqar"
"Dados_MonitorAr_2024.csv",TRUE,"no_item_monitorado"
"Dados_MonitorAr_2024.csv",TRUE,"cd_normalizado"
"Dados_MonitorAr_2024.csv",TRUE,"id_estacao"
"Dados_MonitorAr_2024.csv",TRUE,"cod_estacao"
"Dados_MonitorAr_2024.csv",TRUE,"no_estacao"
"Dados_MonitorAr_2024.csv",TRUE,"nu_latitude"
"Dados_MonitorAr_2024.csv",TRUE,"nu_longitude"
"Dados_MonitorAr_2024.csv",TRUE,"st_estacao"
"Dados_MonitorAr_2024.csv",TRUE,"id_municipio"
"Dados_MonitorAr_2024.csv",TRUE,"no_municipio"
"Dados_MonitorAr_2024.csv",TRUE,"sg_uf"
"Dados_MonitorAr_2025.csv",TRUE,"no_fonte_dados"
"Dados_MonitorAr_2025.csv",TRUE,"dh_medicao"
"Dados_MonitorAr_2025.csv",TRUE,"nu_iqar"
"Dados_MonitorAr_2025.csv",TRUE,"nu_concentracao"
"Dados_MonitorAr_2025.csv",TRUE,"st_situacao"
"Dados_MonitorAr_2025.csv",TRUE,"cd_flag"
"Dados_MonitorAr_2025.csv",TRUE,"ds_flag"
"Dados_MonitorAr_2025.csv",TRUE,"st_situacao_iqar"
"Dados_MonitorAr_2025.csv",TRUE,"no_item_monitorado"
"Dados_MonitorAr_2025.csv",TRUE,"cd_normalizado"
"Dados_MonitorAr_2025.csv",TRUE,"id_estacao"
"Dados_MonitorAr_2025.csv",TRUE,"cod_estacao"
"Dados_MonitorAr_2025.csv",TRUE,"no_estacao"
"Dados_MonitorAr_2025.csv",TRUE,"nu_latitude"
"Dados_MonitorAr_2025.csv",TRUE,"nu_longitude"
"Dados_MonitorAr_2025.csv",TRUE,"st_estacao"
"Dados_MonitorAr_2025.csv",TRUE,"id_municipio"
"Dados_MonitorAr_2025.csv",TRUE,"no_municipio"
"Dados_MonitorAr_2025.csv",TRUE,"sg_uf"
