"ano","cod_estacao","no_estacao","n_registros","n_concentracao_informada","n_concentracao_ausente","n_dias_com_registro","n_meses_com_registro","n_horas_distintas","primeira_medicao","ultima_medicao","latitude_mediana","longitude_mediana","latitude_min","latitude_max","longitude_min","longitude_max","n_pares_coordenadas","origem_coordenada","fonte_registro","situacao_estacao","municipio","dias_teoricos_ano","horas_teoricas_ano","cobertura_bruta_dias_pct","cobertura_bruta_registros_pct","arquivo_origem","possui_registro"
2017,"12","IPOJUCA",3165,3165,0,156,6,24,2017-07-26,2017-12-30,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,365,8760,42.7397260273973,36.1301369863014,"PE2017.csv",TRUE
2017,"13","CUPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2017.csv",FALSE
2017,"14","IFPE",3787,3787,0,159,6,24,2017-07-26,2017-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,365,8760,43.5616438356164,43.2305936073059,"PE2017.csv",TRUE
2017,"15","CPRH",3271,3271,0,159,6,24,2017-07-26,2017-12-31,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,365,8760,43.5616438356164,37.3401826484018,"PE2017.csv",TRUE
2017,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2017.csv",FALSE
2017,"PE01","Gaibu",3495,3495,0,158,6,24,2017-07-26,2017-12-31,NA,NA,NA,NA,NA,NA,0,"Não disponível",NA,NA,NA,365,8760,43.2876712328767,39.8972602739726,"PE2017.csv",TRUE
2018,"12","IPOJUCA",6481,6481,0,306,12,24,2018-01-01,2018-12-31,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,365,8760,83.8356164383562,73.9840182648402,"PE2018.csv",TRUE
2018,"13","CUPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2018.csv",FALSE
2018,"14","IFPE",6595,6595,0,281,12,24,2018-01-01,2018-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,365,8760,76.986301369863,75.2853881278539,"PE2018.csv",TRUE
2018,"15","CPRH",4892,4892,0,271,12,24,2018-01-01,2018-12-31,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,365,8760,74.2465753424657,55.8447488584475,"PE2018.csv",TRUE
2018,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2018.csv",FALSE
2018,"PE01","Gaibu",6096,6096,0,277,12,24,2018-01-01,2018-12-31,NA,NA,NA,NA,NA,NA,0,"Não disponível",NA,NA,NA,365,8760,75.8904109589041,69.5890410958904,"PE2018.csv",TRUE
2019,"12","IPOJUCA",5570,5540,30,246,12,24,2019-01-01,2019-12-31,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,365,8760,67.3972602739726,63.5844748858447,"PE2019.csv",TRUE
2019,"13","CUPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2019.csv",FALSE
2019,"14","IFPE",5839,5839,0,250,12,24,2019-01-01,2019-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,365,8760,68.4931506849315,66.6552511415525,"PE2019.csv",TRUE
2019,"15","CPRH",4900,4900,0,244,12,24,2019-01-01,2019-12-31,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,365,8760,66.8493150684932,55.9360730593607,"PE2019.csv",TRUE
2019,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2019.csv",FALSE
2019,"PE01","Gaibu",6165,6165,0,278,12,24,2019-01-01,2019-12-31,NA,NA,NA,NA,NA,NA,0,"Não disponível",NA,NA,NA,365,8760,76.1643835616438,70.3767123287671,"PE2019.csv",TRUE
2020,"12","IPOJUCA",5238,5238,0,237,10,24,2020-01-01,2020-12-31,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,366,8784,64.7540983606557,59.6311475409836,"PE2020.csv",TRUE
2020,"13","CUPE",2513,2513,0,125,6,24,2020-07-26,2020-12-31,-8.3982145,-35.0535095,-8.3982145,-8.3982145,-35.0535095,-35.0535095,1,"Atribuída pela estação",NA,NA,NA,366,8784,34.1530054644809,28.6088342440801,"PE2020.csv",TRUE
2020,"14","IFPE",3513,3513,0,235,10,24,2020-01-01,2020-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,366,8784,64.207650273224,39.9931693989071,"PE2020.csv",TRUE
2020,"15","CPRH",2107,2107,0,107,4,24,2020-01-01,2020-04-20,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,366,8784,29.2349726775956,23.9867941712204,"PE2020.csv",TRUE
2020,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,8784,0,0,"PE2020.csv",FALSE
2020,"PE01","Gaibu",2561,2561,0,111,4,24,2020-01-01,2020-04-20,NA,NA,NA,NA,NA,NA,0,"Não disponível",NA,NA,NA,366,8784,30.327868852459,29.1552823315118,"PE2020.csv",TRUE
2021,"12","IPOJUCA",7726,7726,0,339,12,24,2021-01-01,2021-12-31,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,365,8760,92.8767123287671,88.1963470319635,"PE2021.csv",TRUE
2021,"13","CUPE",7952,7952,0,354,12,24,2021-01-01,2021-12-31,-8.3982145,-35.0535095,-8.3982145,-8.3982145,-35.0535095,-35.0535095,1,"Atribuída pela estação",NA,NA,NA,365,8760,96.986301369863,90.7762557077626,"PE2021.csv",TRUE
2021,"14","IFPE",4576,4576,0,215,8,24,2021-01-01,2021-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,365,8760,58.9041095890411,52.2374429223744,"PE2021.csv",TRUE
2021,"15","CPRH",4193,4193,0,185,7,24,2021-06-28,2021-12-31,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,365,8760,50.6849315068493,47.865296803653,"PE2021.csv",TRUE
2021,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2021.csv",FALSE
2021,"PE01","Gaibu",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2021.csv",FALSE
2022,"12","IPOJUCA",8275,8275,0,360,12,24,2022-01-01,2022-12-31,-8.4212395,-35.0389595,-8.4212395,-8.4212395,-35.0389595,-35.0389595,1,"Atribuída pela estação",NA,NA,NA,365,8760,98.6301369863014,94.4634703196347,"PE2022.csv",TRUE
2022,"13","CUPE",8055,8055,0,363,12,24,2022-01-01,2022-12-31,-8.3982145,-35.0535095,-8.3982145,-8.3982145,-35.0535095,-35.0535095,1,"Atribuída pela estação",NA,NA,NA,365,8760,99.4520547945205,91.9520547945205,"PE2022.csv",TRUE
2022,"14","IFPE",7865,7865,0,356,12,24,2022-01-01,2022-12-31,-8.3917245,-35.0530945,-8.3917245,-8.3917245,-35.0530945,-35.0530945,1,"Atribuída pela estação",NA,NA,NA,365,8760,97.5342465753425,89.7831050228311,"PE2022.csv",TRUE
2022,"15","CPRH",8061,8061,0,355,12,24,2022-01-01,2022-12-31,-8.3122785,-35.028395,-8.3122785,-8.3122785,-35.028395,-35.028395,1,"Atribuída pela estação",NA,NA,NA,365,8760,97.2602739726027,92.0205479452055,"PE2022.csv",TRUE
2022,"16","SUAPE",7902,7902,0,359,12,24,2022-01-01,2022-12-31,NA,NA,NA,NA,NA,NA,0,"Não disponível",NA,NA,NA,365,8760,98.3561643835616,90.2054794520548,"PE2022.csv",TRUE
2022,"PE01","Gaibu",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"PE2022.csv",FALSE
2023,"12","IPOJUCA",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2023,"13","CUPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2023,"14","IFPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2023,"15","CPRH",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2023,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2023,"PE01","Gaibu",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2023.csv",FALSE
2024,"12","IPOJUCA",3927,3927,0,182,9,24,2024-04-15,2024-12-31,-8.44359,-35.01403,-8.44359,-8.44359,-35.01403,-35.01403,1,"Original","CPRH | N/A","O","Ipojuca",366,8784,49.7267759562842,44.7062841530055,"Dados_MonitorAr_2024.csv",TRUE
2024,"13","CUPE",3242,3242,0,157,8,24,2024-05-21,2024-12-31,-8.39754,-35.04313,-8.39754,-8.39754,-35.04313,-35.04313,1,"Original","CPRH | N/A","O","Ipojuca",366,8784,42.896174863388,36.908014571949,"Dados_MonitorAr_2024.csv",TRUE
2024,"14","IFPE",1535,1535,0,116,8,24,2024-05-13,2024-12-31,-8.38456,-35.0423,-8.38456,-8.38456,-35.0423,-35.0423,1,"Original","CPRH | N/A","O","Ipojuca",366,8784,31.6939890710383,17.4749544626594,"Dados_MonitorAr_2024.csv",TRUE
2024,"15","CPRH",3115,3115,0,176,9,24,2024-04-15,2024-12-31,-8.33789,-35.02179,-8.33789,-8.33789,-35.02179,-35.02179,1,"Original","CPRH | N/A","O","Cabo de Santo Agostinho",366,8784,48.0874316939891,35.462204007286,"Dados_MonitorAr_2024.csv",TRUE
2024,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,8784,0,0,"Dados_MonitorAr_2024.csv",FALSE
2024,"PE01","Gaibu",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,8784,0,0,"Dados_MonitorAr_2024.csv",FALSE
2025,"12","IPOJUCA",7568,7568,0,337,12,24,2025-01-01,2025-12-31,-8.398889,-35.063889,-8.398889,-8.398889,-35.063889,-35.063889,1,"Original","CPRH","O","Ipojuca",365,8760,92.3287671232877,86.3926940639269,"Dados_MonitorAr_2025.csv",TRUE
2025,"13","CUPE",1655,1655,0,75,4,24,2025-01-01,2025-04-07,-8.398889,-35.063889,-8.398889,-8.398889,-35.063889,-35.063889,1,"Original","CPRH","O","Ipojuca",365,8760,20.5479452054795,18.8926940639269,"Dados_MonitorAr_2025.csv",TRUE
2025,"14","IFPE",1993,1993,0,178,12,24,2025-01-01,2025-12-31,-8.398889,-35.063889,-8.398889,-8.398889,-35.063889,-35.063889,1,"Original","CPRH","O","Ipojuca",365,8760,48.7671232876712,22.7511415525114,"Dados_MonitorAr_2025.csv",TRUE
2025,"15","CPRH",962,962,0,46,2,24,2025-01-01,2025-02-22,-8.286667,-35.035,-8.286667,-8.286667,-35.035,-35.035,1,"Original","CPRH","O","Cabo de Santo Agostinho",365,8760,12.6027397260274,10.9817351598174,"Dados_MonitorAr_2025.csv",TRUE
2025,"16","SUAPE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2025.csv",FALSE
2025,"PE01","Gaibu",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,8760,0,0,"Dados_MonitorAr_2025.csv",FALSE
