"ano","id_estacao","cod_estacao","no_estacao","nome_normalizado","nu_latitude","nu_longitude","no_municipio","no_fonte_dados","st_estacao","n_registros","parametros"
2024,"136676","15","CPRH","CPRH",-8.33789,-35.02179,"Cabo de Santo Agostinho","CPRH","O",6755,"CO | MP10 | NO2 | O3 | SO2"
2024,"136676","15","CPRH","CPRH",-8.33789,-35.02179,"Cabo de Santo Agostinho","N/A","O",7938,"CO | MP10 | NO2 | O3 | SO2"
2025,"136676","15","CPRH","CPRH",-8.286667,-35.035,"Cabo de Santo Agostinho","CPRH","O",3869,"CO | MP10 | NO2 | O3 | SO2"
2024,"136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"Ipojuca","CPRH","O",9998,"CO | MP10 | NO2 | O3 | SO2"
2024,"136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"Ipojuca","N/A","O",8113,"CO | MP10 | NO2 | O3 | SO2"
2025,"136674","13","EDCUPE","EDCUPE",-8.398889,-35.063889,"Ipojuca","CPRH","O",31783,"CO | MP10 | NO2 | O3 | SO2"
2024,"136675","14","IFPE","IFPE",-8.38456,-35.0423,"Ipojuca","CPRH","O",9330,"CO | MP10 | NO2 | O3 | SO2"
2024,"136675","14","IFPE","IFPE",-8.38456,-35.0423,"Ipojuca","N/A","O",10327,"CO | MP10 | NO2 | O3 | SO2"
2025,"136675","14","IFPE","IFPE",-8.398889,-35.063889,"Ipojuca","CPRH","O",30904,"CO | MP10 | NO2 | O3 | SO2"
2024,"136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"Ipojuca","CPRH","O",10117,"CO | MP10 | NO2 | O3 | SO2"
2024,"136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"Ipojuca","N/A","O",11026,"CO | MP10 | MP2,5 | NO2 | O3 | SO2"
2025,"136673","12","IPOJUCA","IPOJUCA",-8.398889,-35.063889,"Ipojuca","CPRH","O",36137,"CO | MP10 | NO2 | O3 | SO2"
