"ano","arquivo_origem","id_estacao","cod_estacao","no_estacao","nome_normalizado","nu_latitude","nu_longitude","id_municipio","no_municipio","no_fonte_dados","st_estacao","n_registros","n_parametros","parametros"
2024,"Dados_MonitorAr_2024.csv","136676","15","CPRH","CPRH",-8.33789,-35.02179,"2602902","Cabo de Santo Agostinho","CPRH","O",6755,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136676","15","CPRH","CPRH",-8.33789,-35.02179,"2602902","Cabo de Santo Agostinho","N/A","O",7938,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"2607208","Ipojuca","CPRH","O",9998,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"2607208","Ipojuca","N/A","O",8113,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136675","14","IFPE","IFPE",-8.38456,-35.0423,"2607208","Ipojuca","CPRH","O",9330,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136675","14","IFPE","IFPE",-8.38456,-35.0423,"2607208","Ipojuca","N/A","O",10327,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"2607208","Ipojuca","CPRH","O",10117,5,"CO | MP10 | NO2 | O3 | SO2"
2024,"Dados_MonitorAr_2024.csv","136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"2607208","Ipojuca","N/A","O",11026,6,"CO | MP10 | MP2,5 | NO2 | O3 | SO2"
2025,"Dados_MonitorAr_2025.csv","136676","15","CPRH","CPRH",-8.286667,-35.035,"2602902","Cabo de Santo Agostinho","CPRH","O",3869,5,"CO | MP10 | NO2 | O3 | SO2"
2025,"Dados_MonitorAr_2025.csv","136674","13","EDCUPE","EDCUPE",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",31783,5,"CO | MP10 | NO2 | O3 | SO2"
2025,"Dados_MonitorAr_2025.csv","136675","14","IFPE","IFPE",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",30904,5,"CO | MP10 | NO2 | O3 | SO2"
2025,"Dados_MonitorAr_2025.csv","136673","12","IPOJUCA","IPOJUCA",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",36137,5,"CO | MP10 | NO2 | O3 | SO2"
