"ano","arquivo_origem","id_estacao","cod_estacao","no_estacao","nome_normalizado","nu_latitude","nu_longitude","id_municipio","no_municipio","no_fonte_dados","st_estacao","n_registros_mp10"
2024,"Dados_MonitorAr_2024.csv","136676","15","CPRH","CPRH",-8.33789,-35.02179,"2602902","Cabo de Santo Agostinho","CPRH","O",1369
2024,"Dados_MonitorAr_2024.csv","136676","15","CPRH","CPRH",-8.33789,-35.02179,"2602902","Cabo de Santo Agostinho","N/A","O",1746
2024,"Dados_MonitorAr_2024.csv","136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"2607208","Ipojuca","CPRH","O",2067
2024,"Dados_MonitorAr_2024.csv","136674","13","EDCUPE","EDCUPE",-8.39754,-35.04313,"2607208","Ipojuca","N/A","O",1175
2024,"Dados_MonitorAr_2024.csv","136675","14","IFPE","IFPE",-8.38456,-35.0423,"2607208","Ipojuca","CPRH","O",830
2024,"Dados_MonitorAr_2024.csv","136675","14","IFPE","IFPE",-8.38456,-35.0423,"2607208","Ipojuca","N/A","O",705
2024,"Dados_MonitorAr_2024.csv","136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"2607208","Ipojuca","CPRH","O",2193
2024,"Dados_MonitorAr_2024.csv","136673","12","IPOJUCA","IPOJUCA",-8.44359,-35.01403,"2607208","Ipojuca","N/A","O",1734
2025,"Dados_MonitorAr_2025.csv","136676","15","CPRH","CPRH",-8.286667,-35.035,"2602902","Cabo de Santo Agostinho","CPRH","O",962
2025,"Dados_MonitorAr_2025.csv","136674","13","EDCUPE","EDCUPE",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",1655
2025,"Dados_MonitorAr_2025.csv","136675","14","IFPE","IFPE",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",1993
2025,"Dados_MonitorAr_2025.csv","136673","12","IPOJUCA","IPOJUCA",-8.398889,-35.063889,"2607208","Ipojuca","CPRH","O",7568
