"ano","cod_estacao","no_estacao","n_numerico","minimo","p001","p01","p05","p25","mediana","media","dp","p75","p95","p99","p999","maximo"
2017,"12","IPOJUCA",3165,1,1,1,3,7,11,13.4060031595577,12.730842998207,17,29,52,179.963999999989,259
2017,"14","IFPE",3787,1,1,1,3,11,19,22.0903089516768,19.3351260235394,29,50,85.1399999999999,133.214,611
2017,"15","CPRH",3271,1,1,1,2,6,13,16.506267196576,15.1451248857524,22,40,72,136.22,259
2017,"PE01","Gaibu",3495,1,1,1,4,16,29,32.4020028612303,24.691132579174,44,69,111.06,237.155999999996,421
2018,"12","IPOJUCA",6481,1,1,1,3,8,13,15.0311680296251,11.3443417672604,19,32,50,108.52,325
2018,"14","IFPE",6595,1,1,1,4,11,18,19.5560272934041,14.1800034347324,25,41,59,78.2179999999998,653
2018,"15","CPRH",4892,1,1,1,2,7,15,18.5533524121014,15.2194945620771,26,48,69,107.218000000001,120
2018,"PE01","Gaibu",6096,1,1,1,4,14,30,34.9089566929134,25.7779515168999,50,81,110,159,259
2019,"12","IPOJUCA",5540,0,0,2,6,12,16,17.626714801444,18.0316868505168,21,31,45,259.114000000018,837
2019,"14","IFPE",5839,1,1,2,5,11,16,18.1255351943826,11.0445466826655,22,36,55.6199999999999,115.134000000002,174
2019,"15","CPRH",4900,1,1,1,3,8,16,17.3781632653061,13.4392121663303,23,37,62,125.110999999996,284
2019,"PE01","Gaibu",6165,1,1,1,5,18,36,40.5377128953771,30.832086117436,57,90,127,226.672,679
2020,"12","IPOJUCA",5238,0.03,0.68422,2,6,15.62,22.975,24.8330514639175,14.9256172632604,31,49.1195,77.0819,135.451169999999,177
2020,"13","CUPE",2513,0.01,0.05536,0.7836,3.982,12.36,20.28,25.5825348189415,24.267478889849,30.93,62.6340000000001,123.0172,227.99079999999,387.75
2020,"14","IFPE",3513,0.03,0.73992,1.8412,4.088,10,15,16.6727725590663,9.90404756648059,21,33.358,47.4664000000001,79.3919999999985,173
2020,"15","CPRH",2107,0.21,1,1,2,6,10,12.5112577123873,9.82107356297056,17,30,43,86.4699999999989,102
2020,"PE01","Gaibu",2561,1,1,2,6,17,34,37.4057008980867,25.4607961258494,52,82,114.8,192.96,223
2021,"12","IPOJUCA",7726,0.02,0.139,0.77,2.55,7.77,12.97,15.2918306324962,11.3831240949621,19.65,35.5175,58.2075,91.5959999999998,102.65
2021,"13","CUPE",7952,0.01,0.06902,0.69,2.25,6.78,10.73,13.1957886428424,11.5473066960509,15.8,32.188,61.3416999999999,108.70388,157.73
2021,"14","IFPE",4576,0.0909,0.317158975,1.405,5,10.81818,16.477275,21.7517232934878,19.6651884280977,24.5733325,58.9477275,102.415,166.514465000004,270.4546
2021,"15","CPRH",4193,1,1,1,4,12,20,23.9280729787741,18.6975864877019,30,59,94.0799999999999,148.04,247
2022,"12","IPOJUCA",8275,0.001,0.09274,0.7674,2.157,6.86,11.75,13.9845191079154,10.1971374530083,18.705,32.4948,49.7056,80.1664000000008,97
2022,"13","CUPE",8055,0.03,0.1,0.68,2.29,6.63,11.03,13.4737088628181,11.3015759548178,16.65,32.806,60.2764,97.7175999999999,132.66
2022,"14","IFPE",7865,0.024667,0.113070712,1.57385324,4.5002,10.9,16.8435,20.115802006103,14.5697392646046,25.12633,47.5386639999999,75.0741824,120.345363200002,191.23
2022,"15","CPRH",8061,0.04,0.9024,1.762,4.18,16.9,27,30.1002642352065,21.7612644192317,38.4,68,105.46,189.359999999998,310.2
2022,"16","SUAPE",7902,0,1,5,8,14,19,20.7803087825867,25.6034537800761,25,36,48,116.792000000001,995
2024,"12","IPOJUCA",3927,-1.612,0.225018,3.98332,6.951,13.8935,21.531,23.8646055513114,13.6437359964716,31.4035,47.8052,68.3347199999999,92.7618080000002,173.447
2024,"13","CUPE",3242,-14.659,-9.443385,0.55182,5.05515,14.157,19.563,23.3609278223319,30.6970272666674,27.3875,49.665,86.5926600000003,218.327357,1474.083
2024,"14","IFPE",1535,0,0,0,4.0356,13.506,18.908,21.652928990228,16.2975073755658,26.122,46.5628,82.0904800000002,167.916823999997,209.271
2024,"15","CPRH",3115,8.202,10.086964,13.235,17.268,24.8005,30.109,33.7970227929374,23.1377513152411,38.1735,57.3814999999999,78.6883600000002,468.89892,471.003
2025,"12","IPOJUCA",7568,-11846.61,0.732917,4.70817,8.08715,14.6565,21.197,21.8521749471459,139.439884608156,29.438,44.8735,60.22608,83.121123,2302.309
2025,"13","CUPE",1655,-4.101,-1.000378,0,6.8424,12.8425,17.449,19.9299413897281,10.9934379820255,24.6655,41.0897,57.02034,71.178712,90.398
2025,"14","IFPE",1993,0,0,0,0,8.846,15.465,16.4753176116407,14.7593685792587,21.962,36.7176,61.3849199999999,158.770368000002,229.579
2025,"15","CPRH",962,-12.188,-2.853807,14.073,17.1488,24.85675,32.8265,38.7407411642412,40.3421652996471,43.65525,62.0741,128.14988,469.480251,470.546
