"ano","cod_estacao","no_estacao","dh_arredondado","n_linhas","n_timestamps_originais","timestamps_originais","n_valores_distintos","valores","n_fontes_distintas","fontes","colisao_por_arredondamento","valores_concordantes"
2017,"12","IPOJUCA",2017-11-26 11:00:00,2,1,"2017-11-26 11:00:00",2,"12 | 8",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-26 12:00:00,2,1,"2017-11-26 12:00:00",2,"188 | 6",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-27 11:00:00,2,1,"2017-11-27 11:00:00",2,"10 | 11",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-27 12:00:00,2,1,"2017-11-27 12:00:00",2,"11 | 16",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-28 11:00:00,2,1,"2017-11-28 11:00:00",2,"10 | 11",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-28 12:00:00,2,1,"2017-11-28 12:00:00",2,"10 | 9",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-29 11:00:00,2,1,"2017-11-29 11:00:00",2,"10 | 21",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-29 12:00:00,2,1,"2017-11-29 12:00:00",2,"17 | 6",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-30 11:00:00,2,1,"2017-11-30 11:00:00",2,"32 | 8",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-11-30 12:00:00,2,1,"2017-11-30 12:00:00",2,"11 | 19",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-12-01 12:00:00,2,1,"2017-12-01 12:00:00",2,"12 | 20",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-12-02 11:00:00,2,1,"2017-12-02 11:00:00",2,"10 | 16",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-12-02 12:00:00,2,1,"2017-12-02 12:00:00",2,"11 | 12",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-12-03 11:00:00,2,1,"2017-12-03 11:00:00",2,"12 | 17",0,NA,FALSE,FALSE
2017,"12","IPOJUCA",2017-12-03 12:00:00,2,1,"2017-12-03 12:00:00",2,"20 | 22",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26,2,1,"2019-09-26 00:00:00",2,"11 | 30",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 02:00:00,2,1,"2019-09-26 02:00:00",2,"20 | 8",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 03:00:00,2,1,"2019-09-26 03:00:00",2,"24 | 7",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 04:00:00,2,1,"2019-09-26 04:00:00",2,"11 | 27",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 05:00:00,2,1,"2019-09-26 05:00:00",2,"14 | 21",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 06:00:00,2,1,"2019-09-26 06:00:00",2,"20 | 23",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 07:00:00,2,1,"2019-09-26 07:00:00",2,"32 | 39",0,NA,FALSE,FALSE
2019,"PE01","Gaibu",2019-09-26 08:00:00,2,1,"2019-09-26 08:00:00",2,"31 | 36",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-11-26,2,1,"2020-11-26 00:00:00",2,"15.59 | 21.99",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-11-26 08:00:00,2,1,"2020-11-26 08:00:00",2,"19.93 | 33.24",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-11-27 08:00:00,2,1,"2020-11-27 08:00:00",2,"20.64 | 20.82",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-11-29 08:00:00,2,1,"2020-11-29 08:00:00",2,"17.87 | 30.96",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-11-30 08:00:00,2,1,"2020-11-30 08:00:00",2,"27.81 | 30.87",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-12-01 08:00:00,2,1,"2020-12-01 08:00:00",2,"29.28 | 29.66",0,NA,FALSE,FALSE
2020,"12","IPOJUCA",2020-12-02 08:00:00,2,1,"2020-12-02 08:00:00",2,"25.54 | 29.47",0,NA,FALSE,FALSE
