"ano","cod_estacao","no_estacao","st_situacao","cd_flag","ds_flag","st_situacao_iqar","st_estacao","n_registros","n_ausente","n_negativa","n_zero","n_positiva","minimo","maximo"
2017,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",3165,0,0,0,3165,1,259
2017,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",3787,0,0,0,3787,1,611
2017,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",3271,0,0,0,3271,1,259
2017,"PE01","Gaibu","<NA>","<NA>","<NA>","<NA>","<NA>",3495,0,0,0,3495,1,421
2018,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",6481,0,0,0,6481,1,325
2018,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",6595,0,0,0,6595,1,653
2018,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",4892,0,0,0,4892,1,120
2018,"PE01","Gaibu","<NA>","<NA>","<NA>","<NA>","<NA>",6096,0,0,0,6096,1,259
2019,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",5570,30,0,28,5512,0,837
2019,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",5839,0,0,0,5839,1,174
2019,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",4900,0,0,0,4900,1,284
2019,"PE01","Gaibu","<NA>","<NA>","<NA>","<NA>","<NA>",6165,0,0,0,6165,1,679
2020,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",5238,0,0,0,5238,0.03,177
2020,"13","CUPE","<NA>","<NA>","<NA>","<NA>","<NA>",2513,0,0,0,2513,0.01,387.75
2020,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",3513,0,0,0,3513,0.03,173
2020,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",2107,0,0,0,2107,0.21,102
2020,"PE01","Gaibu","<NA>","<NA>","<NA>","<NA>","<NA>",2561,0,0,0,2561,1,223
2021,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",7726,0,0,0,7726,0.02,102.65
2021,"13","CUPE","<NA>","<NA>","<NA>","<NA>","<NA>",7952,0,0,0,7952,0.01,157.73
2021,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",4576,0,0,0,4576,0.0909,270.4546
2021,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",4193,0,0,0,4193,1,247
2022,"12","IPOJUCA","<NA>","<NA>","<NA>","<NA>","<NA>",8275,0,0,0,8275,0.001,97
2022,"13","CUPE","<NA>","<NA>","<NA>","<NA>","<NA>",8055,0,0,0,8055,0.03,132.66
2022,"14","IFPE","<NA>","<NA>","<NA>","<NA>","<NA>",7865,0,0,0,7865,0.024667,191.23
2022,"15","CPRH","<NA>","<NA>","<NA>","<NA>","<NA>",8061,0,0,0,8061,0.04,310.2
2022,"16","SUAPE","<NA>","<NA>","<NA>","<NA>","<NA>",7902,0,0,6,7896,0,995
2024,"12","IPOJUCA","VA","V","Válido","VA","O",3925,0,0,2,3923,0,173.447
2024,"12","IPOJUCA","IN","V","Válido","VA","O",2,0,2,0,0,-1.612,-0.481
2024,"13","CUPE","VA","V","Válido","VA","O",3218,0,0,4,3214,0,1474.083
2024,"13","CUPE","IN","V","Válido","VA","O",24,0,24,0,0,-14.659,-0.115
2024,"14","IFPE","VA","V","Válido","VA","O",1535,0,0,65,1470,0,209.271
2024,"15","CPRH","VA","V","Válido","VA","O",3115,0,0,0,3115,8.202,471.003
2025,"12","IPOJUCA","VA","V","Válido","VA","O",7564,0,0,1,7563,0,2302.309
2025,"12","IPOJUCA","IN","V","Válido","VA","O",4,0,4,0,0,-11846.61,-6.131
2025,"13","CUPE","VA","V","Válido","VA","O",1652,0,0,29,1623,0,90.398
2025,"13","CUPE","IN","V","Válido","VA","O",3,0,3,0,0,-4.101,-0.38
2025,"14","IFPE","VA","V","Válido","VA","O",1993,0,0,354,1639,0,229.579
2025,"15","CPRH","VA","V","Válido","VA","O",960,0,0,0,960,7.242,470.546
2025,"15","CPRH","IN","V","Válido","VA","O",2,0,2,0,0,-12.188,-2.475
