"ano","cod_estacao","no_estacao","fonte_exibicao","n_registros"
2017,"12","IPOJUCA","<NA>",3165
2017,"14","IFPE","<NA>",3787
2017,"15","CPRH","<NA>",3271
2017,"PE01","Gaibu","<NA>",3495
2018,"12","IPOJUCA","<NA>",6481
2018,"14","IFPE","<NA>",6595
2018,"15","CPRH","<NA>",4892
2018,"PE01","Gaibu","<NA>",6096
2019,"12","IPOJUCA","<NA>",5570
2019,"14","IFPE","<NA>",5839
2019,"15","CPRH","<NA>",4900
2019,"PE01","Gaibu","<NA>",6165
2020,"12","IPOJUCA","<NA>",5238
2020,"13","CUPE","<NA>",2513
2020,"14","IFPE","<NA>",3513
2020,"15","CPRH","<NA>",2107
2020,"PE01","Gaibu","<NA>",2561
2021,"12","IPOJUCA","<NA>",7726
2021,"13","CUPE","<NA>",7952
2021,"14","IFPE","<NA>",4576
2021,"15","CPRH","<NA>",4193
2022,"12","IPOJUCA","<NA>",8275
2022,"13","CUPE","<NA>",8055
2022,"14","IFPE","<NA>",7865
2022,"15","CPRH","<NA>",8061
2022,"16","SUAPE","<NA>",7902
2024,"12","IPOJUCA","CPRH",2193
2024,"12","IPOJUCA","N/A",1734
2024,"13","CUPE","CPRH",2067
2024,"13","CUPE","N/A",1175
2024,"14","IFPE","CPRH",830
2024,"14","IFPE","N/A",705
2024,"15","CPRH","N/A",1746
2024,"15","CPRH","CPRH",1369
2025,"12","IPOJUCA","CPRH",7568
2025,"13","CUPE","CPRH",1655
2025,"14","IFPE","CPRH",1993
2025,"15","CPRH","CPRH",962
