"ano","cod_estacao","no_estacao","n_total","n_dh_original_na","n_dh_arredondado_na","n_data_fechada_na","n_ano_incompativel","n_arredondamento_0s","n_arredondamento_1s","n_arredondamento_maior_1s","max_abs_arredondamento_seg"
2017,"12","IPOJUCA",3165,0,0,0,0,3165,0,0,0
2017,"14","IFPE",3787,0,0,0,0,3787,0,0,0
2017,"15","CPRH",3271,0,0,0,0,3271,0,0,0
2017,"PE01","Gaibu",3495,0,0,0,0,3495,0,0,0
2018,"12","IPOJUCA",6481,0,0,0,0,6481,0,0,0
2018,"14","IFPE",6595,0,0,0,0,6595,0,0,0
2018,"15","CPRH",4892,0,0,0,0,4892,0,0,0
2018,"PE01","Gaibu",6096,0,0,0,0,6096,0,0,0
2019,"12","IPOJUCA",5570,0,0,0,0,5570,0,0,0
2019,"14","IFPE",5839,0,0,0,0,5839,0,0,0
2019,"15","CPRH",4900,0,0,0,0,4900,0,0,0
2019,"PE01","Gaibu",6165,0,0,0,0,6165,0,0,0
2020,"12","IPOJUCA",5238,0,0,0,0,5238,0,0,0
2020,"13","CUPE",2513,0,0,0,0,2513,0,0,0
2020,"14","IFPE",3513,0,0,0,0,3513,0,0,0
2020,"15","CPRH",2107,0,0,0,0,2107,0,0,0
2020,"PE01","Gaibu",2561,0,0,0,0,2561,0,0,0
2021,"12","IPOJUCA",7726,0,0,0,0,7726,0,0,0
2021,"13","CUPE",7952,0,0,0,0,7952,0,0,0
2021,"14","IFPE",4576,0,0,0,0,4576,0,0,0
2021,"15","CPRH",4193,0,0,0,0,4193,0,0,0
2022,"12","IPOJUCA",8275,0,0,0,0,7553,722,0,1
2022,"13","CUPE",8055,0,0,0,0,7377,678,0,1
2022,"14","IFPE",7865,0,0,0,0,7146,719,0,1
2022,"15","CPRH",8061,0,0,0,0,7333,728,0,1
2022,"16","SUAPE",7902,0,0,0,0,7902,0,0,0
2024,"12","IPOJUCA",3927,0,0,0,0,3927,0,0,0
2024,"13","CUPE",3242,0,0,0,0,3242,0,0,0
2024,"14","IFPE",1535,0,0,0,0,1535,0,0,0
2024,"15","CPRH",3115,0,0,0,0,3115,0,0,0
2025,"12","IPOJUCA",7568,0,0,0,0,7568,0,0,0
2025,"13","CUPE",1655,0,0,0,0,1655,0,0,0
2025,"14","IFPE",1993,0,0,0,0,1993,0,0,0
2025,"15","CPRH",962,0,0,0,0,962,0,0,0
