"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","classe_concentracao","no_fonte_dados","st_situacao","cd_flag","ds_flag","st_situacao_iqar"
59702,2019,"12","IPOJUCA","2019-02-03 01:00:00",2019-02-03 01:00:00,NA,"ausente",NA,NA,NA,NA,NA
59703,2019,"12","IPOJUCA","2019-02-03 02:00:00",2019-02-03 02:00:00,NA,"ausente",NA,NA,NA,NA,NA
59726,2019,"12","IPOJUCA","2019-02-04 01:00:00",2019-02-04 01:00:00,NA,"ausente",NA,NA,NA,NA,NA
59730,2019,"12","IPOJUCA","2019-02-04 05:00:00",2019-02-04 05:00:00,NA,"ausente",NA,NA,NA,NA,NA
59731,2019,"12","IPOJUCA","2019-02-04 06:00:00",2019-02-04 06:00:00,0,"zero",NA,NA,NA,NA,NA
59736,2019,"12","IPOJUCA","2019-02-04 11:00:00",2019-02-04 11:00:00,NA,"ausente",NA,NA,NA,NA,NA
59737,2019,"12","IPOJUCA","2019-02-04 12:00:00",2019-02-04 12:00:00,NA,"ausente",NA,NA,NA,NA,NA
59738,2019,"12","IPOJUCA","2019-02-04 13:00:00",2019-02-04 13:00:00,NA,"ausente",NA,NA,NA,NA,NA
59766,2019,"12","IPOJUCA","2019-02-05 17:00:00",2019-02-05 17:00:00,NA,"ausente",NA,NA,NA,NA,NA
59769,2019,"12","IPOJUCA","2019-02-05 20:00:00",2019-02-05 20:00:00,0,"zero",NA,NA,NA,NA,NA
59772,2019,"12","IPOJUCA","2019-02-05 23:00:00",2019-02-05 23:00:00,NA,"ausente",NA,NA,NA,NA,NA
59773,2019,"12","IPOJUCA","2019-02-06 00:00:00",2019-02-06,0,"zero",NA,NA,NA,NA,NA
59778,2019,"12","IPOJUCA","2019-02-06 05:00:00",2019-02-06 05:00:00,0,"zero",NA,NA,NA,NA,NA
59779,2019,"12","IPOJUCA","2019-02-06 06:00:00",2019-02-06 06:00:00,0,"zero",NA,NA,NA,NA,NA
59780,2019,"12","IPOJUCA","2019-02-06 07:00:00",2019-02-06 07:00:00,0,"zero",NA,NA,NA,NA,NA
59784,2019,"12","IPOJUCA","2019-02-06 11:00:00",2019-02-06 11:00:00,0,"zero",NA,NA,NA,NA,NA
59785,2019,"12","IPOJUCA","2019-02-06 12:00:00",2019-02-06 12:00:00,0,"zero",NA,NA,NA,NA,NA
59787,2019,"12","IPOJUCA","2019-02-06 14:00:00",2019-02-06 14:00:00,0,"zero",NA,NA,NA,NA,NA
59899,2019,"12","IPOJUCA","2019-02-11 06:00:00",2019-02-11 06:00:00,NA,"ausente",NA,NA,NA,NA,NA
59900,2019,"12","IPOJUCA","2019-02-11 07:00:00",2019-02-11 07:00:00,NA,"ausente",NA,NA,NA,NA,NA
59904,2019,"12","IPOJUCA","2019-02-11 11:00:00",2019-02-11 11:00:00,NA,"ausente",NA,NA,NA,NA,NA
59905,2019,"12","IPOJUCA","2019-02-11 12:00:00",2019-02-11 12:00:00,NA,"ausente",NA,NA,NA,NA,NA
59906,2019,"12","IPOJUCA","2019-02-11 13:00:00",2019-02-11 13:00:00,NA,"ausente",NA,NA,NA,NA,NA
59992,2019,"12","IPOJUCA","2019-02-15 03:00:00",2019-02-15 03:00:00,0,"zero",NA,NA,NA,NA,NA
59998,2019,"12","IPOJUCA","2019-02-15 09:00:00",2019-02-15 09:00:00,0,"zero",NA,NA,NA,NA,NA
60016,2019,"12","IPOJUCA","2019-02-16 03:00:00",2019-02-16 03:00:00,0,"zero",NA,NA,NA,NA,NA
60021,2019,"12","IPOJUCA","2019-02-16 08:00:00",2019-02-16 08:00:00,0,"zero",NA,NA,NA,NA,NA
60022,2019,"12","IPOJUCA","2019-02-16 09:00:00",2019-02-16 09:00:00,NA,"ausente",NA,NA,NA,NA,NA
60023,2019,"12","IPOJUCA","2019-02-16 10:00:00",2019-02-16 10:00:00,0,"zero",NA,NA,NA,NA,NA
60024,2019,"12","IPOJUCA","2019-02-16 11:00:00",2019-02-16 11:00:00,0,"zero",NA,NA,NA,NA,NA
60038,2019,"12","IPOJUCA","2019-02-17 01:00:00",2019-02-17 01:00:00,0,"zero",NA,NA,NA,NA,NA
60039,2019,"12","IPOJUCA","2019-02-17 02:00:00",2019-02-17 02:00:00,NA,"ausente",NA,NA,NA,NA,NA
60040,2019,"12","IPOJUCA","2019-02-17 03:00:00",2019-02-17 03:00:00,0,"zero",NA,NA,NA,NA,NA
60041,2019,"12","IPOJUCA","2019-02-17 04:00:00",2019-02-17 04:00:00,0,"zero",NA,NA,NA,NA,NA
60042,2019,"12","IPOJUCA","2019-02-17 05:00:00",2019-02-17 05:00:00,0,"zero",NA,NA,NA,NA,NA
60043,2019,"12","IPOJUCA","2019-02-17 06:00:00",2019-02-17 06:00:00,0,"zero",NA,NA,NA,NA,NA
60044,2019,"12","IPOJUCA","2019-02-17 07:00:00",2019-02-17 07:00:00,NA,"ausente",NA,NA,NA,NA,NA
60045,2019,"12","IPOJUCA","2019-02-17 08:00:00",2019-02-17 08:00:00,NA,"ausente",NA,NA,NA,NA,NA
60046,2019,"12","IPOJUCA","2019-02-17 09:00:00",2019-02-17 09:00:00,0,"zero",NA,NA,NA,NA,NA
60047,2019,"12","IPOJUCA","2019-02-17 10:00:00",2019-02-17 10:00:00,NA,"ausente",NA,NA,NA,NA,NA
60048,2019,"12","IPOJUCA","2019-02-17 11:00:00",2019-02-17 11:00:00,0,"zero",NA,NA,NA,NA,NA
60049,2019,"12","IPOJUCA","2019-02-17 12:00:00",2019-02-17 12:00:00,0,"zero",NA,NA,NA,NA,NA
60059,2019,"12","IPOJUCA","2019-02-17 22:00:00",2019-02-17 22:00:00,NA,"ausente",NA,NA,NA,NA,NA
60060,2019,"12","IPOJUCA","2019-02-17 23:00:00",2019-02-17 23:00:00,0,"zero",NA,NA,NA,NA,NA
60061,2019,"12","IPOJUCA","2019-02-18 00:00:00",2019-02-18,0,"zero",NA,NA,NA,NA,NA
60062,2019,"12","IPOJUCA","2019-02-18 01:00:00",2019-02-18 01:00:00,NA,"ausente",NA,NA,NA,NA,NA
60063,2019,"12","IPOJUCA","2019-02-18 02:00:00",2019-02-18 02:00:00,NA,"ausente",NA,NA,NA,NA,NA
60064,2019,"12","IPOJUCA","2019-02-18 03:00:00",2019-02-18 03:00:00,NA,"ausente",NA,NA,NA,NA,NA
60065,2019,"12","IPOJUCA","2019-02-18 04:00:00",2019-02-18 04:00:00,NA,"ausente",NA,NA,NA,NA,NA
60066,2019,"12","IPOJUCA","2019-02-18 05:00:00",2019-02-18 05:00:00,NA,"ausente",NA,NA,NA,NA,NA
60088,2019,"12","IPOJUCA","2019-02-19 03:00:00",2019-02-19 03:00:00,NA,"ausente",NA,NA,NA,NA,NA
60089,2019,"12","IPOJUCA","2019-02-19 04:00:00",2019-02-19 04:00:00,NA,"ausente",NA,NA,NA,NA,NA
60097,2019,"12","IPOJUCA","2019-02-19 12:00:00",2019-02-19 12:00:00,NA,"ausente",NA,NA,NA,NA,NA
60098,2019,"12","IPOJUCA","2019-02-19 13:00:00",2019-02-19 13:00:00,NA,"ausente",NA,NA,NA,NA,NA
60135,2019,"12","IPOJUCA","2019-02-21 02:00:00",2019-02-21 02:00:00,0,"zero",NA,NA,NA,NA,NA
60138,2019,"12","IPOJUCA","2019-02-21 05:00:00",2019-02-21 05:00:00,0,"zero",NA,NA,NA,NA,NA
60147,2019,"12","IPOJUCA","2019-02-21 14:00:00",2019-02-21 14:00:00,NA,"ausente",NA,NA,NA,NA,NA
60207,2019,"12","IPOJUCA","2019-02-24 02:00:00",2019-02-24 02:00:00,0,"zero",NA,NA,NA,NA,NA
134316,2022,"16","SUAPE","2022-06-08 13:00:00",2022-06-08 13:00:00,0,"zero",NA,NA,NA,NA,NA
134317,2022,"16","SUAPE","2022-06-08 14:00:00",2022-06-08 14:00:00,0,"zero",NA,NA,NA,NA,NA
134606,2022,"16","SUAPE","2022-07-09 17:00:00",2022-07-09 17:00:00,0,"zero",NA,NA,NA,NA,NA
139622,2022,"16","SUAPE","2022-07-16 14:00:00",2022-07-16 14:00:00,0,"zero",NA,NA,NA,NA,NA
135081,2022,"16","SUAPE","2022-09-06 13:00:00",2022-09-06 13:00:00,0,"zero",NA,NA,NA,NA,NA
140493,2022,"16","SUAPE","2022-09-18 14:00:00",2022-09-18 14:00:00,0,"zero",NA,NA,NA,NA,NA
143050,2024,"12","IPOJUCA","2024-07-15 10:00:00.000",2024-07-15 10:00:00,0,"zero","N/A","VA","V","Válido","VA"
142525,2024,"12","IPOJUCA","2024-07-15 11:00:00.000",2024-07-15 11:00:00,0,"zero","N/A","VA","V","Válido","VA"
145325,2024,"12","IPOJUCA","2024-09-30 02:00:00.000",2024-09-30 02:00:00,-1.612,"negativa","CPRH","IN","V","Válido","VA"
150625,2024,"12","IPOJUCA","2024-12-30 01:00:00.000",2024-12-30 01:00:00,-0.481,"negativa","CPRH","IN","V","Válido","VA"
144845,2024,"13","CUPE","2024-06-20 22:00:00.000",2024-06-20 22:00:00,0,"zero","N/A","VA","V","Válido","VA"
144598,2024,"13","CUPE","2024-06-20 23:00:00.000",2024-06-20 23:00:00,0,"zero","N/A","VA","V","Válido","VA"
144599,2024,"13","CUPE","2024-06-21 00:00:00.000",2024-06-21,0,"zero","N/A","VA","V","Válido","VA"
145317,2024,"13","CUPE","2024-09-24 10:00:00.000",2024-09-24 10:00:00,-2.456,"negativa","CPRH","IN","V","Válido","VA"
145318,2024,"13","CUPE","2024-09-24 11:00:00.000",2024-09-24 11:00:00,-3.075,"negativa","CPRH","IN","V","Válido","VA"
145319,2024,"13","CUPE","2024-09-24 12:00:00.000",2024-09-24 12:00:00,-3.621,"negativa","CPRH","IN","V","Válido","VA"
145320,2024,"13","CUPE","2024-09-24 15:00:00.000",2024-09-24 15:00:00,-5.486,"negativa","CPRH","IN","V","Válido","VA"
145321,2024,"13","CUPE","2024-09-25 20:00:00.000",2024-09-25 20:00:00,-14.39,"negativa","CPRH","IN","V","Válido","VA"
145322,2024,"13","CUPE","2024-09-25 21:00:00.000",2024-09-25 21:00:00,-3.301,"negativa","CPRH","IN","V","Válido","VA"
145323,2024,"13","CUPE","2024-09-27 11:00:00.000",2024-09-27 11:00:00,-10.162,"negativa","CPRH","IN","V","Válido","VA"
145324,2024,"13","CUPE","2024-09-28 20:00:00.000",2024-09-28 20:00:00,-8.608,"negativa","CPRH","IN","V","Válido","VA"
145326,2024,"13","CUPE","2024-09-30 11:00:00.000",2024-09-30 11:00:00,-8.8,"negativa","CPRH","IN","V","Válido","VA"
145327,2024,"13","CUPE","2024-09-30 12:00:00.000",2024-09-30 12:00:00,-14.659,"negativa","CPRH","IN","V","Válido","VA"
145328,2024,"13","CUPE","2024-09-30 13:00:00.000",2024-09-30 13:00:00,-9.447,"negativa","CPRH","IN","V","Válido","VA"
145329,2024,"13","CUPE","2024-10-01 04:00:00.000",2024-10-01 04:00:00,-7.583,"negativa","CPRH","IN","V","Válido","VA"
145330,2024,"13","CUPE","2024-10-01 11:00:00.000",2024-10-01 11:00:00,-0.949,"negativa","CPRH","IN","V","Válido","VA"
145331,2024,"13","CUPE","2024-10-07 13:00:00.000",2024-10-07 13:00:00,-2.787,"negativa","CPRH","IN","V","Válido","VA"
145332,2024,"13","CUPE","2024-10-07 14:00:00.000",2024-10-07 14:00:00,-0.303,"negativa","CPRH","IN","V","Válido","VA"
145333,2024,"13","CUPE","2024-10-07 16:00:00.000",2024-10-07 16:00:00,-4.662,"negativa","CPRH","IN","V","Válido","VA"
145334,2024,"13","CUPE","2024-10-11 16:00:00.000",2024-10-11 16:00:00,-6.15,"negativa","CPRH","IN","V","Válido","VA"
145335,2024,"13","CUPE","2024-10-11 17:00:00.000",2024-10-11 17:00:00,-9.432,"negativa","CPRH","IN","V","Válido","VA"
145336,2024,"13","CUPE","2024-10-27 10:00:00.000",2024-10-27 10:00:00,-6.38,"negativa","CPRH","IN","V","Válido","VA"
145337,2024,"13","CUPE","2024-10-27 11:00:00.000",2024-10-27 11:00:00,-3.915,"negativa","CPRH","IN","V","Válido","VA"
149187,2024,"13","CUPE","2024-11-06 15:00:00.000",2024-11-06 15:00:00,0,"zero","CPRH","VA","V","Válido","VA"
150621,2024,"13","CUPE","2024-12-01 18:00:00.000",2024-12-01 18:00:00,-0.115,"negativa","CPRH","IN","V","Válido","VA"
150622,2024,"13","CUPE","2024-12-02 10:00:00.000",2024-12-02 10:00:00,-0.976,"negativa","CPRH","IN","V","Válido","VA"
150623,2024,"13","CUPE","2024-12-05 18:00:00.000",2024-12-05 18:00:00,-1.689,"negativa","CPRH","IN","V","Válido","VA"
150624,2024,"13","CUPE","2024-12-07 10:00:00.000",2024-12-07 10:00:00,-2.003,"negativa","CPRH","IN","V","Válido","VA"
144122,2024,"14","IFPE","2024-06-12 11:00:00.000",2024-06-12 11:00:00,0,"zero","N/A","VA","V","Válido","VA"
144123,2024,"14","IFPE","2024-06-12 12:00:00.000",2024-06-12 12:00:00,0,"zero","N/A","VA","V","Válido","VA"
144124,2024,"14","IFPE","2024-06-12 13:00:00.000",2024-06-12 13:00:00,0,"zero","N/A","VA","V","Válido","VA"
144125,2024,"14","IFPE","2024-06-12 14:00:00.000",2024-06-12 14:00:00,0,"zero","N/A","VA","V","Válido","VA"
144126,2024,"14","IFPE","2024-06-12 15:00:00.000",2024-06-12 15:00:00,0,"zero","N/A","VA","V","Válido","VA"
144127,2024,"14","IFPE","2024-06-12 16:00:00.000",2024-06-12 16:00:00,0,"zero","N/A","VA","V","Válido","VA"
144128,2024,"14","IFPE","2024-07-07 00:00:00.000",2024-07-07,0,"zero","N/A","VA","V","Válido","VA"
144129,2024,"14","IFPE","2024-07-07 01:00:00.000",2024-07-07 01:00:00,0,"zero","N/A","VA","V","Válido","VA"
144130,2024,"14","IFPE","2024-07-07 02:00:00.000",2024-07-07 02:00:00,0,"zero","N/A","VA","V","Válido","VA"
144131,2024,"14","IFPE","2024-07-07 03:00:00.000",2024-07-07 03:00:00,0,"zero","N/A","VA","V","Válido","VA"
144132,2024,"14","IFPE","2024-07-07 04:00:00.000",2024-07-07 04:00:00,0,"zero","N/A","VA","V","Válido","VA"
144133,2024,"14","IFPE","2024-07-07 05:00:00.000",2024-07-07 05:00:00,0,"zero","N/A","VA","V","Válido","VA"
144134,2024,"14","IFPE","2024-07-07 06:00:00.000",2024-07-07 06:00:00,0,"zero","N/A","VA","V","Válido","VA"
144135,2024,"14","IFPE","2024-07-07 07:00:00.000",2024-07-07 07:00:00,0,"zero","N/A","VA","V","Válido","VA"
144136,2024,"14","IFPE","2024-07-07 08:00:00.000",2024-07-07 08:00:00,0,"zero","N/A","VA","V","Válido","VA"
144137,2024,"14","IFPE","2024-07-07 09:00:00.000",2024-07-07 09:00:00,0,"zero","N/A","VA","V","Válido","VA"
144138,2024,"14","IFPE","2024-07-07 10:00:00.000",2024-07-07 10:00:00,0,"zero","N/A","VA","V","Válido","VA"
144139,2024,"14","IFPE","2024-07-07 11:00:00.000",2024-07-07 11:00:00,0,"zero","N/A","VA","V","Válido","VA"
144140,2024,"14","IFPE","2024-07-07 12:00:00.000",2024-07-07 12:00:00,0,"zero","N/A","VA","V","Válido","VA"
144141,2024,"14","IFPE","2024-07-07 13:00:00.000",2024-07-07 13:00:00,0,"zero","N/A","VA","V","Válido","VA"
144142,2024,"14","IFPE","2024-07-07 14:00:00.000",2024-07-07 14:00:00,0,"zero","N/A","VA","V","Válido","VA"
144143,2024,"14","IFPE","2024-07-07 15:00:00.000",2024-07-07 15:00:00,0,"zero","N/A","VA","V","Válido","VA"
144144,2024,"14","IFPE","2024-07-07 16:00:00.000",2024-07-07 16:00:00,0,"zero","N/A","VA","V","Válido","VA"
144145,2024,"14","IFPE","2024-07-07 17:00:00.000",2024-07-07 17:00:00,0,"zero","N/A","VA","V","Válido","VA"
144146,2024,"14","IFPE","2024-07-07 18:00:00.000",2024-07-07 18:00:00,0,"zero","N/A","VA","V","Válido","VA"
144147,2024,"14","IFPE","2024-07-07 19:00:00.000",2024-07-07 19:00:00,0,"zero","N/A","VA","V","Válido","VA"
144148,2024,"14","IFPE","2024-07-07 20:00:00.000",2024-07-07 20:00:00,0,"zero","N/A","VA","V","Válido","VA"
144149,2024,"14","IFPE","2024-07-07 21:00:00.000",2024-07-07 21:00:00,0,"zero","N/A","VA","V","Válido","VA"
144150,2024,"14","IFPE","2024-07-07 22:00:00.000",2024-07-07 22:00:00,0,"zero","N/A","VA","V","Válido","VA"
144151,2024,"14","IFPE","2024-07-07 23:00:00.000",2024-07-07 23:00:00,0,"zero","N/A","VA","V","Válido","VA"
144152,2024,"14","IFPE","2024-07-08 00:00:00.000",2024-07-08,0,"zero","N/A","VA","V","Válido","VA"
144153,2024,"14","IFPE","2024-07-08 01:00:00.000",2024-07-08 01:00:00,0,"zero","N/A","VA","V","Válido","VA"
