"ano","cod_estacao","no_estacao","dh_arredondado","n_linhas_v1","n_linhas_elegiveis","n_valores_distintos_elegiveis","nu_concentracao_horaria","nu_concentracao_horaria_mediana","minimo_elegivel_hora","maximo_elegivel_hora","amplitude_elegivel_hora","tipo_hora","diferenca_media_mediana"
2017,"12","IPOJUCA",2017-11-26 11:00:00,2,2,2,10,10,8,12,4,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-26 12:00:00,2,2,2,97,97,6,188,182,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-27 11:00:00,2,2,2,10.5,10.5,10,11,1,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-27 12:00:00,2,2,2,13.5,13.5,11,16,5,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-28 11:00:00,2,2,2,10.5,10.5,10,11,1,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-28 12:00:00,2,2,2,9.5,9.5,9,10,1,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-29 11:00:00,2,2,2,15.5,15.5,10,21,11,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-29 12:00:00,2,2,2,11.5,11.5,6,17,11,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-30 11:00:00,2,2,2,20,20,8,32,24,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-11-30 12:00:00,2,2,2,15,15,11,19,8,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-12-01 12:00:00,2,2,2,16,16,12,20,8,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-12-02 11:00:00,2,2,2,13,13,10,16,6,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-12-02 12:00:00,2,2,2,11.5,11.5,11,12,1,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-12-03 11:00:00,2,2,2,14.5,14.5,12,17,5,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2017,"12","IPOJUCA",2017-12-03 12:00:00,2,2,2,21,21,20,22,2,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26,2,2,2,20.5,20.5,11,30,19,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 02:00:00,2,2,2,14,14,8,20,12,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 03:00:00,2,2,2,15.5,15.5,7,24,17,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 04:00:00,2,2,2,19,19,11,27,16,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 05:00:00,2,2,2,17.5,17.5,14,21,7,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 06:00:00,2,2,2,21.5,21.5,20,23,3,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 07:00:00,2,2,2,35.5,35.5,32,39,7,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2019,"PE01","Gaibu",2019-09-26 08:00:00,2,2,2,33.5,33.5,31,36,5,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-11-26,2,2,2,18.79,18.79,15.59,21.99,6.4,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-11-26 08:00:00,2,2,2,26.585,26.585,19.93,33.24,13.31,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-11-27 08:00:00,2,2,2,20.73,20.73,20.64,20.82,0.18,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-11-29 08:00:00,2,2,2,24.415,24.415,17.87,30.96,13.09,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-11-30 08:00:00,2,2,2,29.34,29.34,27.81,30.87,3.06,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-01 08:00:00,2,2,2,29.47,29.47,29.28,29.66,0.379999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-02 08:00:00,2,2,2,27.505,27.505,25.54,29.47,3.93,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-03 08:00:00,2,2,2,9.21,9.21,1.13,17.29,16.16,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-04 08:00:00,2,2,2,21.255,21.255,14.97,27.54,12.57,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-05 08:00:00,2,2,2,24.315,24.315,24.31,24.32,0.0100000000000016,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-06 08:00:00,2,2,2,31.315,31.315,22.63,40,17.37,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-07 08:00:00,2,2,2,30.58,30.58,27.64,33.52,5.88,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-08 08:00:00,2,2,2,28.235,28.235,26.79,29.68,2.89,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-09 08:00:00,2,2,2,17.485,17.485,14.88,20.09,5.21,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-10 08:00:00,2,2,2,26.385,26.385,25.43,27.34,1.91,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-11 08:00:00,2,2,2,21.825,21.825,21.2,22.45,1.25,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-12 08:00:00,2,2,2,33.115,33.115,28.22,38.01,9.79,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-13 08:00:00,2,2,2,85.515,85.515,63.58,107.45,43.87,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-14 08:00:00,2,2,2,16.32,16.32,13.35,19.29,5.94,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-15 08:00:00,2,2,2,14.1,14.1,3.7,24.5,20.8,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-16 08:00:00,2,2,2,11.285,11.285,10.46,12.11,1.65,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-17 08:00:00,2,2,2,102.47,102.47,67.69,137.25,69.56,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-18 08:00:00,2,2,2,15.395,15.395,11.38,19.41,8.03,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-19 08:00:00,2,2,2,21.265,21.265,20.57,21.96,1.39,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-20 08:00:00,2,2,2,19.445,19.445,16.91,21.98,5.07,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-21 08:00:00,2,2,2,27.155,27.155,24.26,30.05,5.79,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-22 08:00:00,2,2,2,30.42,30.42,21.36,39.48,18.12,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-24 08:00:00,2,2,2,26.65,26.65,26.22,27.08,0.859999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-26 08:00:00,2,2,2,32.655,32.655,26.51,38.8,12.29,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-27 08:00:00,2,2,2,30.86,30.86,27.91,33.81,5.9,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-29 08:00:00,2,2,2,31.965,31.965,30.95,32.98,2.03,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-30 08:00:00,2,2,2,25.25,25.25,23.3,27.2,3.9,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"12","IPOJUCA",2020-12-31 08:00:00,2,2,2,17.2,17.2,13.25,21.15,7.9,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-11-27 08:00:00,2,2,2,13.58,13.58,10.81,16.35,5.54,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-11-28 08:00:00,2,2,2,62.43,62.43,22.35,102.51,80.16,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-11-29 08:00:00,2,2,2,18.375,18.375,9.57,27.18,17.61,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-11-30 08:00:00,2,2,2,10.38,10.38,9.1,11.66,2.56,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-01,2,2,2,48.285,48.285,22.41,74.16,51.75,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-01 08:00:00,2,2,2,32.53,32.53,27.89,37.17,9.28,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-02 08:00:00,2,2,2,22.34,22.34,12.77,31.91,19.14,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-03 08:00:00,2,2,2,67.74,67.74,44.66,90.82,46.16,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-04 08:00:00,2,2,2,32.22,32.22,31.86,32.58,0.719999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-05 08:00:00,2,2,2,41.94,41.94,37.01,46.87,9.86,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-06,2,2,2,25.175,25.175,2.94,47.41,44.47,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-06 08:00:00,2,2,2,15.91,15.91,14.93,16.89,1.96,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-07 08:00:00,2,2,2,54.53,54.53,51.5,57.56,6.06,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-10 08:00:00,2,2,2,16.7,16.7,11.72,21.68,9.96,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-18 08:00:00,2,2,2,22.515,22.515,18.42,26.61,8.19,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-19 08:00:00,2,2,2,29.825,29.825,19.69,39.96,20.27,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-20 08:00:00,2,2,2,4.615,4.615,1.47,7.76,6.29,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-21 08:00:00,2,2,2,28.56,28.56,18.3,38.82,20.52,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-23 08:00:00,2,2,2,24.375,24.375,3.82,44.93,41.11,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-24 08:00:00,2,2,2,8.3,8.3,6.42,10.18,3.76,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-27 08:00:00,2,2,2,5.27,5.27,3.54,7,3.46,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-28 08:00:00,2,2,2,25.13,25.13,20.6,29.66,9.06,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-29 08:00:00,2,2,2,45.82,45.82,44.9,46.74,1.84,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"13","CUPE",2020-12-30 08:00:00,2,2,2,23.43,23.43,14.61,32.25,17.64,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-11-30 08:00:00,2,2,2,11.985,11.985,10.39,13.58,3.19,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-09 08:00:00,2,2,2,11.21,11.21,11.2,11.22,0.0200000000000014,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-15 08:00:00,2,2,2,10.395,10.395,8.4,12.39,3.99,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-20 08:00:00,2,2,2,24.45,24.45,9.24,39.66,30.42,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-26 08:00:00,2,2,2,27.95,27.95,24.69,31.21,6.52,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-27 08:00:00,2,2,2,22.965,22.965,15.98,29.95,13.97,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-28 08:00:00,2,2,2,26.525,26.525,25.82,27.23,1.41,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-29 08:00:00,2,2,2,32.55,32.55,27.83,37.27,9.44,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-30 08:00:00,2,2,2,36.615,36.615,33.43,39.8,6.37,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2020,"14","IFPE",2020-12-31 08:00:00,2,2,2,15.885,15.885,11.03,20.74,9.71,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 01:00:00,3,3,2,13.455,13.455,10.31,16.6,6.29,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 02:00:00,3,3,2,11.73,11.73,10.57,12.89,2.32,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 03:00:00,3,3,2,9.725,9.725,8.63,10.82,2.19,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 04:00:00,3,3,2,10.635,10.635,5.1,16.17,11.07,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 05:00:00,2,2,1,3.84,3.84,3.84,3.84,0,"DUPLICADA_CONCORDANTE",0
2022,"12","IPOJUCA",2022-01-25 06:00:00,2,2,1,5.87,5.87,5.87,5.87,0,"DUPLICADA_CONCORDANTE",0
2022,"12","IPOJUCA",2022-01-25 07:00:00,2,2,1,6.57,6.57,6.57,6.57,0,"DUPLICADA_CONCORDANTE",0
2022,"12","IPOJUCA",2022-01-25 08:00:00,3,3,2,17.015,17.015,8.59,25.44,16.85,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 09:00:00,3,3,2,13.87,13.87,6.23,21.51,15.28,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 10:00:00,3,3,2,15.96,15.96,10.79,21.13,10.34,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 11:00:00,3,3,2,8.32,8.32,3.79,12.85,9.06,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-25 12:00:00,2,2,1,1.7,1.7,1.7,1.7,0,"DUPLICADA_CONCORDANTE",0
2022,"12","IPOJUCA",2022-01-26 01:00:00,3,3,2,29.405,29.405,20.77,38.04,17.27,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 02:00:00,3,3,2,22.765,22.765,14.04,31.49,17.45,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 03:00:00,3,3,2,10.27,10.27,7.79,12.75,4.96,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 04:00:00,3,3,2,7.465,7.465,5.47,9.46,3.99,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 05:00:00,3,3,2,12.505,12.505,7.96,17.05,9.09,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 06:00:00,3,3,2,9.01,9.01,6.03,11.99,5.96,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 07:00:00,3,3,2,13.955,13.955,4.62,23.29,18.67,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 08:00:00,3,3,2,19.58,19.58,19.13,20.03,0.900000000000002,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 09:00:00,2,2,2,18.935,18.935,14.83,23.04,8.21,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 10:00:00,2,2,2,15.03,15.03,3.83,26.23,22.4,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 11:00:00,2,2,2,17.685,17.685,8.56,26.81,18.25,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-26 12:00:00,2,2,2,25.565,25.565,25.5,25.63,0.129999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 01:00:00,2,2,2,7.49,7.49,6.81,8.17,1.36,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 02:00:00,2,2,2,7.6,7.6,3.6,11.6,8,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 03:00:00,2,2,2,8.84,8.84,5.63,12.05,6.42,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 04:00:00,2,2,2,8.64,8.64,2.53,14.75,12.22,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 05:00:00,2,2,2,9.385,9.385,3.84,14.93,11.09,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 06:00:00,2,2,2,14.57,14.57,4.36,24.78,20.42,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 07:00:00,2,2,2,9.245,9.245,2.65,15.84,13.19,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 08:00:00,2,2,2,18.795,18.795,0.73,36.86,36.13,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 09:00:00,2,2,2,14.695,14.695,5.48,23.91,18.43,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 10:00:00,2,2,2,12.79,12.79,12.02,13.56,1.54,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 11:00:00,2,2,2,10.72,10.72,9.57,11.87,2.3,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-27 12:00:00,2,2,2,9.37,9.37,9.06,9.68,0.619999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 01:00:00,2,2,2,15.26,15.26,14.66,15.86,1.2,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 02:00:00,2,2,2,13.765,13.765,10.26,17.27,7.01,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 03:00:00,2,2,2,14.66,14.66,13.14,16.18,3.04,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 04:00:00,2,2,2,11.095,11.095,10.58,11.61,1.03,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 05:00:00,2,2,2,13.835,13.835,10.86,16.81,5.95,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 06:00:00,2,2,2,10.965,10.965,5.05,16.88,11.83,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 07:00:00,2,2,2,11.745,11.745,8.95,14.54,5.59,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 08:00:00,2,2,2,7.86,7.86,5.79,9.93,4.14,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 09:00:00,2,2,2,11.565,11.565,9.52,13.61,4.09,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 10:00:00,2,2,2,7.23,7.23,5.64,8.82,3.18,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 11:00:00,2,2,2,11.745,11.745,7.92,15.57,7.65,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-28 12:00:00,2,2,2,14.17,14.17,10.21,18.13,7.92,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 01:00:00,2,2,2,4.96,4.96,2.44,7.48,5.04,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 02:00:00,2,2,2,7.715,7.715,2.71,12.72,10.01,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 03:00:00,2,2,2,4.195,4.195,2.95,5.44,2.49,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 04:00:00,2,2,2,6.06,6.06,2.14,9.98,7.84,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 05:00:00,2,2,2,8.77,8.77,4.45,13.09,8.64,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 06:00:00,2,2,2,4.85,4.85,3.55,6.15,2.6,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 07:00:00,2,2,2,10.085,10.085,9.9,10.27,0.369999999999999,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 08:00:00,2,2,2,6.165,6.165,1.83,10.5,8.67,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 09:00:00,2,2,2,10.395,10.395,7.48,13.31,5.83,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 10:00:00,2,2,2,5.175,5.175,4.32,6.03,1.71,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 11:00:00,2,2,2,10.42,10.42,5.05,15.79,10.74,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-29 12:00:00,2,2,2,2.93,2.93,2.33,3.53,1.2,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 01:00:00,2,2,2,13.055,13.055,11.88,14.23,2.35,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 02:00:00,2,2,2,10.295,10.295,7.95,12.64,4.69,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 03:00:00,2,2,2,11.405,11.405,7.25,15.56,8.31,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 04:00:00,2,2,2,12.535,12.535,8.81,16.26,7.45,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 05:00:00,2,2,2,14.615,14.615,11.26,17.97,6.71,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 06:00:00,2,2,2,9.31,9.31,4.15,14.47,10.32,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 07:00:00,2,2,2,10.9,10.9,8.71,13.09,4.38,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 08:00:00,2,2,2,14.13,14.13,10.23,18.03,7.8,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 09:00:00,2,2,2,13.92,13.92,7.59,20.25,12.66,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
2022,"12","IPOJUCA",2022-01-30 10:00:00,2,2,2,14.4,14.4,11.58,17.22,5.64,"DUPLICADA_DIVERGENTE_MEDIA_DISTINTOS",0
