"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","st_situacao","cd_flag","ds_flag","no_fonte_dados","regra_validade"
59702,2019,"12","IPOJUCA","2019-02-03 01:00:00",2019-02-03 01:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59703,2019,"12","IPOJUCA","2019-02-03 02:00:00",2019-02-03 02:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59726,2019,"12","IPOJUCA","2019-02-04 01:00:00",2019-02-04 01:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59730,2019,"12","IPOJUCA","2019-02-04 05:00:00",2019-02-04 05:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59736,2019,"12","IPOJUCA","2019-02-04 11:00:00",2019-02-04 11:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59737,2019,"12","IPOJUCA","2019-02-04 12:00:00",2019-02-04 12:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59738,2019,"12","IPOJUCA","2019-02-04 13:00:00",2019-02-04 13:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59766,2019,"12","IPOJUCA","2019-02-05 17:00:00",2019-02-05 17:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59772,2019,"12","IPOJUCA","2019-02-05 23:00:00",2019-02-05 23:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59899,2019,"12","IPOJUCA","2019-02-11 06:00:00",2019-02-11 06:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59900,2019,"12","IPOJUCA","2019-02-11 07:00:00",2019-02-11 07:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59904,2019,"12","IPOJUCA","2019-02-11 11:00:00",2019-02-11 11:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59905,2019,"12","IPOJUCA","2019-02-11 12:00:00",2019-02-11 12:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
59906,2019,"12","IPOJUCA","2019-02-11 13:00:00",2019-02-11 13:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
60022,2019,"12","IPOJUCA","2019-02-16 09:00:00",2019-02-16 09:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
60039,2019,"12","IPOJUCA","2019-02-17 02:00:00",2019-02-17 02:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
60044,2019,"12","IPOJUCA","2019-02-17 07:00:00",2019-02-17 07:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
60045,2019,"12","IPOJUCA","2019-02-17 08:00:00",2019-02-17 08:00:00,NA,NA,NA,NA,NA,"INVALIDO_AUSENTE"
