"ano","cod_estacao","no_estacao","n_horas_total_grade_observada","n_horas_com_valor","n_horas_sem_valor","n_horas_unicas","n_horas_dup_concordante","n_horas_dup_divergente","n_horas_com_zero_elegivel","media_horaria_v2","mediana_horaria_v2","max_abs_diferenca_media_mediana"
2017,"12","IPOJUCA",3150,3150,0,3135,0,15,0,13.3780952380952,11,0
2017,"14","IFPE",3787,3787,0,3787,0,0,0,22.0903089516768,19,0
2017,"15","CPRH",3271,3271,0,3271,0,0,0,16.506267196576,13,0
2017,"PE01","Gaibu",3495,3495,0,3495,0,0,0,32.4020028612303,29,0
2018,"12","IPOJUCA",6481,6481,0,6481,0,0,0,15.0311680296251,13,0
2018,"14","IFPE",6595,6595,0,6595,0,0,0,19.5560272934041,18,0
2018,"15","CPRH",4892,4892,0,4892,0,0,0,18.5533524121014,15,0
2018,"PE01","Gaibu",6096,6096,0,6096,0,0,0,34.9089566929134,30,0
2019,"12","IPOJUCA",5570,5540,30,5540,0,0,28,17.626714801444,16,0
2019,"14","IFPE",5839,5839,0,5839,0,0,0,18.1255351943826,16,0
2019,"15","CPRH",4900,4900,0,4900,0,0,0,17.3781632653061,16,0
2019,"PE01","Gaibu",6157,6157,0,6149,0,8,0,40.561637160955,36,0
2020,"12","IPOJUCA",5205,5205,0,5172,0,33,0,24.8121073137368,22.97,0
2020,"13","CUPE",2489,2489,0,2465,0,24,0,25.5560204901567,20.32,0
2020,"14","IFPE",3503,3503,0,3493,0,10,0,16.6574136454468,15,0
2020,"15","CPRH",2107,2107,0,2107,0,0,0,12.5112577123873,10,0
2020,"PE01","Gaibu",2561,2561,0,2561,0,0,0,37.4057008980867,34,0
2021,"12","IPOJUCA",7726,7726,0,7726,0,0,0,15.2918306324962,12.97,0
2021,"13","CUPE",7952,7952,0,7952,0,0,0,13.1957886428424,10.73,0
2021,"14","IFPE",4576,4576,0,4576,0,0,0,21.7517232934878,16.477275,0
2021,"15","CPRH",4193,4193,0,4193,0,0,0,23.9280729787741,20,0
2022,"12","IPOJUCA",6298,6298,0,4375,21,1902,0,14.9381469966127,12.72,0.913333333333333
2022,"13","CUPE",6200,6200,0,4400,14,1786,0,13.555811505457,11.37,5.72333333333333
2022,"14","IFPE",5924,5924,0,4030,13,1881,0,20.0769836314568,17.028875,3.33266666666666
2022,"15","CPRH",6273,6273,0,4536,60,1677,0,32.6399784791966,29.2,0
2022,"16","SUAPE",7902,7902,0,7902,0,0,6,20.7803087825867,19,0
2024,"12","IPOJUCA",3927,3925,2,3925,0,0,2,23.8772991082803,21.541,0
2024,"13","CUPE",3242,3218,24,3218,0,0,4,23.5758474207582,19.637,0
2024,"14","IFPE",1535,1535,0,1535,0,0,65,21.652928990228,18.908,0
2024,"15","CPRH",3115,3115,0,3115,0,0,0,33.7970227929374,30.109,0
2025,"12","IPOJUCA",7568,7564,4,7564,0,0,1,23.4361542834479,21.205,0
2025,"13","CUPE",1655,1652,3,1652,0,0,29,19.970161622276,17.452,0
2025,"14","IFPE",1993,1993,0,1993,0,0,354,16.4753176116407,15.465,0
2025,"15","CPRH",962,960,2,960,0,0,0,38.836725,32.86,0
