"ano","cod_estacao","no_estacao","regra_validade","n_registros"
2017,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",3165
2017,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",3787
2017,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",3271
2017,"PE01","Gaibu","ELEGIVEL_SEM_FLAG_HISTORICA",3495
2018,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",6481
2018,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",6595
2018,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",4892
2018,"PE01","Gaibu","ELEGIVEL_SEM_FLAG_HISTORICA",6096
2019,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",5540
2019,"12","IPOJUCA","INVALIDO_AUSENTE",30
2019,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",5839
2019,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",4900
2019,"PE01","Gaibu","ELEGIVEL_SEM_FLAG_HISTORICA",6165
2020,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",5238
2020,"13","CUPE","ELEGIVEL_SEM_FLAG_HISTORICA",2513
2020,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",3513
2020,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",2107
2020,"PE01","Gaibu","ELEGIVEL_SEM_FLAG_HISTORICA",2561
2021,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",7726
2021,"13","CUPE","ELEGIVEL_SEM_FLAG_HISTORICA",7952
2021,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",4576
2021,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",4193
2022,"12","IPOJUCA","ELEGIVEL_SEM_FLAG_HISTORICA",8275
2022,"13","CUPE","ELEGIVEL_SEM_FLAG_HISTORICA",8055
2022,"14","IFPE","ELEGIVEL_SEM_FLAG_HISTORICA",7865
2022,"15","CPRH","ELEGIVEL_SEM_FLAG_HISTORICA",8061
2022,"16","SUAPE","ELEGIVEL_SEM_FLAG_HISTORICA",7902
2024,"12","IPOJUCA","ELEGIVEL_STATUS_VA",3925
2024,"12","IPOJUCA","INVALIDO_STATUS_FONTE",2
2024,"13","CUPE","ELEGIVEL_STATUS_VA",3218
2024,"13","CUPE","INVALIDO_STATUS_FONTE",24
2024,"14","IFPE","ELEGIVEL_STATUS_VA",1535
2024,"15","CPRH","ELEGIVEL_STATUS_VA",3115
2025,"12","IPOJUCA","ELEGIVEL_STATUS_VA",7564
2025,"12","IPOJUCA","INVALIDO_STATUS_FONTE",4
2025,"13","CUPE","ELEGIVEL_STATUS_VA",1652
2025,"13","CUPE","INVALIDO_STATUS_FONTE",3
2025,"14","IFPE","ELEGIVEL_STATUS_VA",1993
2025,"15","CPRH","ELEGIVEL_STATUS_VA",960
2025,"15","CPRH","INVALIDO_STATUS_FONTE",2
