"ano","cod_estacao","no_estacao","n_dias_calendario","n_dias_com_algum_valor","n_dias_validos_16h","n_dias_validos_18h","n_dias_validos_20h","n_dias_completos_24h","pct_dias_validos_16h","pct_dias_validos_18h","pct_dias_validos_20h","pct_dias_completos_24h","maior_lacuna_dias_sem_media_valida","maior_lacuna_dias_sem_dado_horario","max_abs_diferenca_diaria_media_mediana_dup","media_abs_diferenca_diaria_media_mediana_dup","n_quadrimestres_representativos","menor_pct_quadrimestre","ano_representativo_mma","n_meses_representativos_mma","n_meses_sem_dia_valido"
2017,"12","IPOJUCA",365,157,130,127,118,56,35.6164383561644,34.7945205479452,32.3287671232877,15.3424657534247,206,206,0,0,1,0,FALSE,4,6
2017,"14","IFPE",365,159,159,159,158,148,43.5616438356164,43.5616438356164,43.2876712328767,40.5479452054795,206,206,0,0,1,0,FALSE,5,6
2017,"15","CPRH",365,159,137,129,115,59,37.5342465753425,35.3424657534247,31.5068493150685,16.1643835616438,206,206,0,0,1,0,FALSE,4,6
2017,"PE01","Gaibu",365,158,148,147,134,90,40.5479452054795,40.2739726027397,36.7123287671233,24.6575342465753,206,206,0,0,1,0,FALSE,5,6
2018,"12","IPOJUCA",365,306,275,261,236,159,75.3424657534247,71.5068493150685,64.6575342465753,43.5616438356164,30,29,0,0,2,49.1803278688525,FALSE,9,0
2018,"14","IFPE",365,281,275,273,270,250,75.3424657534247,74.7945205479452,73.972602739726,68.4931506849315,61,30,0,0,3,50,TRUE,9,1
2018,"15","CPRH",365,270,185,175,153,74,50.6849315068493,47.9452054794521,41.9178082191781,20.2739726027397,91,30,0,0,2,24.5901639344262,FALSE,5,2
2018,"PE01","Gaibu",365,277,263,252,232,153,72.0547945205479,69.041095890411,63.5616438356164,41.9178082191781,91,30,0,0,2,24.5901639344262,FALSE,9,2
2019,"12","IPOJUCA",365,247,237,235,222,151,64.9315068493151,64.3835616438356,60.8219178082192,41.3698630136986,61,30,0,0,2,29.5081967213115,FALSE,8,1
2019,"14","IFPE",365,250,243,243,241,219,66.5753424657534,66.5753424657534,66.027397260274,60,61,30,0,0,2,29.5081967213115,FALSE,8,1
2019,"15","CPRH",365,245,201,191,178,102,55.0684931506849,52.3287671232877,48.7671232876712,27.9452054794521,61,30,0,0,1,29.5081967213115,FALSE,7,2
2019,"PE01","Gaibu",365,279,262,249,232,167,71.7808219178082,68.2191780821918,63.5616438356164,45.7534246575342,31,30,0,0,3,50,TRUE,9,0
2020,"12","IPOJUCA",366,240,229,227,202,86,62.568306010929,62.0218579234973,55.1912568306011,23.4972677595628,96,95,0,0,2,27.6422764227642,FALSE,7,2
2020,"13","CUPE",366,126,108,98,81,18,29.5081967213115,26.775956284153,22.1311475409836,4.91803278688525,208,207,0,0,1,0,FALSE,4,6
2020,"14","IFPE",366,237,110,109,108,89,30.0546448087432,29.7814207650273,29.5081967213115,24.3169398907104,249,95,0,0,1,0,FALSE,3,7
2020,"15","CPRH",366,108,89,82,68,25,24.3169398907104,22.4043715846995,18.5792349726776,6.83060109289617,255,255,0,0,1,0,FALSE,3,8
2020,"PE01","Gaibu",366,112,108,107,106,81,29.5081967213115,29.2349726775956,28.9617486338798,22.1311475409836,255,254,0,0,1,0,FALSE,4,8
2021,"12","IPOJUCA",365,339,329,324,315,207,90.1369863013699,88.7671232876712,86.3013698630137,56.7123287671233,17,15,0,0,3,74.1666666666667,TRUE,10,0
2021,"13","CUPE",365,354,347,342,322,153,95.0684931506849,93.6986301369863,88.2191780821918,41.9178082191781,10,9,0,0,3,89.1666666666667,TRUE,11,0
2021,"14","IFPE",365,215,199,182,170,103,54.5205479452055,49.8630136986301,46.5753424657534,28.2191780821918,154,148,0,0,1,23.3333333333333,FALSE,7,5
2021,"15","CPRH",365,185,176,174,169,115,48.2191780821918,47.6712328767123,46.3013698630137,31.5068493150685,179,178,0,0,1,0,FALSE,6,5
2022,"12","IPOJUCA",365,360,183,176,166,125,50.1369863013699,48.2191780821918,45.4794520547945,34.2465753424658,180,3,0,0,1,21.6666666666667,FALSE,6,5
2022,"13","CUPE",365,363,176,173,163,87,48.2191780821918,47.3972602739726,44.6575342465753,23.8356164383562,181,2,0,0,1,20,FALSE,6,5
2022,"14","IFPE",365,356,160,157,151,67,43.8356164383562,43.013698630137,41.3698630136986,18.3561643835616,181,5,0,0,1,15,FALSE,5,5
2022,"15","CPRH",365,355,179,178,175,145,49.041095890411,48.7671232876712,47.9452054794521,39.7260273972603,180,10,0,0,1,21.6666666666667,FALSE,6,5
2022,"16","SUAPE",365,361,341,332,318,144,93.4246575342466,90.958904109589,87.1232876712329,39.4520547945205,6,4,0,0,3,87.5,TRUE,12,0
2024,"12","IPOJUCA",366,186,162,160,154,131,44.2622950819672,43.7158469945355,42.0765027322404,35.792349726776,105,105,0,0,2,0.826446280991736,FALSE,5,3
2024,"13","CUPE",366,159,127,124,118,99,34.6994535519126,33.879781420765,32.2404371584699,27.0491803278689,142,141,0,0,1,0,FALSE,4,4
2024,"14","IFPE",366,119,41,37,29,25,11.2021857923497,10.1092896174863,7.92349726775956,6.83060109289617,164,133,0,0,0,0,FALSE,0,5
2024,"15","CPRH",366,183,118,114,108,77,32.2404371584699,31.1475409836066,29.5081967213115,21.0382513661202,105,105,0,0,0,1.65289256198347,FALSE,0,3
2025,"12","IPOJUCA",365,338,312,309,303,284,85.4794520547945,84.6575342465753,83.013698630137,77.8082191780822,10,10,0,0,3,80.4878048780488,TRUE,12,0
2025,"13","CUPE",365,75,67,66,65,60,18.3561643835616,18.0821917808219,17.8082191780822,16.4383561643836,269,268,0,0,1,0,FALSE,2,8
2025,"14","IFPE",365,177,43,40,36,24,11.7808219178082,10.958904109589,9.86301369863014,6.57534246575342,42,19,0,0,0,3.2520325203252,FALSE,0,1
2025,"15","CPRH",365,46,39,37,37,33,10.6849315068493,10.1369863013699,10.1369863013699,9.04109589041096,316,312,0,0,0,0,FALSE,1,10
