"ano","cod_estacao","no_estacao","mes","n_dias_calendario","n_dias_validos_16h","n_dias_validos_18h","n_dias_validos_20h","n_dias_completos_24h","pct_dias_validos_16h","minimo_dias_mma","mes_representativo_mma","media_mensal_se_representativa"
2017,"12","IPOJUCA",1,31,0,0,0,0,0,21,FALSE,NA
2017,"12","IPOJUCA",2,28,0,0,0,0,0,19,FALSE,NA
2017,"12","IPOJUCA",3,31,0,0,0,0,0,21,FALSE,NA
2017,"12","IPOJUCA",4,30,0,0,0,0,0,20,FALSE,NA
2017,"12","IPOJUCA",5,31,0,0,0,0,0,21,FALSE,NA
2017,"12","IPOJUCA",6,30,0,0,0,0,0,20,FALSE,NA
2017,"12","IPOJUCA",7,31,6,6,5,1,19.3548387096774,21,FALSE,NA
2017,"12","IPOJUCA",8,31,19,18,16,7,61.2903225806452,21,FALSE,NA
2017,"12","IPOJUCA",9,30,26,26,24,11,86.6666666666667,20,TRUE,14.721006101069
2017,"12","IPOJUCA",10,31,28,28,24,13,90.3225806451613,21,TRUE,12.1428068866407
2017,"12","IPOJUCA",11,30,25,25,25,11,83.3333333333333,20,TRUE,14.3851025785808
2017,"12","IPOJUCA",12,31,26,24,24,13,83.8709677419355,21,TRUE,16.538293207219
2017,"14","IFPE",1,31,0,0,0,0,0,21,FALSE,NA
2017,"14","IFPE",2,28,0,0,0,0,0,19,FALSE,NA
2017,"14","IFPE",3,31,0,0,0,0,0,21,FALSE,NA
2017,"14","IFPE",4,30,0,0,0,0,0,20,FALSE,NA
2017,"14","IFPE",5,31,0,0,0,0,0,21,FALSE,NA
2017,"14","IFPE",6,30,0,0,0,0,0,20,FALSE,NA
2017,"14","IFPE",7,31,6,6,6,4,19.3548387096774,21,FALSE,NA
2017,"14","IFPE",8,31,31,31,31,29,100,21,TRUE,23.5039100684262
2017,"14","IFPE",9,30,30,30,30,28,100,20,TRUE,22.787380952381
2017,"14","IFPE",10,31,31,31,31,29,100,21,TRUE,23.1468613200731
2017,"14","IFPE",11,30,30,30,29,28,100,20,TRUE,20.3212406015038
2017,"14","IFPE",12,31,31,31,31,30,100,21,TRUE,21.3069892473118
2017,"15","CPRH",1,31,0,0,0,0,0,21,FALSE,NA
2017,"15","CPRH",2,28,0,0,0,0,0,19,FALSE,NA
2017,"15","CPRH",3,31,0,0,0,0,0,21,FALSE,NA
2017,"15","CPRH",4,30,0,0,0,0,0,20,FALSE,NA
2017,"15","CPRH",5,31,0,0,0,0,0,21,FALSE,NA
2017,"15","CPRH",6,30,0,0,0,0,0,20,FALSE,NA
2017,"15","CPRH",7,31,5,4,4,2,16.1290322580645,21,FALSE,NA
2017,"15","CPRH",8,31,27,24,20,7,87.0967741935484,21,TRUE,19.4345896493468
2017,"15","CPRH",9,30,29,29,29,17,96.6666666666667,20,TRUE,18.6575434685255
2017,"15","CPRH",10,31,28,27,21,9,90.3225806451613,21,TRUE,15.4004514347345
2017,"15","CPRH",11,30,28,26,22,9,93.3333333333333,20,TRUE,11.3042297988469
2017,"15","CPRH",12,31,20,19,19,15,64.5161290322581,21,FALSE,NA
2017,"PE01","Gaibu",1,31,0,0,0,0,0,21,FALSE,NA
2017,"PE01","Gaibu",2,28,0,0,0,0,0,19,FALSE,NA
2017,"PE01","Gaibu",3,31,0,0,0,0,0,21,FALSE,NA
2017,"PE01","Gaibu",4,30,0,0,0,0,0,20,FALSE,NA
2017,"PE01","Gaibu",5,31,0,0,0,0,0,21,FALSE,NA
2017,"PE01","Gaibu",6,30,0,0,0,0,0,20,FALSE,NA
2017,"PE01","Gaibu",7,31,4,4,2,2,12.9032258064516,21,FALSE,NA
2017,"PE01","Gaibu",8,31,26,26,24,11,83.8709677419355,21,TRUE,32.6116953158715
2017,"PE01","Gaibu",9,30,30,30,28,15,100,20,TRUE,28.6200493658388
2017,"PE01","Gaibu",10,31,29,28,27,21,93.5483870967742,21,TRUE,31.1935552568696
2017,"PE01","Gaibu",11,30,30,30,30,28,100,20,TRUE,33.8667270531401
2017,"PE01","Gaibu",12,31,29,29,23,13,93.5483870967742,21,TRUE,39.4646935617404
2018,"12","IPOJUCA",1,31,19,18,17,8,61.2903225806452,21,FALSE,NA
2018,"12","IPOJUCA",2,28,20,16,13,9,71.4285714285714,19,TRUE,14.0399846262269
2018,"12","IPOJUCA",3,31,27,26,21,10,87.0967741935484,21,TRUE,12.007554766546
2018,"12","IPOJUCA",4,30,29,29,26,15,96.6666666666667,20,TRUE,11.9286111814223
2018,"12","IPOJUCA",5,31,31,31,30,24,100,21,TRUE,16.0254899728602
2018,"12","IPOJUCA",6,30,28,28,26,18,93.3333333333333,20,TRUE,15.5277074939608
2018,"12","IPOJUCA",7,31,30,25,19,14,96.7741935483871,21,TRUE,11.0738664062116
2018,"12","IPOJUCA",8,31,31,30,29,18,100,21,TRUE,14.3211958558899
2018,"12","IPOJUCA",9,30,24,22,21,14,80,20,TRUE,16.8613279534475
2018,"12","IPOJUCA",10,31,6,6,6,5,19.3548387096774,21,FALSE,NA
2018,"12","IPOJUCA",11,30,25,25,24,21,83.3333333333333,20,TRUE,23.2220634920635
2018,"12","IPOJUCA",12,31,5,5,4,3,16.1290322580645,21,FALSE,NA
2018,"14","IFPE",1,31,31,31,30,27,100,21,TRUE,22.1954969902763
2018,"14","IFPE",2,28,27,26,25,24,96.4285714285714,19,TRUE,22.589252260217
2018,"14","IFPE",3,31,6,6,6,5,19.3548387096774,21,FALSE,NA
2018,"14","IFPE",4,30,30,30,29,28,100,20,TRUE,16.6275673400673
2018,"14","IFPE",5,31,31,31,31,26,100,21,TRUE,18.8552530919291
2018,"14","IFPE",6,30,29,29,29,27,96.6666666666667,20,TRUE,20.7418255158135
2018,"14","IFPE",7,31,30,30,30,29,96.7741935483871,21,TRUE,17.2704365079365
2018,"14","IFPE",8,31,30,29,29,27,96.7741935483871,21,TRUE,20.6657142072903
2018,"14","IFPE",9,30,25,25,25,25,83.3333333333333,20,TRUE,20.2116666666667
2018,"14","IFPE",10,31,0,0,0,0,0,21,FALSE,NA
2018,"14","IFPE",11,30,5,5,5,3,16.6666666666667,20,FALSE,NA
2018,"14","IFPE",12,31,31,31,31,29,100,21,TRUE,18.7359831029186
2018,"15","CPRH",1,31,15,13,11,3,48.3870967741936,21,FALSE,NA
2018,"15","CPRH",2,28,24,23,21,11,85.7142857142857,19,TRUE,12.7094463245565
2018,"15","CPRH",3,31,22,22,19,14,70.9677419354839,21,TRUE,16.0247601051377
2018,"15","CPRH",4,30,7,5,3,0,23.3333333333333,20,FALSE,NA
2018,"15","CPRH",5,31,7,4,2,0,22.5806451612903,21,FALSE,NA
2018,"15","CPRH",6,30,19,18,12,1,63.3333333333333,20,FALSE,NA
2018,"15","CPRH",7,31,30,29,26,5,96.7741935483871,21,TRUE,23.9907548226627
2018,"15","CPRH",8,31,31,31,30,18,100,21,TRUE,27.3217093799142
2018,"15","CPRH",9,30,25,25,25,19,83.3333333333333,20,TRUE,28.4412411067194
2018,"15","CPRH",10,31,0,0,0,0,0,21,FALSE,NA
2018,"15","CPRH",11,30,0,0,0,0,0,20,FALSE,NA
2018,"15","CPRH",12,31,5,5,4,3,16.1290322580645,21,FALSE,NA
2018,"PE01","Gaibu",1,31,31,27,23,13,100,21,TRUE,36.297663940087
2018,"PE01","Gaibu",2,28,26,25,23,18,92.8571428571429,19,TRUE,33.723964741399
2018,"PE01","Gaibu",3,31,30,27,26,11,96.7741935483871,21,TRUE,22.3197417956851
2018,"PE01","Gaibu",4,30,27,26,20,12,90,20,TRUE,28.9122509772541
2018,"PE01","Gaibu",5,31,31,30,29,19,100,21,TRUE,33.4612305710651
2018,"PE01","Gaibu",6,30,28,28,27,20,93.3333333333333,20,TRUE,41.7177475733376
2018,"PE01","Gaibu",7,31,30,30,28,16,96.7741935483871,21,TRUE,39.7540384503199
2018,"PE01","Gaibu",8,31,30,30,30,22,96.7741935483871,21,TRUE,42.0179201957463
2018,"PE01","Gaibu",9,30,24,23,20,17,80,20,TRUE,34.4857447971185
2018,"PE01","Gaibu",10,31,0,0,0,0,0,21,FALSE,NA
2018,"PE01","Gaibu",11,30,0,0,0,0,0,20,FALSE,NA
2018,"PE01","Gaibu",12,31,6,6,6,5,19.3548387096774,21,FALSE,NA
2019,"12","IPOJUCA",1,31,31,31,29,23,100,21,TRUE,14.9933420427903
2019,"12","IPOJUCA",2,28,25,25,22,15,89.2857142857143,19,TRUE,17.6661017728775
2019,"12","IPOJUCA",3,31,6,5,4,1,19.3548387096774,21,FALSE,NA
2019,"12","IPOJUCA",4,30,23,23,22,13,76.6666666666667,20,TRUE,21.6389027970338
2019,"12","IPOJUCA",5,31,30,29,26,19,96.7741935483871,21,TRUE,22.8622895141345
2019,"12","IPOJUCA",6,30,30,30,29,18,100,20,TRUE,17.6994558200508
2019,"12","IPOJUCA",7,31,31,31,31,21,100,21,TRUE,16.5667975082421
2019,"12","IPOJUCA",8,31,25,25,25,18,80.6451612903226,21,TRUE,15.5185614530397
2019,"12","IPOJUCA",9,30,0,0,0,0,0,20,FALSE,NA
2019,"12","IPOJUCA",10,31,6,6,6,5,19.3548387096774,21,FALSE,NA
2019,"12","IPOJUCA",11,30,24,24,23,15,80,20,TRUE,15.8513094536407
2019,"12","IPOJUCA",12,31,6,6,5,3,19.3548387096774,21,FALSE,NA
2019,"14","IFPE",1,31,30,30,30,26,96.7741935483871,21,TRUE,16.1664682539683
2019,"14","IFPE",2,28,25,25,25,25,89.2857142857143,19,TRUE,17.4666666666667
2019,"14","IFPE",3,31,6,6,6,5,19.3548387096774,21,FALSE,NA
2019,"14","IFPE",4,30,30,30,30,27,100,20,TRUE,18.2531746031746
