"ano","cod_estacao","no_estacao","quadrimestre","n_dias_calendario","n_dias_validos_16h","pct_dias_validos_16h","minimo_dias_mma","quadrimestre_representativo_mma"
2017,"12","IPOJUCA",1,120,0,0,60,FALSE
2017,"12","IPOJUCA",2,123,25,20.3252032520325,62,FALSE
2017,"12","IPOJUCA",3,122,105,86.0655737704918,61,TRUE
2017,"14","IFPE",1,120,0,0,60,FALSE
2017,"14","IFPE",2,123,37,30.0813008130081,62,FALSE
2017,"14","IFPE",3,122,122,100,61,TRUE
2017,"15","CPRH",1,120,0,0,60,FALSE
2017,"15","CPRH",2,123,32,26.0162601626016,62,FALSE
2017,"15","CPRH",3,122,105,86.0655737704918,61,TRUE
2017,"PE01","Gaibu",1,120,0,0,60,FALSE
2017,"PE01","Gaibu",2,123,30,24.390243902439,62,FALSE
2017,"PE01","Gaibu",3,122,118,96.7213114754098,61,TRUE
2018,"12","IPOJUCA",1,120,95,79.1666666666667,60,TRUE
2018,"12","IPOJUCA",2,123,120,97.5609756097561,62,TRUE
2018,"12","IPOJUCA",3,122,60,49.1803278688525,61,FALSE
2018,"14","IFPE",1,120,94,78.3333333333333,60,TRUE
2018,"14","IFPE",2,123,120,97.5609756097561,62,TRUE
2018,"14","IFPE",3,122,61,50,61,TRUE
2018,"15","CPRH",1,120,68,56.6666666666667,60,TRUE
2018,"15","CPRH",2,123,87,70.7317073170732,62,TRUE
2018,"15","CPRH",3,122,30,24.5901639344262,61,FALSE
2018,"PE01","Gaibu",1,120,114,95,60,TRUE
2018,"PE01","Gaibu",2,123,119,96.7479674796748,62,TRUE
2018,"PE01","Gaibu",3,122,30,24.5901639344262,61,FALSE
2019,"12","IPOJUCA",1,120,85,70.8333333333333,60,TRUE
2019,"12","IPOJUCA",2,123,116,94.3089430894309,62,TRUE
2019,"12","IPOJUCA",3,122,36,29.5081967213115,61,FALSE
2019,"14","IFPE",1,120,91,75.8333333333333,60,TRUE
2019,"14","IFPE",2,123,116,94.3089430894309,62,TRUE
2019,"14","IFPE",3,122,36,29.5081967213115,61,FALSE
2019,"15","CPRH",1,120,56,46.6666666666667,60,FALSE
2019,"15","CPRH",2,123,109,88.6178861788618,62,TRUE
2019,"15","CPRH",3,122,36,29.5081967213115,61,FALSE
2019,"PE01","Gaibu",1,120,85,70.8333333333333,60,TRUE
2019,"PE01","Gaibu",2,123,116,94.3089430894309,62,TRUE
