"ano","cod_estacao","no_estacao","quadrimestre","n_dias_calendario","minimo_50pct","n_dias_16h","n_dias_18h","n_dias_20h","n_dias_24h","rep_quad_16h","rep_quad_18h","rep_quad_20h","rep_quad_24h"
2017,"12","IPOJUCA",1,120,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2017,"12","IPOJUCA",2,123,62,25,24,21,8,FALSE,FALSE,FALSE,FALSE
2017,"12","IPOJUCA",3,122,61,105,103,97,48,TRUE,TRUE,TRUE,FALSE
2017,"14","IFPE",1,120,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2017,"14","IFPE",2,123,62,37,37,37,33,FALSE,FALSE,FALSE,FALSE
2017,"14","IFPE",3,122,61,122,122,121,115,TRUE,TRUE,TRUE,TRUE
2017,"15","CPRH",1,120,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2017,"15","CPRH",2,123,62,32,28,24,9,FALSE,FALSE,FALSE,FALSE
2017,"15","CPRH",3,122,61,105,101,91,50,TRUE,TRUE,TRUE,FALSE
2017,"PE01","Gaibu",1,120,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2017,"PE01","Gaibu",2,123,62,30,30,26,13,FALSE,FALSE,FALSE,FALSE
2017,"PE01","Gaibu",3,122,61,118,117,108,77,TRUE,TRUE,TRUE,TRUE
2018,"12","IPOJUCA",1,120,60,95,89,77,42,TRUE,TRUE,TRUE,FALSE
2018,"12","IPOJUCA",2,123,62,120,114,104,74,TRUE,TRUE,TRUE,TRUE
2018,"12","IPOJUCA",3,122,61,60,58,55,43,FALSE,FALSE,FALSE,FALSE
2018,"14","IFPE",1,120,60,94,93,90,84,TRUE,TRUE,TRUE,TRUE
2018,"14","IFPE",2,123,62,120,119,119,109,TRUE,TRUE,TRUE,TRUE
2018,"14","IFPE",3,122,61,61,61,61,57,TRUE,TRUE,TRUE,FALSE
2018,"15","CPRH",1,120,60,68,63,54,28,TRUE,TRUE,FALSE,FALSE
2018,"15","CPRH",2,123,62,87,82,70,24,TRUE,TRUE,TRUE,FALSE
2018,"15","CPRH",3,122,61,30,30,29,22,FALSE,FALSE,FALSE,FALSE
2018,"PE01","Gaibu",1,120,60,114,105,92,54,TRUE,TRUE,TRUE,FALSE
2018,"PE01","Gaibu",2,123,62,119,118,114,77,TRUE,TRUE,TRUE,TRUE
2018,"PE01","Gaibu",3,122,61,30,29,26,22,FALSE,FALSE,FALSE,FALSE
2019,"12","IPOJUCA",1,120,60,85,84,77,52,TRUE,TRUE,TRUE,FALSE
2019,"12","IPOJUCA",2,123,62,116,115,111,76,TRUE,TRUE,TRUE,TRUE
2019,"12","IPOJUCA",3,122,61,36,36,34,23,FALSE,FALSE,FALSE,FALSE
2019,"14","IFPE",1,120,60,91,91,91,83,TRUE,TRUE,TRUE,TRUE
2019,"14","IFPE",2,123,62,116,116,114,108,TRUE,TRUE,TRUE,TRUE
2019,"14","IFPE",3,122,61,36,36,36,28,FALSE,FALSE,FALSE,FALSE
2019,"15","CPRH",1,120,60,56,48,39,15,FALSE,FALSE,FALSE,FALSE
2019,"15","CPRH",2,123,62,109,107,103,57,TRUE,TRUE,TRUE,FALSE
2019,"15","CPRH",3,122,61,36,36,36,30,FALSE,FALSE,FALSE,FALSE
2019,"PE01","Gaibu",1,120,60,85,80,73,55,TRUE,TRUE,TRUE,FALSE
2019,"PE01","Gaibu",2,123,62,116,109,101,69,TRUE,TRUE,TRUE,TRUE
2019,"PE01","Gaibu",3,122,61,61,60,58,43,TRUE,FALSE,FALSE,FALSE
2020,"12","IPOJUCA",1,121,61,108,106,88,35,TRUE,TRUE,TRUE,FALSE
2020,"12","IPOJUCA",2,123,62,34,34,33,16,FALSE,FALSE,FALSE,FALSE
2020,"12","IPOJUCA",3,122,61,87,87,81,35,TRUE,TRUE,TRUE,FALSE
2020,"13","CUPE",1,121,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2020,"13","CUPE",2,123,62,30,27,23,7,FALSE,FALSE,FALSE,FALSE
2020,"13","CUPE",3,122,61,78,71,58,11,TRUE,TRUE,FALSE,FALSE
2020,"14","IFPE",1,121,61,104,103,102,89,TRUE,TRUE,TRUE,TRUE
2020,"14","IFPE",2,123,62,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2020,"14","IFPE",3,122,61,6,6,6,0,FALSE,FALSE,FALSE,FALSE
2020,"15","CPRH",1,121,61,89,82,68,25,TRUE,TRUE,TRUE,FALSE
2020,"15","CPRH",2,123,62,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2020,"15","CPRH",3,122,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2020,"PE01","Gaibu",1,121,61,108,107,106,81,TRUE,TRUE,TRUE,TRUE
2020,"PE01","Gaibu",2,123,62,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2020,"PE01","Gaibu",3,122,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2021,"12","IPOJUCA",1,120,60,89,85,79,43,TRUE,TRUE,TRUE,FALSE
2021,"12","IPOJUCA",2,123,62,118,117,116,86,TRUE,TRUE,TRUE,TRUE
2021,"12","IPOJUCA",3,122,61,122,122,120,78,TRUE,TRUE,TRUE,TRUE
2021,"13","CUPE",1,120,60,107,102,92,34,TRUE,TRUE,TRUE,FALSE
2021,"13","CUPE",2,123,62,118,118,112,55,TRUE,TRUE,TRUE,FALSE
2021,"13","CUPE",3,122,61,122,122,118,64,TRUE,TRUE,TRUE,TRUE
2021,"14","IFPE",1,120,60,28,28,27,17,FALSE,FALSE,FALSE,FALSE
2021,"14","IFPE",2,123,62,57,52,50,32,FALSE,FALSE,FALSE,FALSE
2021,"14","IFPE",3,122,61,114,102,93,54,TRUE,TRUE,TRUE,FALSE
2021,"15","CPRH",1,120,60,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2021,"15","CPRH",2,123,62,55,53,49,28,FALSE,FALSE,FALSE,FALSE
2021,"15","CPRH",3,122,61,121,121,120,87,TRUE,TRUE,TRUE,TRUE
2022,"12","IPOJUCA",1,120,60,26,22,20,7,FALSE,FALSE,FALSE,FALSE
2022,"12","IPOJUCA",2,123,62,37,36,31,22,FALSE,FALSE,FALSE,FALSE
2022,"12","IPOJUCA",3,122,61,120,118,115,96,TRUE,TRUE,TRUE,TRUE
2022,"13","CUPE",1,120,60,24,23,21,8,FALSE,FALSE,FALSE,FALSE
2022,"13","CUPE",2,123,62,33,33,30,17,FALSE,FALSE,FALSE,FALSE
2022,"13","CUPE",3,122,61,119,117,112,62,TRUE,TRUE,TRUE,TRUE
2022,"14","IFPE",1,120,60,18,16,13,3,FALSE,FALSE,FALSE,FALSE
2022,"14","IFPE",2,123,62,36,35,35,16,FALSE,FALSE,FALSE,FALSE
2022,"14","IFPE",3,122,61,106,106,103,48,TRUE,TRUE,TRUE,FALSE
2022,"15","CPRH",1,120,60,26,25,25,14,FALSE,FALSE,FALSE,FALSE
2022,"15","CPRH",2,123,62,35,35,34,31,FALSE,FALSE,FALSE,FALSE
2022,"15","CPRH",3,122,61,118,118,116,100,TRUE,TRUE,TRUE,TRUE
2022,"16","SUAPE",1,120,60,105,102,101,46,TRUE,TRUE,TRUE,FALSE
2022,"16","SUAPE",2,123,62,119,117,113,54,TRUE,TRUE,TRUE,FALSE
2022,"16","SUAPE",3,122,61,117,113,104,44,TRUE,TRUE,TRUE,FALSE
2024,"12","IPOJUCA",1,121,61,1,1,1,0,FALSE,FALSE,FALSE,FALSE
2024,"12","IPOJUCA",2,123,62,72,71,67,50,TRUE,TRUE,TRUE,FALSE
2024,"12","IPOJUCA",3,122,61,89,88,86,81,TRUE,TRUE,TRUE,TRUE
2024,"13","CUPE",1,121,61,0,0,0,0,FALSE,FALSE,FALSE,FALSE
