"ano","cod_estacao","no_estacao","n_dias_ref_16h","n_dias_ref_18h","n_dias_ref_20h","n_dias_ref_24h","ref_16h_bruta","ref_18h_bruta","ref_20h_bruta","ref_24h_bruta","ref_16h_mediana_dup_bruta","ano_rep_16h","ano_rep_18h","ano_rep_20h","ano_rep_24h","menor_pct_quad_16h","menor_pct_quad_18h","menor_pct_quad_20h","menor_pct_quad_24h","referencia_anual_principal","referencia_anual_sens_18h","referencia_anual_sens_20h","referencia_anual_sens_24h","referencia_16h_sens_mediana_dup","dif_abs_ref_media_vs_mediana_dup","dif_pct_ref_media_vs_mediana_dup","dif_pct_ref_18h_vs_16h","dif_pct_ref_20h_vs_16h","dif_pct_ref_24h_vs_16h"
2017,"12","IPOJUCA",130,127,118,56,13.9015095407352,13.7472608082561,13.8769582204825,14.6019345238095,13.9015095407352,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"14","IFPE",159,159,158,148,22.1052933998057,22.1052933998057,22.1482649436419,21.9532657657658,22.1052933998057,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"15","CPRH",137,129,115,59,16.9156138398315,17.4307579265697,17.4787230664735,19.0437853107345,16.9156138398315,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"PE01","Gaibu",148,147,134,90,32.7799763432596,32.810092228748,32.6208557368437,33.6162037037037,32.7799763432596,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"12","IPOJUCA",275,261,236,159,14.9106380739018,15.3219901950622,15.8130821785068,17.039570230608,14.9106380739018,FALSE,FALSE,FALSE,FALSE,49.1803278688525,47.5409836065574,45.0819672131148,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"14","IFPE",275,273,270,250,19.5489495149826,19.5092978846248,19.5677399425588,19.5145,19.5489495149826,TRUE,TRUE,TRUE,FALSE,50,50,50,46.7213114754098,19.5489495149826,19.5092978846248,19.5677399425588,NA,19.5489495149826,0,0,-0.20283253751011,0.0961198838934233,NA
2018,"15","CPRH",185,175,153,74,20.0253394039553,20.6259680421645,21.1819016803032,23.6210585585586,20.0253394039553,FALSE,FALSE,FALSE,FALSE,24.5901639344262,24.5901639344262,23.7704918032787,18.0327868852459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"PE01","Gaibu",263,252,232,153,34.8032896268044,35.2073577080864,35.394950049326,37.8322440087146,34.8032896268044,FALSE,FALSE,FALSE,FALSE,24.5901639344262,23.7704918032787,21.3114754098361,18.0327868852459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"12","IPOJUCA",237,235,222,151,17.5845492414825,17.4719552925989,17.4462363266711,17.7003311258278,17.5845492414825,FALSE,FALSE,FALSE,FALSE,29.5081967213115,29.5081967213115,27.8688524590164,18.8524590163934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"14","IFPE",243,243,241,219,18.0578358541322,18.0578358541322,18.0099064144707,17.9691780821918,18.0578358541322,FALSE,FALSE,FALSE,FALSE,29.5081967213115,29.5081967213115,29.5081967213115,22.9508196721311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"15","CPRH",201,191,178,102,17.6415898149601,17.9555358477729,18.3634849965211,20.9583333333333,17.6415898149601,FALSE,FALSE,FALSE,FALSE,29.5081967213115,29.5081967213115,29.5081967213115,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"PE01","Gaibu",262,249,232,167,40.8194100000892,40.8550146799899,41.0655542967153,43.1080339321357,40.8194100000892,TRUE,FALSE,FALSE,FALSE,50,49.1803278688525,47.5409836065574,35.2459016393443,40.8194100000892,NA,NA,NA,40.8194100000892,0,0,NA,NA,NA
2020,"12","IPOJUCA",229,227,202,86,24.8964323856692,24.8688290431226,24.7116536236145,24.3999624215116,24.8964323856692,FALSE,FALSE,FALSE,FALSE,27.6422764227642,27.6422764227642,26.8292682926829,13.0081300813008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
