estacao_historica,ano_alvo,data_local,papel_precipitacao,cod_precipitacao,nome_precipitacao,distancia_precipitacao_km,precip_diaria_bruta_mm,precip_valida_60,precip_valida_70,precip_valida_90,flag_borda_2025,precip_diaria_analitica_mm
CUPE,2021,2021-01-01,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-02,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-03,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-04,principal,260720801A,Centro,2.31199229299342,2.57,TRUE,TRUE,TRUE,FALSE,2.57
CUPE,2021,2021-01-05,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-06,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-07,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-08,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-09,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-10,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-11,principal,260720801A,Centro,2.31199229299342,2.36,TRUE,TRUE,TRUE,FALSE,2.36
CUPE,2021,2021-01-12,principal,260720801A,Centro,2.31199229299342,0.98,TRUE,TRUE,TRUE,FALSE,0.98
CUPE,2021,2021-01-13,principal,260720801A,Centro,2.31199229299342,2.97,FALSE,TRUE,TRUE,FALSE,
CUPE,2021,2021-01-14,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-15,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-16,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-17,principal,260720801A,Centro,2.31199229299342,0.79,TRUE,TRUE,TRUE,FALSE,0.79
CUPE,2021,2021-01-18,principal,260720801A,Centro,2.31199229299342,3.93,TRUE,TRUE,TRUE,FALSE,3.93
CUPE,2021,2021-01-19,principal,260720801A,Centro,2.31199229299342,2.56,TRUE,TRUE,TRUE,FALSE,2.56
CUPE,2021,2021-01-20,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-21,principal,260720801A,Centro,2.31199229299342,1.77,TRUE,TRUE,TRUE,FALSE,1.77
CUPE,2021,2021-01-22,principal,260720801A,Centro,2.31199229299342,2.17,TRUE,TRUE,TRUE,FALSE,2.17
CUPE,2021,2021-01-23,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-01-24,principal,260720801A,Centro,2.31199229299342,5.33,TRUE,TRUE,TRUE,FALSE,5.33
CUPE,2021,2021-01-25,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-01-26,principal,260720801A,Centro,2.31199229299342,4.33,TRUE,TRUE,TRUE,FALSE,4.33
CUPE,2021,2021-01-27,principal,260720801A,Centro,2.31199229299342,19.29,TRUE,TRUE,TRUE,FALSE,19.29
CUPE,2021,2021-01-28,principal,260720801A,Centro,2.31199229299342,8.49,TRUE,TRUE,TRUE,FALSE,8.49
