estacao_historica,ano_alvo,papel_serie,cod_estacao,n_dias_grade,n_datas_unicas,n_dias_esperados,primeira_data,ultima_data,grade_ok
CUPE,2021,principal,A301,365,365,365,2021-01-01,2021-12-31,TRUE
CUPE,2021,sensibilidade,A357,365,365,365,2021-01-01,2021-12-31,TRUE
Gaibu,2019,principal,A301,365,365,365,2019-01-01,2019-12-31,TRUE
Gaibu,2019,sensibilidade,A328,365,365,365,2019-01-01,2019-12-31,TRUE
IFPE,2018,principal,A301,365,365,365,2018-01-01,2018-12-31,TRUE
IFPE,2018,sensibilidade,A328,365,365,365,2018-01-01,2018-12-31,TRUE
IPOJUCA,2021,principal,A301,365,365,365,2021-01-01,2021-12-31,TRUE
IPOJUCA,2021,sensibilidade,A357,365,365,365,2021-01-01,2021-12-31,TRUE
IPOJUCA,2025,principal,A357,365,365,365,2025-01-01,2025-12-31,TRUE
IPOJUCA,2025,sensibilidade,A341,365,365,365,2025-01-01,2025-12-31,TRUE
