estacao_historica,ano_alvo,papel_serie,cod_estacao,n_dias,n_dias_com_flag_mp10,mp10_grade_ok
CUPE,2021,principal,A301,365,365,TRUE
CUPE,2021,sensibilidade,A357,365,365,TRUE
Gaibu,2019,principal,A301,365,365,TRUE
Gaibu,2019,sensibilidade,A328,365,365,TRUE
IFPE,2018,principal,A301,365,365,TRUE
IFPE,2018,sensibilidade,A328,365,365,TRUE
IPOJUCA,2021,principal,A301,365,365,TRUE
IPOJUCA,2021,sensibilidade,A357,365,365,TRUE
IPOJUCA,2025,principal,A357,365,365,TRUE
IPOJUCA,2025,sensibilidade,A341,365,365,TRUE
