estacao_historica,ano_alvo,data_local,papel_serie,cod_estacao,nome_estacao_inmet,distancia_km,status_pareamento,n_timestamps,n_temp_validas,n_ur_validas,n_vel_validas,n_dir_validas,n_press_validas,n_pares_vento_validos,temperatura_media_bruta_c,temperatura_min_bruta_c,temperatura_max_bruta_c,umidade_media_bruta_pct,pressao_media_bruta_hpa,velocidade_vento_media_bruta_ms,velocidade_vento_max_bruta_ms,direcao_circular_media_bruta_graus,resultante_circular_r_bruta,vento_u_medio_bruto_ms,vento_v_medio_bruto_ms,velocidade_vetor_medio_bruta_ms,direcao_vetor_medio_bruta_graus,temp_16h,ur_16h,vel_16h,dir_16h,press_16h,vetor_16h,nuclear_16h,temp_18h,ur_18h,vel_18h,dir_18h,press_18h,vetor_18h,nuclear_18h,temp_20h,ur_20h,vel_20h,dir_20h,press_20h,vetor_20h,nuclear_20h,temperatura_media_c,temperatura_min_c,temperatura_max_c,umidade_media_pct,pressao_media_hpa,velocidade_vento_media_ms,velocidade_vento_max_ms,direcao_circular_media_graus,resultante_circular_r,vento_u_medio_ms,vento_v_medio_ms,velocidade_vetor_medio_ms,direcao_vetor_medio_graus,criterio_diario_principal_horas,fonte_meteorologica,imputacao,dia_mp10_valido,mp10_media_24h
CUPE,2021,2021-01-01,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.1708333333333,24.3,30.3,72.2083333333333,1012.42083333333,1.75416666666667,2.9,111.75728281723,0.988228218648103,-1.6085390842478,0.634301059674609,1.72908525523095,111.520985382458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.1708333333333,24.3,30.3,72.2083333333333,1012.42083333333,1.75416666666667,2.9,111.75728281723,0.988228218648103,-1.6085390842478,0.634301059674609,1.72908525523095,111.520985382458,18,INMET,FALSE,FALSE,
CUPE,2021,2021-01-01,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.1666666666667,22.6,32.3,81.2916666666667,994.529166666667,1.76666666666667,4.7,79.9305481344289,0.380863593887973,-1.27277323680981,0.178657027946675,1.28525096614399,97.9903062811301,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.1666666666667,22.6,32.3,81.2916666666667,994.529166666667,1.76666666666667,4.7,79.9305481344289,0.380863593887973,-1.27277323680981,0.178657027946675,1.28525096614399,97.9903062811301,18,INMET,FALSE,FALSE,
CUPE,2021,2021-01-02,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.975,22.4,30.9,72.9166666666667,1011.16666666667,1.59583333333333,2.9,107.188960040943,0.591631095294825,-1.29327878425448,0.324913546214329,1.33346871966174,104.102682441706,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.975,22.4,30.9,72.9166666666667,1011.16666666667,1.59583333333333,2.9,107.188960040943,0.591631095294825,-1.29327878425448,0.324913546214329,1.33346871966174,104.102682441706,18,INMET,FALSE,TRUE,7.24631578947368
CUPE,2021,2021-01-02,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,25.9916666666667,22.4,31.1,78.75,993.241666666667,1.84166666666667,5,60.3670285924848,0.406700472060222,-1.39347271064505,-0.15306446698531,1.4018541030956,83.7315390145688,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.9916666666667,22.4,31.1,78.75,993.241666666667,1.84166666666667,5,60.3670285924848,0.406700472060222,-1.39347271064505,-0.15306446698531,1.4018541030956,83.7315390145688,18,INMET,FALSE,TRUE,7.24631578947368
CUPE,2021,2021-01-03,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.6375,24,30.8,70.375,1010.25416666667,1.99166666666667,3.5,100.419403276095,0.897133076038917,-1.90127168219679,0.30368650291831,1.92537256175997,99.0750861073859,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.6375,24,30.8,70.375,1010.25416666667,1.99166666666667,3.5,100.419403276095,0.897133076038917,-1.90127168219679,0.30368650291831,1.92537256175997,99.0750861073859,18,INMET,FALSE,TRUE,15.0181018518333
CUPE,2021,2021-01-03,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,26.2416666666667,22,32,77.4583333333333,992.404166666667,1.92083333333333,4.5,75.2987239536108,0.374722309904518,-1.44031588300196,-0.0212431241423057,1.44047253120323,89.1550095867459,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.2416666666667,22,32,77.4583333333333,992.404166666667,1.92083333333333,4.5,75.2987239536108,0.374722309904518,-1.44031588300196,-0.0212431241423057,1.44047253120323,89.1550095867459,18,INMET,FALSE,TRUE,15.0181018518333
CUPE,2021,2021-01-04,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.0458333333333,24.2,30.8,75,1010.775,1.82916666666667,3.3,93.3736158731156,0.964179741416968,-1.76471687003178,0.0287895341303202,1.76495169017461,90.9346385892428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.0458333333333,24.2,30.8,75,1010.775,1.82916666666667,3.3,93.3736158731156,0.964179741416968,-1.76471687003178,0.0287895341303202,1.76495169017461,90.9346385892428,18,INMET,FALSE,TRUE,7.7978947368421
CUPE,2021,2021-01-04,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,23.6958333333333,22.9,25.6,93.0833333333333,993.4125,1.07916666666667,2.9,285.805127209434,0.254996765440181,0.17390500388628,-0.111690494737226,0.206682648017034,302.710606439021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23.6958333333333,22.9,25.6,93.0833333333333,993.4125,1.07916666666667,2.9,285.805127209434,0.254996765440181,0.17390500388628,-0.111690494737226,0.206682648017034,302.710606439021,18,INMET,FALSE,TRUE,7.7978947368421
CUPE,2021,2021-01-05,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,27.125,22.4,31.2,68.9166666666667,1011.85416666667,1.8125,2.9,122.772127969784,0.750283491138213,-1.47536099209288,0.770092476063137,1.6642513267768,117.563156202403,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.125,22.4,31.2,68.9166666666667,1011.85416666667,1.8125,2.9,122.772127969784,0.750283491138213,-1.47536099209288,0.770092476063137,1.6642513267768,117.563156202403,18,INMET,FALSE,TRUE,9.51111111111111
CUPE,2021,2021-01-05,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,24,24,24,24,24,24,24,25.4083333333333,21.4,31.3,79.0833333333333,994.166666666667,2.0375,4.5,170.391152261545,0.251715378352065,-1.18283826462967,0.7649576973535,1.40863999624194,122.891301931482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.4083333333333,21.4,31.3,79.0833333333333,994.166666666667,2.0375,4.5,170.391152261545,0.251715378352065,-1.18283826462967,0.7649576973535,1.40863999624194,122.891301931482,18,INMET,FALSE,TRUE,9.51111111111111
