estacao_historica,ano_alvo,papel_serie,cod_estacao,nome_estacao_inmet,distancia_km,n_dias_calendario,n_dias_temp_16h,n_dias_temp_18h,n_dias_temp_20h,n_dias_ur_16h,n_dias_ur_18h,n_dias_ur_20h,n_dias_vel_16h,n_dias_vel_18h,n_dias_vel_20h,n_dias_dir_16h,n_dias_dir_18h,n_dias_dir_20h,n_dias_press_16h,n_dias_press_18h,n_dias_press_20h,n_dias_vetor_16h,n_dias_vetor_18h,n_dias_vetor_20h,n_dias_nuclear_16h,n_dias_nuclear_18h,n_dias_nuclear_20h,pct_dias_temp_18h,pct_dias_ur_18h,pct_dias_vel_18h,pct_dias_dir_18h,pct_dias_press_18h,pct_dias_vetor_18h,pct_dias_nuclear_18h
CUPE,2021,principal,A301,RECIFE,38.7434579472453,365,315,315,315,312,308,304,315,315,315,315,315,315,315,315,315,315,315,315,312,308,304,86.3013698630137,84.3835616438356,86.3013698630137,86.3013698630137,86.3013698630137,86.3013698630137,84.3835616438356
CUPE,2021,sensibilidade,A357,PALMARES,65.0191917948857,365,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069
Gaibu,2019,principal,A301,RECIFE,30.0048785608036,365,365,365,365,365,365,365,208,204,202,208,204,202,365,365,365,208,204,202,208,204,202,100,100,55.8904109589041,55.8904109589041,100,55.8904109589041,55.8904109589041
Gaibu,2019,sensibilidade,A328,SURUBIM,106.563969820775,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,100,100,100,100,100,100,100
IFPE,2018,principal,A301,RECIFE,37.320922014816,365,346,341,337,346,341,337,346,341,337,346,341,337,346,341,337,346,341,337,346,341,337,93.4246575342466,93.4246575342466,93.4246575342466,93.4246575342466,93.4246575342466,93.4246575342466,93.4246575342466
IFPE,2018,sensibilidade,A328,SURUBIM,102.042384103705,365,282,279,279,282,279,279,282,279,279,282,279,279,282,279,279,282,279,279,282,279,279,76.4383561643836,76.4383561643836,76.4383561643836,76.4383561643836,76.4383561643836,76.4383561643836,76.4383561643836
IPOJUCA,2021,principal,A301,RECIFE,43.1702325218827,365,315,315,315,312,308,304,315,315,315,315,315,315,315,315,315,315,315,315,312,308,304,86.3013698630137,84.3835616438356,86.3013698630137,86.3013698630137,86.3013698630137,86.3013698630137,84.3835616438356
IPOJUCA,2021,sensibilidade,A357,PALMARES,65.7758532771756,365,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069,73.1506849315069
IPOJUCA,2025,principal,A357,PALMARES,65.7758532771756,365,365,365,365,269,211,167,365,365,365,365,365,365,365,365,365,365,365,365,269,211,167,100,57.8082191780822,100,100,100,100,57.8082191780822
IPOJUCA,2025,sensibilidade,A341,CARUARU,111.998823291037,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,100,100,100,100,100,100,100
