estacao_historica,ano_alvo,papel_serie,cod_estacao,nome_estacao_inmet,distancia_km,n_dias_mp10_validos,n_overlap_temp_18h,pct_overlap_temp_18h,n_overlap_ur_18h,pct_overlap_ur_18h,n_overlap_vel_18h,pct_overlap_vel_18h,n_overlap_dir_18h,pct_overlap_dir_18h,n_overlap_press_18h,pct_overlap_press_18h,n_overlap_vetor_18h,pct_overlap_vetor_18h,n_overlap_nuclear_18h,pct_overlap_nuclear_18h
CUPE,2021,principal,A301,RECIFE,38.7434579472453,347,297,85.5907780979827,290,83.5734870317003,297,85.5907780979827,297,85.5907780979827,297,85.5907780979827,297,85.5907780979827,290,83.5734870317003
CUPE,2021,sensibilidade,A357,PALMARES,65.0191917948857,347,249,71.7579250720461,249,71.7579250720461,249,71.7579250720461,249,71.7579250720461,249,71.7579250720461,249,71.7579250720461,249,71.7579250720461
Gaibu,2019,principal,A301,RECIFE,30.0048785608036,262,262,100,262,100,165,62.9770992366412,165,62.9770992366412,262,100,165,62.9770992366412,165,62.9770992366412
Gaibu,2019,sensibilidade,A328,SURUBIM,106.563969820775,262,262,100,262,100,262,100,262,100,262,100,262,100,262,100
IFPE,2018,principal,A301,RECIFE,37.320922014816,275,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273,251,91.2727272727273
IFPE,2018,sensibilidade,A328,SURUBIM,102.042384103705,275,215,78.1818181818182,215,78.1818181818182,215,78.1818181818182,215,78.1818181818182,215,78.1818181818182,215,78.1818181818182,215,78.1818181818182
IPOJUCA,2021,principal,A301,RECIFE,43.1702325218827,329,279,84.8024316109423,272,82.6747720364742,279,84.8024316109423,279,84.8024316109423,279,84.8024316109423,279,84.8024316109423,272,82.6747720364742
IPOJUCA,2021,sensibilidade,A357,PALMARES,65.7758532771756,329,231,70.2127659574468,231,70.2127659574468,231,70.2127659574468,231,70.2127659574468,231,70.2127659574468,231,70.2127659574468,231,70.2127659574468
IPOJUCA,2025,principal,A357,PALMARES,65.7758532771756,312,312,100,184,58.974358974359,312,100,312,100,312,100,312,100,184,58.974358974359
IPOJUCA,2025,sensibilidade,A341,CARUARU,111.998823291037,312,312,100,312,100,312,100,312,100,312,100,312,100,312,100
