cod_estacao,ano_alvo,estacao_historica,papel_serie,pct_timestamps_9m,pct_temp_9m,pct_ur_9m,pct_vel_9m,pct_dir_9m,pct_press_9m,completude_min_nuclear_9m,pct_timestamps_9k,pct_temp_9k,pct_ur_9k,pct_vel_9k,pct_dir_9k,pct_press_9k,completude_min_nuclear_9k,dif_timestamps,dif_temp,dif_ur,dif_vel,dif_dir,dif_press,dif_min_nuclear,max_diferenca_pct,auditoria_ok
A301,2018,IFPE,principal,100,94.6575342465753,94.6575342465753,94.634703196347,94.634703196347,94.6575342465753,94.634703196347,100,94.6575342465753,94.6575342465753,94.634703196347,94.634703196347,94.6575342465753,94.634703196347,0,4.2632564145606e-14,4.2632564145606e-14,2.8421709430404e-14,2.8421709430404e-14,4.2632564145606e-14,2.8421709430404e-14,4.2632564145606e-14,TRUE
A301,2019,Gaibu,principal,100,99.9429223744292,99.9429223744292,58.3675799086758,58.3675799086758,99.9429223744292,58.3675799086758,100,99.9429223744292,99.9429223744292,58.3675799086758,58.3675799086758,99.9429223744292,58.3675799086758,0,2.8421709430404e-14,2.8421709430404e-14,0,0,2.8421709430404e-14,0,2.8421709430404e-14,TRUE
A301,2021,CUPE,principal,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,84.8401826484018,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,84.8401826484018,5.6843418860808e-14,4.2632564145606e-14,2.8421709430404e-14,0,0,4.2632564145606e-14,2.8421709430404e-14,5.6843418860808e-14,TRUE
A301,2021,IPOJUCA,principal,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,84.8401826484018,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,84.8401826484018,5.6843418860808e-14,4.2632564145606e-14,2.8421709430404e-14,0,0,4.2632564145606e-14,2.8421709430404e-14,5.6843418860808e-14,TRUE
A328,2018,IFPE,sensibilidade,100,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,100,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,0,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,TRUE
A328,2019,Gaibu,sensibilidade,100,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,100,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,0,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,TRUE
A341,2025,IPOJUCA,sensibilidade,99.9657534246575,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9657534246575,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,TRUE
A357,2021,CUPE,sensibilidade,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,0,1.4210854715202e-14,4.2632564145606e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,4.2632564145606e-14,4.2632564145606e-14,TRUE
A357,2021,IPOJUCA,sensibilidade,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,0,1.4210854715202e-14,4.2632564145606e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,4.2632564145606e-14,4.2632564145606e-14,TRUE
A357,2025,IPOJUCA,principal,99.9657534246575,99.9429223744292,75.87899543379,99.9429223744292,99.9429223744292,99.9429223744292,75.87899543379,99.9657534246575,99.9429223744292,75.87899543379,99.9429223744292,99.9429223744292,99.9429223744292,75.87899543379,2.8421709430404e-14,2.8421709430404e-14,4.2632564145606e-14,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,4.2632564145606e-14,4.2632564145606e-14,TRUE
