arquivo,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,ano,variavel,coluna_detectada,n_registros,n_validos,n_ausentes,pct_validos,n_datas_com_registro,n_datas_com_valor,n_meses_com_valor,inicio_local,fim_local,minimo,p01,mediana,p99,maximo
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2017,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8217,543,93.8013698630137,365,352,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,1,28.16,135,325,360
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2017,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8224,536,93.8812785388128,365,352,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,1007.3,1008.6,1012.8,1018.2,1020.1
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2017,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8224,536,93.8812785388128,365,352,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,18,20.6,25.8,31.7,33.3
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2017,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8084,676,92.2831050228311,365,352,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,38,51,78,100,100
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2017,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8218,542,93.8127853881278,365,352,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,0.1,0.2,1.7,3.6,4.2
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2018,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8290,470,94.634703196347,365,351,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,1,22.89,136,332,360
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2018,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8292,468,94.6575342465753,365,351,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,1006,1008,1013,1018.2,1019.9
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2018,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8292,468,94.6575342465753,365,351,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,18.6,20,25.7,31.6,33.1
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2018,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8292,468,94.6575342465753,365,351,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,39,50,76,93,95
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2018,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8290,470,94.634703196347,365,351,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,0.1,0.2,1.5,3.4,4.3
