arquivo,status_leitura,mensagem,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,situacao_estacao,periodicidade_fonte,n_linhas,n_datahora_na,inicio_utc,fim_utc
dados_A301_H_2017-01-01_2021-11-11.csv,OK,,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Desativada,Horaria,42624,0,2017-01-01T00:00:00Z,2021-11-11T23:00:00Z
dados_A307_H_2017-01-01_2025-12-31.csv,OK,,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Pane,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A309_H_2017-01-01_2025-12-31.csv,OK,,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A322_H_2017-01-01_2025-12-31.csv,OK,,A322,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A328_H_2017-01-01_2025-12-31.csv,OK,,A328,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A329_H_2017-01-01_2025-12-31.csv,OK,,A329,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A341_H_2017-01-01_2025-12-31.csv,OK,,A341,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A349_H_2017-01-01_2025-12-31.csv,OK,,A349,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A350_H_2017-01-01_2025-12-31.csv,OK,,A350,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Pane,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A351_H_2017-01-01_2025-12-31.csv,OK,,A351,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Pane,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A357_H_2017-01-01_2025-12-31.csv,OK,,A357,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A366_H_2017-01-01_2025-12-31.csv,OK,,A366,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,Operante,Horaria,78888,0,2017-01-01T00:00:00Z,2025-12-31T23:00:00Z
dados_A370_H_2017-09-14_2025-12-31.csv,OK,,A370,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Operante,Horaria,72744,0,2017-09-14T00:00:00Z,2025-12-31T23:00:00Z
dados_82753_H_2017-01-01_2025-12-31.csv,OK,,82753,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Operante,Horaria,9861,0,2017-01-01T00:00:00Z,2025-12-31T18:00:00Z
dados_82781_H_2017-01-01_2025-12-31.csv,OK,,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Desativada,Horaria,9861,0,2017-01-01T00:00:00Z,2025-12-31T18:00:00Z
dados_82789_H_2017-01-01_2018-03-28.csv,OK,,82789,TRIUNFO,CONVENCIONAL,-7.82972221,-38.12222221,1105,Desativada,Horaria,1356,0,2017-01-01T00:00:00Z,2018-03-28T18:00:00Z
dados_82797_H_2017-01-01_2025-12-31.csv,OK,,82797,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,Operante,Horaria,9861,0,2017-01-01T00:00:00Z,2025-12-31T18:00:00Z
dados_82799_H_2017-01-01_2025-12-31.csv,OK,,82799,GOIANA,CONVENCIONAL,-7.55,-34.98,11,Desativada,Horaria,9861,0,2017-01-01T00:00:00Z,2025-12-31T18:00:00Z
dados_82886_H_2017-01-01_2025-07-01.csv,OK,,82886,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Fechada,Horaria,9312,0,2017-01-01T00:00:00Z,2025-07-01T18:00:00Z
dados_82890_H_2017-01-01_2025-12-31.csv,OK,,82890,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Operante,Horaria,9861,0,2017-01-01T00:00:00Z,2025-12-31T18:00:00Z
dados_82893_H_2017-01-01_2022-11-11.csv,OK,,82893,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,Fechada,Horaria,6423,0,2017-01-01T00:00:00Z,2022-11-11T18:00:00Z
