arquivo,cod_estacao,nome_estacao,tipo_estacao,variavel,coluna_detectada,coluna_encontrada
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A322_H_2017-01-01_2025-12-31.csv,A322,GARANHUNS,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A322_H_2017-01-01_2025-12-31.csv,A322,GARANHUNS,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A322_H_2017-01-01_2025-12-31.csv,A322,GARANHUNS,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A322_H_2017-01-01_2025-12-31.csv,A322,GARANHUNS,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A322_H_2017-01-01_2025-12-31.csv,A322,GARANHUNS,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A328_H_2017-01-01_2025-12-31.csv,A328,SURUBIM,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A328_H_2017-01-01_2025-12-31.csv,A328,SURUBIM,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A328_H_2017-01-01_2025-12-31.csv,A328,SURUBIM,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A328_H_2017-01-01_2025-12-31.csv,A328,SURUBIM,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A328_H_2017-01-01_2025-12-31.csv,A328,SURUBIM,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_A329_H_2017-01-01_2025-12-31.csv,A329,CABROBO,AUTOMATICA,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",TRUE
dados_A329_H_2017-01-01_2025-12-31.csv,A329,CABROBO,AUTOMATICA,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_A329_H_2017-01-01_2025-12-31.csv,A329,CABROBO,AUTOMATICA,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_A329_H_2017-01-01_2025-12-31.csv,A329,CABROBO,AUTOMATICA,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_A329_H_2017-01-01_2025-12-31.csv,A329,CABROBO,AUTOMATICA,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
