estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear,origem_selecao
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A301,2021,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,99.7750430064841,99.7882757708085,99.7882757708085,98.3459044594416,99.7750430064841,315,315,315,315,315,38.7434579472453,>25-50 km,4,TRUE,98.3459044594416,99.4210665608046,TRUE,>=90%,1,3,top3_distancia
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A357,2021,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,73.2876712328767,268,268,268,268,268,65.0191917948857,>50-75 km,4,TRUE,73.2762557077626,73.2848173515982,TRUE,50-<75%,2,5,top3_distancia
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A328,2021,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,42.9794520547945,43.013698630137,43.013698630137,43.013698630137,42.9794520547945,365,365,365,365,365,102.827340130474,>100-150 km,4,TRUE,42.9794520547945,42.9965753424658,TRUE,<50%,3,8,top3_distancia
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A307,2021,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,100,100,100,100,100,365,365,365,365,365,612.030411420784,>150 km,4,TRUE,100,100,TRUE,>=90%,13,1,melhor_completude
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A301,2019,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,58.3675799086758,99.9429223744292,99.9429223744292,99.9429223744292,58.3675799086758,232,365,365,365,232,30.0048785608036,>25-50 km,4,TRUE,58.3675799086758,79.1552511415525,TRUE,50-<75%,1,13,top3_distancia
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A357,2019,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,63.8698630136986,59.4063926940639,75.6050228310502,72.865296803653,63.8584474885845,240,226,285,281,240,77.0464339824991,>75-100 km,4,TRUE,63.8584474885845,69.0496575342466,TRUE,50-<75%,2,12,top3_distancia
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A328,2019,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,365,365,365,365,365,106.563969820775,>100-150 km,4,TRUE,99.9885844748859,99.9885844748859,TRUE,>=90%,3,4,top3_distancia
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A309,2019,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,100,100,100,100,100,365,365,365,365,365,231.227003270326,>150 km,4,TRUE,100,100,TRUE,>=90%,6,1,melhor_completude
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A301,2018,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,94.634703196347,94.6575342465753,94.6575342465753,94.6575342465753,94.634703196347,351,351,351,351,351,37.320922014816,>25-50 km,4,TRUE,94.634703196347,94.6461187214611,TRUE,>=90%,1,5,top3_distancia
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A357,2018,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,70.9589041095891,82.2146118721461,82.2146118721461,82.1461187214612,70.9589041095891,263,307,307,307,263,65.777050445657,>50-75 km,4,TRUE,70.9589041095891,76.5696347031964,TRUE,50-<75%,2,13,top3_distancia
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A328,2018,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,363,363,363,363,363,102.042384103705,>100-150 km,4,TRUE,86.9634703196347,86.9634703196347,TRUE,75-<90%,3,9,top3_distancia
IFPE,2018,-8.38456,-35.0423,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A309,2018,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,100,100,100,100,100,365,365,365,365,365,221.524289059248,>150 km,4,TRUE,100,100,TRUE,>=90%,6,1,melhor_completude
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A301,2021,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,99.7750430064841,99.7882757708085,99.7882757708085,98.3459044594416,99.7750430064841,315,315,315,315,315,43.1702325218827,>25-50 km,4,TRUE,98.3459044594416,99.4210665608046,TRUE,>=90%,1,3,top3_distancia
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A357,2021,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,73.2876712328767,268,268,268,268,268,65.7758532771756,>50-75 km,4,TRUE,73.2762557077626,73.2848173515982,TRUE,50-<75%,2,5,top3_distancia
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A328,2021,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,42.9794520547945,43.013698630137,43.013698630137,43.013698630137,42.9794520547945,365,365,365,365,365,108.480732508596,>100-150 km,4,TRUE,42.9794520547945,42.9965753424658,TRUE,<50%,3,8,top3_distancia
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A307,2021,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,100,100,100,100,100,365,365,365,365,365,614.241984087169,>150 km,4,TRUE,100,100,TRUE,>=90%,13,1,melhor_completude
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A357,2025,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,99.9771611282403,99.9771611282403,99.9771611282403,75.9049902934795,99.9771611282403,365,365,365,362,365,65.7758532771756,>50-75 km,4,TRUE,75.9049902934795,93.9591184195501,TRUE,75-<90%,1,7,top3_distancia
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A328,2025,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,24.4033344752769,25.4082448327053,25.4082448327053,25.4082448327053,25.4082448327053,90,94,94,94,94,108.480732508596,>100-150 km,4,TRUE,24.4033344752769,25.1570172433482,TRUE,<50%,2,11,top3_distancia
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A341,2025,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,99.9657416923604,99.9657416923604,99.9657416923604,99.9657416923604,99.9657416923604,365,365,365,365,365,111.998823291037,>100-150 km,4,TRUE,99.9657416923604,99.9657416923604,TRUE,>=90%,3,1,top3_distancia_e_melhor_completude
