cod_estacao,nome_estacao,ano_local,n_horas_esperadas,n_timestamps_presentes,n_temp_validas,n_ur_validas,n_vel_validas,n_dir_validas,n_press_validas,n_conflitos_horarios,pct_timestamps_presentes,pct_temp_efetiva,pct_ur_efetiva,pct_vel_efetiva,pct_dir_efetiva,pct_press_efetiva,completude_min_nuclear_efetiva
A301,RECIFE,2018,8760,8760,8292,8292,8290,8290,8292,0,100,94.6575342465753,94.6575342465753,94.634703196347,94.634703196347,94.6575342465753,94.634703196347
A301,RECIFE,2019,8760,8760,8755,8755,5113,5113,8755,0,100,99.9429223744292,99.9429223744292,58.3675799086758,58.3675799086758,99.9429223744292,58.3675799086758
A301,RECIFE,2021,8760,7557,7541,7432,7540,7540,7541,0,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,84.8401826484018
A307,PETROLINA,2021,8760,8760,8760,8760,8760,8760,8760,0,100,100,100,100,100,100,100
A309,ARCO VERDE,2018,8760,8760,8760,8760,8760,8760,8760,0,100,100,100,100,100,100,100
A309,ARCO VERDE,2019,8760,8760,8760,8760,8760,8760,8760,0,100,100,100,100,100,100,100
A328,SURUBIM,2018,8760,8760,7618,7618,7618,7618,7618,0,100,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347
A328,SURUBIM,2019,8760,8760,8759,8759,8759,8759,8759,0,100,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859
A328,SURUBIM,2021,8760,8760,3768,3768,3765,3765,3768,0,100,43.013698630137,43.013698630137,42.9794520547945,42.9794520547945,43.013698630137,42.9794520547945
A328,SURUBIM,2025,8760,8757,2225,2225,2225,2137,2225,0,99.9657534246575,25.3995433789954,25.3995433789954,25.3995433789954,24.3949771689498,25.3995433789954,24.3949771689498
A341,CARUARU,2025,8760,8757,8754,8754,8754,8754,8754,0,99.9657534246575,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151
A357,PALMARES,2018,8760,8760,7202,7196,6216,6216,7202,0,100,82.2146118721461,82.1461187214612,70.9589041095891,70.9589041095891,82.2146118721461,70.9589041095891
A357,PALMARES,2019,8760,8760,6623,6383,5594,5595,5204,0,100,75.6050228310502,72.865296803653,63.8584474885845,63.8698630136986,59.4063926940639,63.8584474885845
A357,PALMARES,2021,8760,8760,6420,6419,6420,6420,6420,0,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626
A357,PALMARES,2025,8760,8757,8755,6647,8755,8755,8755,0,99.9657534246575,99.9429223744292,75.87899543379,99.9429223744292,99.9429223744292,99.9429223744292,75.87899543379
