cod_estacao,ano_local,n_linhas,n_datahora_ausente,n_ur_fora_0_100,n_vel_vento_negativa,n_dir_vento_fora_0_360,n_pressao_nao_positiva,temperatura_min,temperatura_max,ur_min,ur_max,vel_vento_max,pressao_min,pressao_max
A301,2018,8760,0,0,0,0,0,18.6,33.1,39,95,4.3,1006,1019.9
A301,2019,8760,0,0,0,0,0,18.6,34.4,40,94,4.1,1006,1020.1
A301,2021,7557,0,0,0,0,0,18.8,33.8,40,100,3.8,1006.5,1020.5
A307,2021,8760,0,0,0,0,0,17.6,37.9,12,93,7.5,962.5,980.7
A309,2018,8760,0,0,0,0,0,13.1,35.9,18,94,10,930.4,944.6
A309,2019,8760,0,0,0,0,0,13.5,36.6,13,95,13.4,930.1,944.7
A328,2018,8760,0,0,0,0,0,15.9,34.7,25,94,9.2,958.8,972.9
A328,2019,8760,0,0,0,0,0,15.7,37.1,26,93,9.3,959.7,973.4
A328,2021,8760,0,0,0,0,0,17.9,34.5,26,93,9,959.8,973.9
A328,2025,8757,0,0,0,0,0,18.1,34.2,19,82,6.9,960.6,971.7
A341,2025,8757,0,0,0,0,0,15.6,31.4,27,98,7.3,914.8,927.2
A357,2018,8760,0,0,0,0,0,16.8,35.1,35,100,7.4,988.5,1002.3
A357,2019,8760,0,0,0,0,0,17.6,40.1,30,100,7.9,990.1,1002.9
A357,2021,8760,0,0,0,0,0,17.8,34.3,26,100,7.7,988.3,1003.3
A357,2025,8757,0,0,0,0,0,17.4,34.9,25.8,100,6.6,987.7,1002.4
