cod_estacao,ano_alvo,estacao_historica,nome_estacao,distancia_km,origem_selecao,completude_min_nucleares_09j,n_dias_mp10_validos,n_overlap_nuclear_16h,n_overlap_nuclear_18h,n_overlap_nuclear_20h,pct_overlap_nuclear_16h,pct_overlap_nuclear_18h,pct_overlap_nuclear_20h,completude_min_nuclear_efetiva,pct_temp_efetiva,pct_ur_efetiva,pct_vel_efetiva,pct_dir_efetiva,pct_press_efetiva,pct_timestamps_presentes
A301,2021,CUPE,RECIFE,38.7434579472453,top3_distancia,98.3459044594416,297,294,290,286,98.989898989899,97.6430976430976,96.2962962962963,84.8401826484018,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,86.2671232876713
A357,2021,CUPE,PALMARES,65.0191917948857,top3_distancia,73.2762557077626,347,249,249,249,71.7579250720461,71.7579250720461,71.7579250720461,73.2762557077626,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,100
A328,2021,CUPE,SURUBIM,102.827340130474,top3_distancia,42.9794520547945,347,0,0,0,0,0,0,42.9794520547945,43.013698630137,43.013698630137,42.9794520547945,42.9794520547945,43.013698630137,100
A307,2021,CUPE,PETROLINA,612.030411420784,melhor_completude,100,347,347,347,347,100,100,100,100,100,100,100,100,100,100
A301,2019,Gaibu,RECIFE,30.0048785608036,top3_distancia,58.3675799086758,262,169,165,164,64.5038167938931,62.9770992366412,62.5954198473283,58.3675799086758,99.9429223744292,99.9429223744292,58.3675799086758,58.3675799086758,99.9429223744292,100
A357,2019,Gaibu,PALMARES,77.0464339824991,top3_distancia,63.8584474885845,262,167,159,155,63.7404580152672,60.6870229007634,59.1603053435115,63.8584474885845,75.6050228310502,72.865296803653,63.8584474885845,63.8698630136986,59.4063926940639,100
A328,2019,Gaibu,SURUBIM,106.563969820775,top3_distancia,99.9885844748859,262,262,262,262,100,100,100,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,100
A309,2019,Gaibu,ARCO VERDE,231.227003270326,melhor_completude,100,262,262,262,262,100,100,100,100,100,100,100,100,100,100
A301,2018,IFPE,RECIFE,37.320922014816,top3_distancia,94.634703196347,275,256,251,247,93.0909090909091,91.2727272727273,89.8181818181818,94.634703196347,94.6575342465753,94.6575342465753,94.634703196347,94.634703196347,94.6575342465753,100
A357,2018,IFPE,PALMARES,65.777050445657,top3_distancia,70.9589041095891,275,233,233,232,84.7272727272727,84.7272727272727,84.3636363636364,70.9589041095891,82.2146118721461,82.1461187214612,70.9589041095891,70.9589041095891,82.2146118721461,100
A328,2018,IFPE,SURUBIM,102.042384103705,top3_distancia,86.9634703196347,275,218,215,215,79.2727272727273,78.1818181818182,78.1818181818182,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,100
A309,2018,IFPE,ARCO VERDE,221.524289059248,melhor_completude,100,275,275,275,275,100,100,100,100,100,100,100,100,100,100
A301,2021,IPOJUCA,RECIFE,43.1702325218827,top3_distancia,98.3459044594416,279,276,272,268,98.9247311827957,97.4910394265233,96.0573476702509,84.8401826484018,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,86.2671232876713
A357,2021,IPOJUCA,PALMARES,65.7758532771756,top3_distancia,73.2762557077626,329,231,231,231,70.2127659574468,70.2127659574468,70.2127659574468,73.2762557077626,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,100
A328,2021,IPOJUCA,SURUBIM,108.480732508596,top3_distancia,42.9794520547945,329,0,0,0,0,0,0,42.9794520547945,43.013698630137,43.013698630137,42.9794520547945,42.9794520547945,43.013698630137,100
A307,2021,IPOJUCA,PETROLINA,614.241984087169,melhor_completude,100,329,329,329,329,100,100,100,100,100,100,100,100,100,100
A357,2025,IPOJUCA,PALMARES,65.7758532771756,top3_distancia,75.9049902934795,312,231,184,146,74.0384615384615,58.974358974359,46.7948717948718,75.87899543379,99.9429223744292,75.87899543379,99.9429223744292,99.9429223744292,99.9429223744292,99.9657534246575
A328,2025,IPOJUCA,SURUBIM,108.480732508596,top3_distancia,24.4033344752769,312,76,76,75,24.3589743589744,24.3589743589744,24.0384615384615,24.3949771689498,25.3995433789954,25.3995433789954,25.3995433789954,24.3949771689498,25.3995433789954,99.9657534246575
A341,2025,IPOJUCA,CARUARU,111.998823291037,top3_distancia_e_melhor_completude,99.9657416923604,312,312,312,312,100,100,100,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9657534246575
