cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,primeiro_ano,ultimo_ano,anos,n_variaveis_detectadas,n_variaveis_com_valor
A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,2017,2021,2017;2018;2019;2020;2021,5,5
A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A322,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A328,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A329,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A341,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A349,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A350,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A351,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A357,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A366,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
A370,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82753,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,0
82789,TRIUNFO,CONVENCIONAL,-7.82972221,-38.12222221,1105,2017,2018,2017;2018,5,3
82797,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82799,GOIANA,CONVENCIONAL,-7.55,-34.98,11,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,0
82886,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82890,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82893,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,2017,2022,2017;2018;2019;2020;2021;2022,5,5
82897,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
82898,OLINDA,CONVENCIONAL,-8.02,-34.85,55,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,4
82900,RECIFE (CURADO),CONVENCIONAL,-8.05916666,-34.95916666,11.3,2017,2020,2017;2018;2019;2020,5,5
82983,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,2017,2025,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,5
