cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,n_variaveis_nucleares_com_valor,completude_min_nucleares
A349,2022,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Horaria,86.2328767123288,86.2328767123288,86.2328767123288,86.2328767123288,86.2328767123288,316,316,316,316,316,4,86.2328767123288
A328,2022,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,77.6940639269407,77.6940639269407,77.6940639269407,77.6940639269407,77.6940639269407,365,365,365,365,365,4,77.6940639269407
A307,2022,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,60.8219178082192,60.8219178082192,60.8219178082192,60.8219178082192,60.8219178082192,222,222,222,222,222,4,60.8219178082192
A370,2022,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Horaria,51.5296803652968,51.5296803652968,51.541095890411,51.541095890411,51.5296803652968,365,365,365,365,365,4,51.5296803652968
A322,2022,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Horaria,56.5639269406393,56.5639269406393,56.5639269406393,47.796803652968,56.5639269406393,214,214,214,210,214,4,47.796803652968
A309,2022,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,42.9794520547945,42.9908675799087,42.9908675799087,42.9908675799087,42.9794520547945,313,313,313,313,313,4,42.9794520547945
A357,2022,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,56.2100456621005,56.2442922374429,56.1872146118721,41.9063926940639,56.1986301369863,206,206,206,206,206,4,41.9063926940639
A351,2022,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Horaria,34.9315068493151,34.9315068493151,34.9315068493151,34.9315068493151,34.9315068493151,128,128,128,128,128,4,34.9315068493151
A329,2022,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,Horaria,35.6392694063927,35.6506849315069,35.6506849315069,34.5776255707763,35.6392694063927,144,145,145,128,144,4,34.5776255707763
A366,2022,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,Horaria,34.3493150684932,34.3493150684932,34.3493150684932,33.6643835616438,34.3493150684932,126,126,126,126,126,4,33.6643835616438
A341,2022,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,22.3173515981735,35.7648401826484,35.7534246575342,35.7534246575342,22.3173515981735,84,134,133,133,84,4,22.3173515981735
A350,2022,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,0,0,0,0,0,0,0,0,0,0,0,0
