estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A301,2021,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,99.7750430064841,99.7882757708085,99.7882757708085,98.3459044594416,99.7750430064841,315,315,315,315,315,38.7434579472453,>25-50 km,4,TRUE,98.3459044594416,99.4210665608046,TRUE,>=90%,1,3
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A357,2021,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,73.2876712328767,268,268,268,268,268,65.0191917948857,>50-75 km,4,TRUE,73.2762557077626,73.2848173515982,TRUE,50-<75%,2,5
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A328,2021,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,42.9794520547945,43.013698630137,43.013698630137,43.013698630137,42.9794520547945,365,365,365,365,365,102.827340130474,>100-150 km,4,TRUE,42.9794520547945,42.9965753424658,TRUE,<50%,3,8
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A341,2021,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,6.79223744292237,6.79223744292237,6.78082191780822,4.72602739726027,6.79223744292237,26,26,25,25,26,108.478840527526,>100-150 km,4,TRUE,4.72602739726027,6.27283105022831,TRUE,<50%,4,12
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A322,2021,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Horaria,63.4474885844749,63.527397260274,63.527397260274,54.9315068493151,63.4474885844749,233,233,233,226,233,169.328085608634,>150 km,4,TRUE,54.9315068493151,61.3384703196347,TRUE,50-<75%,5,6
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A309,2021,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,9.68036529680365,9.71461187214612,9.71461187214612,9.71461187214612,9.68036529680365,238,240,240,240,238,221.398463339983,>150 km,4,TRUE,9.68036529680365,9.69748858447489,TRUE,<50%,6,11
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A349,2021,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Horaria,99.7488584474886,99.7945205479452,99.7945205479452,99.7945205479452,99.7488584474886,365,365,365,365,365,293.767376401278,>150 km,4,TRUE,99.7488584474886,99.7716894977169,TRUE,>=90%,7,2
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A350,2021,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,52.5342465753425,52.5799086757991,52.5799086757991,52.5799086757991,52.5342465753425,271,272,272,272,271,361.294414747582,>150 km,4,TRUE,52.5342465753425,52.5570776255708,TRUE,50-<75%,8,7
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A351,2021,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Horaria,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041,268,268,268,268,268,390.064217962092,>150 km,4,TRUE,73.3904109589041,73.3904109589041,TRUE,50-<75%,9,4
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A370,2021,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Horaria,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927,360,360,360,360,360,447.624720348472,>150 km,4,TRUE,30.6392694063927,30.6392694063927,TRUE,<50%,10,10
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A329,2021,CABROBO,AUTOMATICA,-8.50388888,-39.31527777,342.74,Horaria,94.1438356164384,94.189497716895,94.189497716895,0,94.1438356164384,364,364,364,0,364,470.030472964162,>150 km,3,FALSE,0,70.619292237443,TRUE,incompleta,11,13
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A366,2021,OURICURI,AUTOMATICA,-7.88583333,-40.10277777,457.85,Horaria,38.3904109589041,38.3447488584475,38.3904109589041,38.3561643835616,38.3904109589041,218,218,218,218,218,559.830778146424,>150 km,4,TRUE,38.3561643835616,38.3818493150685,TRUE,<50%,12,9
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,A307,2021,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,100,100,100,100,100,365,365,365,365,365,612.030411420784,>150 km,4,TRUE,100,100,TRUE,>=90%,13,1
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A301,2019,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,58.3675799086758,99.9429223744292,99.9429223744292,99.9429223744292,58.3675799086758,232,365,365,365,232,30.0048785608036,>25-50 km,4,TRUE,58.3675799086758,79.1552511415525,TRUE,50-<75%,1,13
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,A357,2019,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,63.8698630136986,59.4063926940639,75.6050228310502,72.865296803653,63.8584474885845,240,226,285,281,240,77.0464339824991,>75-100 km,4,TRUE,63.8584474885845,69.0496575342466,TRUE,50-<75%,2,12
