estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82897,2021,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,Horaria,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242,1,1,1,1,1,29.4444398985125,>25-50 km,4,TRUE,0.091324200913242,0.091324200913242,TRUE,<50%,1,6
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82898,2021,OLINDA,CONVENCIONAL,-8.02,-34.85,55,Horaria,0.091324200913242,0,0.091324200913242,0.091324200913242,0.091324200913242,1,0,1,1,1,47.0547200279347,>25-50 km,4,TRUE,0.091324200913242,0.091324200913242,FALSE,<50%,2,6
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82781,2021,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,0,0,0,0,0,0,0,0,0,0,77.6426969519577,>75-100 km,0,FALSE,0,0,FALSE,incompleta,3,9
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82799,2021,GOIANA,CONVENCIONAL,-7.55,-34.98,11,Horaria,0,0,0,0,0,0,0,0,0,0,94.4983315709232,>75-100 km,0,FALSE,0,0,FALSE,incompleta,4,9
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82797,2021,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,Horaria,29.1324200913242,29.1324200913242,28.9497716894977,29.041095890411,29.1324200913242,126,126,126,126,126,102.827340130474,>100-150 km,4,TRUE,28.9497716894977,29.0639269406393,TRUE,<50%,5,5
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82893,2021,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,Horaria,8.58447488584475,9.58904109589041,0.091324200913242,0.182648401826484,0.182648401826484,57,64,1,2,2,169.328085608634,>150 km,4,TRUE,0.091324200913242,2.26027397260274,TRUE,<50%,6,6
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82890,2021,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Horaria,65.4794520547945,64.9315068493151,65.4794520547945,65.4794520547945,64.8401826484018,325,325,325,325,325,221.367913268726,>150 km,4,TRUE,64.8401826484018,65.3196347031963,TRUE,50-<75%,7,3
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82886,2021,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Horaria,57.5342465753425,57.5342465753425,57.5342465753425,57.4429223744292,57.5342465753425,316,316,316,316,316,470.030472964162,>150 km,4,TRUE,57.4429223744292,57.5114155251142,TRUE,50-<75%,8,4
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82753,2021,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Horaria,96.2557077625571,96.1643835616438,96.0730593607306,96.0730593607306,96.1643835616438,355,355,355,355,355,558.721688672123,>150 km,4,TRUE,96.0730593607306,96.1415525114155,TRUE,>=90%,9,1
CUPE,2021,-8.39754,-35.04313,"EDCUPE 2024, proxy espacial provisoria para CUPE",proxy_CUPE,82983,2021,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,Horaria,95.7990867579909,95.6164383561644,95.5251141552512,95.7077625570776,95.7990867579909,361,361,361,361,361,612.035742832181,>150 km,4,TRUE,95.5251141552512,95.7077625570777,TRUE,>=90%,10,2
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82900,2019,RECIFE (CURADO),CONVENCIONAL,-8.05916666,-34.95916666,11.3,Horaria,99.634703196347,99.8173515981735,99.8173515981735,99.8173515981735,99.634703196347,365,365,365,365,365,30.0048785608036,>25-50 km,4,TRUE,99.634703196347,99.7260273972603,TRUE,>=90%,1,1
Gaibu,2019,-8.328991667,-34.956294444,Coordenada historica documentada PE01,documentado,82897,2019,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,Horaria,0,0,0,0,0,0,0,0,0,0,30.3079932901722,>25-50 km,0,FALSE,0,0,FALSE,incompleta,2,8
