fonte_dados,ano,mes,n_registros,n_registros_com_valor,n_registros_sem_valor,n_estacoes,inicio,fim
CEMADEN,2017,1,106532,106532,0,167,2017-01-01T03:00:00Z,2017-02-01T02:50:00Z
CEMADEN,2017,2,107807,107807,0,167,2017-02-01T03:00:00Z,2017-03-01T02:50:00Z
CEMADEN,2017,3,138141,138141,0,175,2017-03-01T03:00:00Z,2017-04-01T02:50:00Z
CEMADEN,2017,4,181005,181005,0,170,2017-04-01T03:00:00Z,2017-05-01T02:50:00Z
CEMADEN,2017,5,230921,230921,0,171,2017-05-01T03:00:00Z,2017-06-01T02:50:00Z
CEMADEN,2017,6,277579,277579,0,174,2017-06-01T03:00:00Z,2017-07-01T02:50:00Z
CEMADEN,2017,7,331089,331089,0,183,2017-07-01T03:00:00Z,2017-08-01T02:50:00Z
CEMADEN,2017,8,144066,144066,0,180,2017-08-01T03:00:00Z,2017-09-01T02:50:00Z
CEMADEN,2017,9,136622,136622,0,178,2017-09-01T03:00:00Z,2017-10-01T02:50:00Z
CEMADEN,2017,10,119442,119442,0,183,2017-10-01T03:00:00Z,2017-11-01T02:50:00Z
CEMADEN,2017,11,113237,113237,0,205,2017-11-01T03:00:00Z,2017-12-01T02:50:00Z
CEMADEN,2017,12,153469,153469,0,232,2017-12-01T03:00:00Z,2018-01-01T02:50:00Z
CEMADEN,2018,1,179736,179736,0,279,2018-01-01T03:00:00Z,2018-02-01T02:50:00Z
CEMADEN,2018,2,199726,199726,0,292,2018-02-01T03:00:00Z,2018-03-01T02:50:00Z
CEMADEN,2018,3,225805,225805,0,293,2018-03-01T03:00:00Z,2018-04-01T02:50:00Z
CEMADEN,2018,4,259606,259606,0,298,2018-04-01T03:00:00Z,2018-05-01T02:50:00Z
CEMADEN,2018,5,241180,241180,0,299,2018-05-01T03:00:00Z,2018-06-01T02:50:00Z
CEMADEN,2018,6,228134,228134,0,300,2018-06-01T03:00:00Z,2018-07-01T02:50:00Z
CEMADEN,2018,7,231776,231776,0,295,2018-07-01T03:00:00Z,2018-08-01T02:50:00Z
CEMADEN,2018,8,215118,215118,0,292,2018-08-01T03:00:00Z,2018-09-01T02:50:00Z
CEMADEN,2018,9,202688,202688,0,288,2018-09-01T03:00:00Z,2018-10-01T02:50:00Z
CEMADEN,2018,10,198044,198044,0,290,2018-10-01T03:00:00Z,2018-11-01T02:50:00Z
CEMADEN,2018,11,191265,191265,0,290,2018-11-01T03:00:00Z,2018-12-01T02:50:00Z
CEMADEN,2018,12,197594,197594,0,286,2018-12-01T03:00:00Z,2019-01-01T02:50:00Z
CEMADEN,2019,1,202580,202580,0,280,2019-01-01T03:00:00Z,2019-02-01T02:50:00Z
CEMADEN,2019,2,183878,183878,0,277,2019-02-01T03:00:00Z,2019-03-01T02:50:00Z
CEMADEN,2019,3,211174,211174,0,271,2019-03-01T03:00:00Z,2019-04-01T02:50:00Z
CEMADEN,2019,4,197201,197201,0,272,2019-04-01T03:00:00Z,2019-05-01T02:50:00Z
CEMADEN,2019,5,205330,205330,0,277,2019-05-01T03:00:00Z,2019-06-01T02:50:00Z
CEMADEN,2019,6,252307,252307,0,282,2019-06-01T03:00:00Z,2019-07-01T02:50:00Z
CEMADEN,2019,7,212660,212660,0,281,2019-07-01T03:00:00Z,2019-08-01T02:50:00Z
CEMADEN,2019,8,224918,224918,0,280,2019-08-01T03:00:00Z,2019-09-01T02:50:00Z
CEMADEN,2019,9,202445,202445,0,283,2019-09-01T03:00:00Z,2019-10-01T02:50:00Z
CEMADEN,2019,10,180746,180746,0,290,2019-10-01T03:00:00Z,2019-11-01T02:50:00Z
CEMADEN,2019,11,136838,136838,0,286,2019-11-01T03:00:00Z,2019-12-01T02:50:00Z
CEMADEN,2019,12,167457,167457,0,281,2019-12-01T03:00:00Z,2020-01-01T02:50:00Z
CEMADEN,2020,1,141134,141134,0,268,2020-01-01T03:00:00Z,2020-02-01T02:50:00Z
CEMADEN,2020,2,149996,149996,0,256,2020-02-01T03:00:00Z,2020-03-01T02:50:00Z
CEMADEN,2020,3,168634,168634,0,230,2020-03-01T03:00:00Z,2020-04-01T02:50:00Z
CEMADEN,2020,4,157397,157397,0,215,2020-04-01T03:00:00Z,2020-05-01T02:50:00Z
CEMADEN,2020,5,169749,169749,0,217,2020-05-01T03:00:00Z,2020-06-01T02:50:00Z
CEMADEN,2020,6,197685,197685,0,255,2020-06-01T03:00:00Z,2020-07-01T02:50:00Z
CEMADEN,2020,7,206513,206513,0,255,2020-07-01T03:00:00Z,2020-08-01T02:50:00Z
CEMADEN,2020,8,179291,179291,0,238,2020-08-01T03:00:00Z,2020-09-01T02:50:00Z
CEMADEN,2020,9,166490,166490,0,234,2020-09-01T03:00:00Z,2020-10-01T02:50:00Z
CEMADEN,2020,10,152451,152451,0,236,2020-10-01T03:00:00Z,2020-11-01T02:50:00Z
CEMADEN,2020,11,155663,155663,0,225,2020-11-01T03:00:00Z,2020-12-01T02:50:00Z
CEMADEN,2020,12,154673,154673,0,221,2020-12-01T03:00:00Z,2021-01-01T02:50:00Z
CEMADEN,2021,1,138642,138642,0,211,2021-01-01T03:00:00Z,2021-02-01T02:50:00Z
CEMADEN,2021,2,112820,112820,0,183,2021-02-01T03:00:00Z,2021-03-01T02:50:00Z
CEMADEN,2021,3,139369,139369,0,185,2021-03-01T03:00:00Z,2021-04-01T02:50:00Z
CEMADEN,2021,4,151285,151285,0,180,2021-04-01T03:00:00Z,2021-05-01T02:50:00Z
CEMADEN,2021,5,171700,171700,0,182,2021-05-01T03:00:00Z,2021-06-01T02:50:00Z
CEMADEN,2021,6,151980,151980,0,206,2021-06-01T03:00:00Z,2021-07-01T02:50:00Z
CEMADEN,2021,7,176212,176212,0,221,2021-07-01T03:00:00Z,2021-08-01T02:50:00Z
CEMADEN,2021,8,216326,216326,0,241,2021-08-01T03:00:00Z,2021-09-01T02:50:00Z
CEMADEN,2021,9,163854,163854,0,244,2021-09-01T03:00:00Z,2021-10-01T02:50:00Z
CEMADEN,2021,10,153170,153170,0,244,2021-10-01T03:00:00Z,2021-11-01T02:50:00Z
CEMADEN,2021,11,151617,151617,0,241,2021-11-01T03:00:00Z,2021-12-01T02:50:00Z
CEMADEN,2021,12,166247,166247,0,234,2021-12-01T03:00:00Z,2022-01-01T02:50:00Z
CEMADEN,2022,1,157714,157714,0,220,2022-01-01T03:00:00Z,2022-02-01T02:50:00Z
CEMADEN,2022,2,124683,124683,0,203,2022-02-01T03:00:00Z,2022-03-01T02:50:00Z
CEMADEN,2022,3,168033,168033,0,208,2022-03-01T03:00:00Z,2022-04-01T02:50:00Z
CEMADEN,2022,4,150982,150982,0,215,2022-04-01T03:00:00Z,2022-05-01T02:50:00Z
CEMADEN,2022,5,199087,199087,0,209,2022-05-01T03:00:00Z,2022-06-01T02:50:00Z
CEMADEN,2022,6,183310,183310,0,216,2022-06-01T03:00:00Z,2022-07-01T02:50:00Z
CEMADEN,2022,7,181534,181534,0,209,2022-07-01T03:00:00Z,2022-08-01T02:50:00Z
CEMADEN,2022,8,167794,167794,0,210,2022-08-01T03:00:00Z,2022-09-01T02:50:00Z
CEMADEN,2022,9,142364,142364,0,223,2022-09-01T03:00:00Z,2022-10-01T02:50:00Z
CEMADEN,2022,10,143917,143917,0,214,2022-10-01T03:00:00Z,2022-11-01T02:50:00Z
CEMADEN,2022,11,159363,159363,0,219,2022-11-01T03:00:00Z,2022-12-01T02:50:00Z
CEMADEN,2022,12,143733,143733,0,218,2022-12-01T03:00:00Z,2023-01-01T02:50:00Z
CEMADEN,2023,1,143448,143448,0,207,2023-01-01T03:00:00Z,2023-02-01T02:50:00Z
CEMADEN,2023,2,142738,142738,0,217,2023-02-01T03:00:00Z,2023-03-01T02:50:00Z
CEMADEN,2023,3,173998,173998,0,225,2023-03-01T03:00:00Z,2023-04-01T02:50:00Z
CEMADEN,2023,4,166556,166556,0,223,2023-04-01T03:00:00Z,2023-05-01T02:50:00Z
CEMADEN,2023,5,180161,180161,0,226,2023-05-01T03:00:00Z,2023-06-01T02:50:00Z
CEMADEN,2023,6,214611,214611,0,230,2023-06-01T03:00:00Z,2023-07-01T02:50:00Z
CEMADEN,2023,7,180374,180374,0,249,2023-07-01T03:00:00Z,2023-08-01T02:50:00Z
CEMADEN,2023,8,197258,197258,0,263,2023-08-01T03:00:00Z,2023-09-01T02:50:00Z
CEMADEN,2023,9,191765,191765,0,263,2023-09-01T03:00:00Z,2023-10-01T02:50:00Z
CEMADEN,2023,10,176753,176753,0,259,2023-10-01T03:00:00Z,2023-11-01T02:50:00Z
CEMADEN,2023,11,175807,175807,0,269,2023-11-01T03:00:00Z,2023-12-01T02:50:00Z
CEMADEN,2023,12,186788,186788,0,263,2023-12-01T03:00:00Z,2024-01-01T02:50:00Z
CEMADEN,2024,1,168393,168393,0,257,2024-01-01T03:00:00Z,2024-02-01T02:50:00Z
CEMADEN,2024,2,166474,166474,0,263,2024-02-01T03:00:00Z,2024-03-01T02:50:00Z
CEMADEN,2024,3,168638,168638,0,258,2024-03-01T03:00:00Z,2024-04-01T02:50:00Z
CEMADEN,2024,4,175424,175424,0,253,2024-04-01T03:00:00Z,2024-05-01T02:50:00Z
CEMADEN,2024,5,202319,202319,0,255,2024-05-01T03:00:00Z,2024-06-01T02:50:00Z
CEMADEN,2024,6,219925,219925,0,269,2024-06-01T03:00:00Z,2024-07-01T02:50:00Z
CEMADEN,2024,7,226442,226442,0,276,2024-07-01T03:00:00Z,2024-08-01T02:50:00Z
CEMADEN,2024,8,186587,186587,0,286,2024-08-01T03:00:00Z,2024-09-01T02:50:00Z
CEMADEN,2024,9,198984,198984,0,283,2024-09-01T03:00:00Z,2024-10-01T02:50:00Z
CEMADEN,2024,10,193588,193588,0,275,2024-10-01T03:00:00Z,2024-11-01T02:50:00Z
CEMADEN,2024,11,182584,182584,0,276,2024-11-01T03:00:00Z,2024-12-01T02:50:00Z
CEMADEN,2024,12,180290,180290,0,278,2024-12-01T03:00:00Z,2025-01-01T02:50:00Z
CEMADEN,2025,1,186316,186316,0,271,2025-01-01T03:00:00Z,2025-02-01T02:50:00Z
CEMADEN,2025,2,185751,185751,0,263,2025-02-01T03:00:00Z,2025-03-01T02:50:00Z
CEMADEN,2025,3,196005,196005,0,257,2025-03-01T03:00:00Z,2025-04-01T02:50:00Z
CEMADEN,2025,4,173201,173201,0,262,2025-04-01T03:00:00Z,2025-05-01T02:50:00Z
CEMADEN,2025,5,216534,216534,0,256,2025-05-01T03:00:00Z,2025-06-01T02:50:00Z
CEMADEN,2025,6,223101,223101,0,256,2025-06-01T03:00:00Z,2025-07-01T02:50:00Z
CEMADEN,2025,7,213922,213922,0,252,2025-07-01T03:00:00Z,2025-08-01T02:50:00Z
CEMADEN,2025,8,215920,215920,0,261,2025-08-01T03:00:00Z,2025-09-01T02:50:00Z
CEMADEN,2025,9,176859,176859,0,287,2025-09-01T03:00:00Z,2025-10-01T02:50:00Z
CEMADEN,2025,10,321883,321883,0,263,2025-10-01T03:00:00Z,2025-11-01T02:50:00Z
CEMADEN,2025,11,165782,165782,0,257,2025-11-01T03:00:00Z,2025-12-01T02:50:00Z
CEMADEN,2025,12,150588,150588,0,244,2025-12-01T03:00:00Z,2025-12-31T23:50:00Z
INMET,2017,1,10044,8525,1519,24,2017-01-01T03:00:00Z,2017-02-01T02:00:00Z
INMET,2017,2,9072,7914,1158,24,2017-02-01T03:00:00Z,2017-03-01T02:00:00Z
INMET,2017,3,10044,8714,1330,24,2017-03-01T03:00:00Z,2017-04-01T02:00:00Z
INMET,2017,4,9720,8399,1321,24,2017-04-01T03:00:00Z,2017-05-01T02:00:00Z
INMET,2017,5,10044,9052,992,24,2017-05-01T03:00:00Z,2017-06-01T02:00:00Z
INMET,2017,6,9720,7391,2329,24,2017-06-01T03:00:00Z,2017-07-01T02:00:00Z
INMET,2017,7,10044,8855,1189,24,2017-07-01T03:00:00Z,2017-08-01T02:00:00Z
INMET,2017,8,10044,8135,1909,24,2017-08-01T03:00:00Z,2017-09-01T02:00:00Z
INMET,2017,9,10131,7597,2534,25,2017-09-01T03:00:00Z,2017-10-01T02:00:00Z
INMET,2017,10,10788,8958,1830,25,2017-10-01T03:00:00Z,2017-11-01T02:00:00Z
INMET,2017,11,10440,9123,1317,25,2017-11-01T03:00:00Z,2017-12-01T02:00:00Z
INMET,2017,12,10788,9058,1730,25,2017-12-01T03:00:00Z,2018-01-01T02:00:00Z
INMET,2018,1,10788,7752,3036,25,2018-01-01T03:00:00Z,2018-02-01T02:00:00Z
INMET,2018,2,9744,6860,2884,25,2018-02-01T03:00:00Z,2018-03-01T02:00:00Z
INMET,2018,3,10778,8539,2239,25,2018-03-01T03:00:00Z,2018-04-01T02:00:00Z
INMET,2018,4,10350,8527,1823,24,2018-04-01T03:00:00Z,2018-05-01T02:00:00Z
INMET,2018,5,10695,8758,1937,24,2018-05-01T03:00:00Z,2018-06-01T02:00:00Z
INMET,2018,6,10350,8095,2255,24,2018-06-01T03:00:00Z,2018-07-01T02:00:00Z
INMET,2018,7,10695,9283,1412,24,2018-07-01T03:00:00Z,2018-08-01T02:00:00Z
INMET,2018,8,10695,10252,443,24,2018-08-01T03:00:00Z,2018-09-01T02:00:00Z
INMET,2018,9,10350,9816,534,24,2018-09-01T03:00:00Z,2018-10-01T02:00:00Z
INMET,2018,10,10695,9708,987,24,2018-10-01T03:00:00Z,2018-11-01T02:00:00Z
INMET,2018,11,10350,9378,972,24,2018-11-01T03:00:00Z,2018-12-01T02:00:00Z
INMET,2018,12,10695,6654,4041,24,2018-12-01T03:00:00Z,2019-01-01T02:00:00Z
INMET,2019,1,10695,6310,4385,24,2019-01-01T03:00:00Z,2019-02-01T02:00:00Z
INMET,2019,2,9660,6300,3360,24,2019-02-01T03:00:00Z,2019-03-01T02:00:00Z
INMET,2019,3,10695,7675,3020,24,2019-03-01T03:00:00Z,2019-04-01T02:00:00Z
INMET,2019,4,10350,7305,3045,24,2019-04-01T03:00:00Z,2019-05-01T02:00:00Z
INMET,2019,5,10695,7991,2704,24,2019-05-01T03:00:00Z,2019-06-01T02:00:00Z
INMET,2019,6,10350,6998,3352,24,2019-06-01T03:00:00Z,2019-07-01T02:00:00Z
INMET,2019,7,10695,9026,1669,24,2019-07-01T03:00:00Z,2019-08-01T02:00:00Z
INMET,2019,8,10695,9353,1342,24,2019-08-01T03:00:00Z,2019-09-01T02:00:00Z
