fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,9885,9885,0,217,8,2017-01-01T03:00:00Z,2017-08-05T15:10:00Z,0,13.01
CEMADEN,260005401A,Distrito Industrial - Timbó,2018,6876,6876,0,249,9,2018-04-27T11:50:00Z,2019-01-01T02:00:00Z,0,9.55
CEMADEN,260005401A,Distrito Industrial - Timbó,2019,9181,9181,0,351,12,2019-01-01T03:00:00Z,2019-12-31T16:00:00Z,0,11.18
CEMADEN,260005401A,Distrito Industrial - Timbó,2020,6275,6275,0,283,10,2020-01-01T11:00:00Z,2021-01-01T02:30:00Z,0,9.22
CEMADEN,260005401A,Distrito Industrial - Timbó,2021,10951,10951,0,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,0,14.25
CEMADEN,260005401A,Distrito Industrial - Timbó,2022,13298,13298,0,365,12,2022-01-01T03:00:00Z,2023-01-01T01:50:00Z,0,13.4
CEMADEN,260005401A,Distrito Industrial - Timbó,2023,12191,12191,0,365,12,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,0,9.77
CEMADEN,260005401A,Distrito Industrial - Timbó,2024,747,747,0,28,1,2024-01-01T03:00:00Z,2024-01-28T04:20:00Z,0,11.79
CEMADEN,260005402A,ABREU E LIMA - APAC,2017,1082,1082,0,55,3,2017-10-16T18:30:00Z,2018-01-01T02:00:00Z,0,3.35
CEMADEN,260005402A,ABREU E LIMA - APAC,2018,6122,6122,0,325,12,2018-01-01T04:00:00Z,2018-12-31T22:10:00Z,0,14.48
CEMADEN,260005402A,ABREU E LIMA - APAC,2019,6805,6805,0,264,10,2019-01-01T11:20:00Z,2020-01-01T02:00:00Z,0,2452.77
CEMADEN,260005402A,ABREU E LIMA - APAC,2020,9898,9898,0,348,12,2020-01-01T03:00:00Z,2021-01-01T02:20:00Z,0,17.08
