fonte_dados,cod_estacao,nome_estacao,municipios,tipo_regra,tipo_estacao,ano,criterio_primario,elegivel_pareamento_primario,n_dias_calendario,n_dias_com_valor,n_dias_cobertura_primaria,n_dias_sens_1,n_dias_sens_2,prop_cobertura_primaria,prop_sens_1,prop_sens_2,n_dias_disponibilidade_convencional,maior_lacuna_dias_sem_cobertura_primaria,p95_maior_gap_dia_min
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,217,214,214,214,0.586301369863014,0.586301369863014,0.586301369863014,0,149,60
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,249,224,233,238,0.613698630136986,0.638356164383562,0.652054794520548,0,117,80
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2019,CEMADEN_MAX_GAP_60MIN,TRUE,365,351,246,259,268,0.673972602739726,0.70958904109589,0.734246575342466,0,47,1425
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2020,CEMADEN_MAX_GAP_60MIN,TRUE,366,283,138,154,174,0.377049180327869,0.420765027322404,0.475409836065574,0,159,1440
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2021,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,321,331,336,0.879452054794521,0.906849315068493,0.920547945205479,0,9,120
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2022,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,308,325,327,0.843835616438356,0.89041095890411,0.895890410958904,0,5,120
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2023,CEMADEN_MAX_GAP_60MIN,TRUE,365,365,339,347,352,0.928767123287671,0.950684931506849,0.964383561643836,0,2,70
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2024,CEMADEN_MAX_GAP_60MIN,TRUE,366,28,27,27,27,0.0737704918032787,0.0737704918032787,0.0737704918032787,0,339,60
CEMADEN,260005402A,ABREU E LIMA - APAC,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2017,CEMADEN_MAX_GAP_60MIN,TRUE,365,55,9,9,10,0.0246575342465753,0.0246575342465753,0.0273972602739726,0,327,1088.5
CEMADEN,260005402A,ABREU E LIMA - APAC,ABREU E LIMA,CEMADEN,PLUVIOMETRICA_AUTOMATICA,2018,CEMADEN_MAX_GAP_60MIN,TRUE,365,325,15,22,31,0.0410958904109589,0.0602739726027397,0.0849315068493151,0,176,4610
