criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,205,191,55.0432276657061,0.976082389950184,0.901628262022569,0.979329838236905,0.90364981265187,952.2,1162.57,1.22093047679059,1.02619512195122,1.64980487804878,4.35239597597775,0.956282722513089,1.58706806282723,4.17196157110601,0.91219512195122,0.856,0.868292682926829,0.703296703296703,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_60min,199,184,53.0259365994236,0.959134878636507,0.800299295376793,0.960544975835454,0.796966748511782,956.8,984.33,1.02877299331104,0.138341708542713,2.27472361809045,5.41926198873173,0.0526630434782608,2.32559782608696,5.52775265876846,0.85427135678392,0.766129032258065,0.814070351758794,0.584269662921348,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_60min,288,272,78.3861671469741,0.975278262739299,0.821409573760181,0.975545356245433,0.818836798463665,1842.55,1540.76,0.83621068627717,-1.04788194444444,1.7734375,4.17012177579984,-1.07176470588235,1.83102941176471,4.24621501007247,0.822916666666667,0.735751295336788,0.871527777777778,0.753333333333333,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_70min,301,284,81.8443804034582,0.925044286656804,0.876421567153882,0.928006539882158,0.880296253530453,1621,2008.53,1.23906847624923,1.28747508305648,2.22196013289037,6.85507283608569,1.23584507042254,2.17922535211268,6.87946080633617,0.906976744186047,0.867298578199052,0.857142857142857,0.736196319018405,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_70min,304,286,82.4207492795389,0.88938915102009,0.755202790479266,0.890920208513494,0.753813448301652,1726.8,1798.63,1.0415971739634,0.236282894736842,3.08069078947368,7.76278434092331,0.157412587412587,3.1341958041958,7.92044499703451,0.828947368421053,0.762557077625571,0.782894736842105,0.614035087719298,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_70min,308,291,83.8616714697406,0.975423155117429,0.835968257726069,0.975674656504687,0.832571203594476,2090.86,1766.78,0.845001578297925,-1.05220779220779,1.80396103896104,4.18121052191485,-1.08020618556701,1.86384879725086,4.25973435436524,0.831168831168831,0.755868544600939,0.876623376623377,0.772455089820359,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_90min,323,306,88.1844380403458,0.918351953557868,0.873263615545895,0.921133744388241,0.876458498208154,1787.4,2225.4,1.2450486740517,1.35603715170279,2.31015479876161,7.02637529919953,1.31192810457516,2.27539215686275,7.05782773613392,0.910216718266254,0.873913043478261,0.854489164086687,0.737430167597765,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_90min,318,300,86.4553314121038,0.877513635673001,0.71342414315749,0.878958072382713,0.709397065148448,1787.6,1867.76,1.0448422465876,0.252075471698113,3.32106918238994,8.02248753749784,0.177833333333333,3.3865,8.18312375155926,0.820754716981132,0.753246753246753,0.761006289308176,0.582417582417583,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_90min,318,301,86.7435158501441,0.975121683898419,0.840548873108143,0.975360489165177,0.837387245661292,2219.67,1875.66,0.845017502601738,-1.08179245283019,1.85034591194969,4.18306194464108,-1.11053156146179,1.91086378737542,4.25906993886999,0.833333333333333,0.762331838565022,0.877358490566038,0.779661016949153,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_60min,313,232,84.3636363636364,0.967139378621017,0.90530344255979,0.971151481263179,0.92022881195193,1338.15,1286.31,0.961259948436274,-0.165623003194888,1.18984025559105,2.72321190271573,-0.1025,1.26413793103448,2.74426251006312,0.881789137380192,0.814070351758794,0.888178913738019,0.763513513513514,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
max_gap_70min,332,250,90.9090909090909,0.960989642295082,0.911062558689036,0.963562627431191,0.925252247660299,1484.23,1436.38,0.96776106129104,-0.144126506024097,1.2941265060241,2.97040173137963,-0.0791600000000001,1.40204,3.06942750362344,0.885542168674699,0.825688073394496,0.88855421686747,0.773006134969325,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
max_gap_90min,346,261,94.9090909090909,0.968221865805193,0.911446331988676,0.971089633353108,0.923595092617059,1666.27,1637.77,0.982895929231157,-0.0823699421965319,1.3514450867052,3.00649249289377,0.00287356321839068,1.48379310344828,3.12743397932221,0.88728323699422,0.831168831168831,0.878612716763006,0.76,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
max_gap_60min,199,172,52.2796352583587,0.959134878636507,0.800299295376793,0.953834439380629,0.780722844352752,956.8,984.33,1.02877299331104,0.138341708542713,2.27472361809045,5.41926198873173,0.123895348837209,2.3171511627907,5.5687604044222,0.85427135678392,0.766129032258065,0.814070351758794,0.584269662921348,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_60min,205,178,54.1033434650456,0.976082389950184,0.901628262022569,0.976308765213923,0.889988024965141,952.2,1162.57,1.22093047679059,1.02619512195122,1.64980487804878,4.35239597597775,0.988370786516854,1.51050561797753,4.04758875370277,0.91219512195122,0.856,0.868292682926829,0.703296703296703,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_60min,288,256,77.8115501519757,0.975278262739299,0.821409573760181,0.969469121170167,0.80315341970878,1540.76,1842.55,1.19587086892183,1.04788194444444,1.7734375,4.17012177579984,1.0023046875,1.7594921875,4.21481098515995,0.822916666666667,0.735751295336788,0.871527777777778,0.753333333333333,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_70min,304,270,82.0668693009119,0.88938915102009,0.755202790479266,0.870100661187735,0.730543307871729,1726.8,1798.63,1.0415971739634,0.236282894736842,3.08069078947368,7.76278434092331,0.322074074074074,3.06844444444444,7.94867037565031,0.828947368421053,0.762557077625571,0.782894736842105,0.614035087719298,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_70min,301,268,81.4589665653496,0.925044286656804,0.876421567153882,0.910590544681904,0.865482671759008,1621,2008.53,1.23906847624923,1.28747508305648,2.22196013289037,6.85507283608569,1.2735447761194,2.17764925373134,6.97456634825913,0.906976744186047,0.867298578199052,0.857142857142857,0.736196319018405,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_70min,308,274,83.2826747720365,0.975423155117429,0.835968257726069,0.97167981759898,0.81753128012562,1766.78,2090.86,1.18342974224295,1.05220779220779,1.80396103896104,4.18121052191485,0.958138686131387,1.74412408759124,4.1146220037297,0.831168831168831,0.755868544600939,0.876623376623377,0.772455089820359,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_90min,318,284,86.322188449848,0.877513635673001,0.71342414315749,0.855361506482065,0.683288594352496,1787.6,1867.76,1.0448422465876,0.252075471698113,3.32106918238994,8.02248753749784,0.335528169014084,3.33820422535211,8.22360380289823,0.820754716981132,0.753246753246753,0.761006289308176,0.582417582417583,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_90min,323,290,88.145896656535,0.918351953557868,0.873263615545895,0.902756080980305,0.862826661842865,1787.4,2225.4,1.2450486740517,1.35603715170279,2.31015479876161,7.02637529919953,1.35096551724138,2.27924137931035,7.15316206905778,0.910216718266254,0.873913043478261,0.854489164086687,0.737430167597765,IPOJUCA,2021,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_90min,318,284,86.322188449848,0.975121683898419,0.840548873108143,0.971399095868314,0.823555549102501,1875.66,2219.67,1.18340744058092,1.08179245283019,1.85034591194969,4.18306194464108,0.994577464788732,1.79816901408451,4.11909030364442,0.833333333333333,0.762331838565022,0.877358490566038,0.779661016949153,IPOJUCA,2021,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_60min,247,212,67.948717948718,0.951234855656806,0.690368909150818,0.957378978844508,0.658131212609225,797,932.11,1.16952321204517,0.547004048582996,1.8397975708502,5.33116553025051,0.48627358490566,1.73580188679245,5.27614545374335,0.761133603238866,0.572463768115942,0.850202429149798,0.588888888888889,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_60min,252,217,69.5512820512821,0.63197712108036,0.68272903959159,0.660537186752538,0.696671749280716,751,574.68,0.765219707057257,-0.69968253968254,2.1965873015873,6.96535143656949,-0.448801843317972,2.05700460829493,6.88591901238762,0.781746031746032,0.615384615384615,0.817460317460317,0.488888888888889,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_60min,307,264,84.6153846153846,0.521277605493383,0.406378258779196,0.543963495266396,0.398979352505313,1307.2,1101.28,0.842472460220318,-0.670749185667753,4.26065146579805,10.9174156956815,-0.459469696969697,4.12204545454545,10.8714828168178,0.667752442996743,0.46875,0.716612377850163,0.364963503649635,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_70min,344,297,95.1923076923077,0.925872431563198,0.741903512406812,0.931367747044976,0.718738027819305,1790.4,1960.01,1.09473302055407,0.493052325581395,2.80566860465116,6.15124342223057,0.40979797979798,2.6940404040404,6.08778754877806,0.758720930232558,0.643776824034335,0.816860465116279,0.64,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_70min,337,290,92.9487179487179,0.750750603145249,0.723260410314418,0.761379704906716,0.729954267453823,1462.4,1296.59,0.886617888402626,-0.492017804154303,2.67213649851632,6.85341559671134,-0.434862068965517,2.56851724137931,6.80812265884884,0.786350148367952,0.682819383259912,0.801186943620178,0.583850931677019,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_70min,326,281,90.0641025641026,0.509805694597949,0.436535454188396,0.518517279207995,0.427327130330843,1466.28,1239.79,0.84553427721854,-0.694754601226994,4.49684049079755,11.0936242535861,-0.56017793594306,4.37946619217082,11.0976368713395,0.680981595092025,0.502392344497608,0.711656441717791,0.38961038961039,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
