criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,205,191,55.0432276657061,0.976082389950184,0.901628262022569,0.979329838236905,0.90364981265187,952.2,1162.57,1.22093047679059,1.02619512195122,1.64980487804878,4.35239597597775,0.956282722513089,1.58706806282723,4.17196157110601,0.91219512195122,0.856,0.868292682926829,0.703296703296703,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_60min,199,184,53.0259365994236,0.959134878636507,0.800299295376793,0.960544975835454,0.796966748511782,956.8,984.33,1.02877299331104,0.138341708542713,2.27472361809045,5.41926198873173,0.0526630434782608,2.32559782608696,5.52775265876846,0.85427135678392,0.766129032258065,0.814070351758794,0.584269662921348,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_60min,46,44,12.6801152737752,0.366809664009774,0.780517560744522,0.3880467492049,0.77821444627068,48.4,203.22,4.19876033057851,3.36565217391304,3.65565217391304,6.85304502297749,3.04181818181818,3.345,6.55548417184213,0.891304347826087,0.852941176470588,0.673913043478261,0.4,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,117,113,32.5648414985591,0.888087795908292,0.604204824688344,0.887938937313728,0.599593284662203,590.6,683.21,1.15680663731798,0.791538461538461,3.76846153846154,9.96029489317331,0.796725663716814,3.87548672566372,10.1332058630005,0.683760683760684,0.597826086956522,0.752136752136752,0.491228070175439,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290202A,Charneca,11.2832131026728
max_gap_60min,185,172,49.5677233429395,0.870042759603843,0.624629423089911,0.870369139220026,0.613114448658612,829,900.95,1.08679131483715,0.388918918918919,3.52037837837838,9.37780366725715,0.384883720930232,3.69186046511628,9.69534766158851,0.756756756756757,0.625,0.756756756756757,0.464285714285714,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,207,193,55.6195965417868,0.906497317849269,0.656459192419975,0.906541092668733,0.646363823555278,981.6,1044.67,1.06425224123879,0.304685990338164,2.91019323671498,8.0160787997419,0.340518134715026,3.06466321243523,8.28554262437355,0.758454106280193,0.645390070921986,0.753623188405797,0.5,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290203A,Torrinha,12.3419267993948
max_gap_60min,85,74,21.3256484149856,0.886242842791847,0.462310594474329,0.887346970249306,0.473609740617589,290.4,387.8,1.33539944903581,1.14588235294118,2.91529411764706,7.85441052567806,1.4,3.21621621621622,8.36634183354205,0.658823529411765,0.516666666666667,0.717647058823529,0.4,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290201G,Pirapama,13.0597386932039
max_gap_60min,187,175,50.4322766570605,0.358418074634514,0.240015376723463,0.360076490518454,0.25432446287327,834.2,229.42,0.275017981299449,-3.23411764705882,3.84149732620321,17.0445330203662,-3.47868571428571,4.00622857142857,17.6017962882039,0.481283422459893,0.184873949579832,0.700534759358289,0.2,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720802A,Camela,15.3107152412702
max_gap_60min,212,198,57.0605187319885,0.899328679092298,0.656142964346842,0.899845792147834,0.653034651771088,961,1006.56,1.04740894901145,0.214905660377358,3.03632075471698,8.82286940446825,0.218636363636363,3.16863636363636,9.10611624296017,0.768867924528302,0.644927536231884,0.768867924528302,0.519607843137255,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,288,272,78.3861671469741,0.975278262739299,0.821409573760181,0.975545356245433,0.818836798463665,1842.55,1540.76,0.83621068627717,-1.04788194444444,1.7734375,4.17012177579984,-1.07176470588235,1.83102941176471,4.24621501007247,0.822916666666667,0.735751295336788,0.871527777777778,0.753333333333333,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_60min,63,61,17.5792507204611,0.930806211257677,0.914225602137436,0.930466608167652,0.910151459619924,455.1,396.44,0.871105251593057,-0.931111111111111,2.52349206349206,5.31052862582571,-0.794098360655738,2.43868852459016,5.31597345464514,0.888888888888889,0.847826086956522,0.952380952380952,0.921052631578947,CUPE,2021,260720801A,Centro,2.31199229299342,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,173,166,47.8386167146974,0.872216313872216,0.795420405876056,0.875846110154201,0.79511036304509,1380.51,1336.59,0.968185670513071,-0.253872832369942,4.70739884393064,9.8559059492735,-0.018433734939759,4.65975903614458,9.88455506918054,0.757225433526012,0.697841726618705,0.786127167630058,0.660550458715596,CUPE,2021,260720801A,Centro,2.31199229299342,260290202A,Charneca,11.2832131026728
max_gap_60min,258,245,70.6051873198847,0.843160872173122,0.708908370920261,0.845514891288692,0.71193421875203,1610.35,1631.09,1.01287918775421,0.0803875968992248,4.31860465116279,10.1026248028409,0.175142857142857,4.3849387755102,10.2574544122998,0.75968992248062,0.651685393258427,0.802325581395349,0.633093525179856,CUPE,2021,260720801A,Centro,2.31199229299342,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,302,286,82.4207492795389,0.87139089026962,0.782287275848396,0.873299808220878,0.777103566679443,1946.99,1916.44,0.984309113041156,-0.101158940397351,3.51937086092715,8.76433763831646,-0.0252797202797203,3.57576923076923,8.90156808296518,0.804635761589404,0.728110599078341,0.80794701986755,0.664739884393064,CUPE,2021,260720801A,Centro,2.31199229299342,260290203A,Torrinha,12.3419267993948
max_gap_60min,107,96,27.6657060518732,0.929653620110922,0.662144632369576,0.928964233716371,0.677803549138516,695.35,826.4,1.18846624002301,1.22476635514019,3.92121495327103,8.3598937412198,1.40177083333333,4.29635416666667,8.81164398915813,0.710280373831776,0.621951219512195,0.728971962616822,0.546875,CUPE,2021,260720801A,Centro,2.31199229299342,260290201G,Pirapama,13.0597386932039
max_gap_60min,265,252,72.6224783861672,0.321072428828154,0.139176316221914,0.32382262950001,0.172259887416235,1652.13,423.42,0.256287338163462,-4.63664150943396,5.83845283018868,16.7995699518183,-4.72988095238095,5.90615079365079,17.1305555349646,0.460377358490566,0.168604651162791,0.562264150943396,0.153284671532847,CUPE,2021,260720801A,Centro,2.31199229299342,260720802A,Camela,15.3107152412702
max_gap_60min,306,290,83.5734870317003,0.870474910624698,0.72703279407963,0.873357240983939,0.723325427010765,1941.17,1797.33,0.925900359061803,-0.470065359477124,3.76522875816994,8.79058869889854,-0.459862068965517,3.82406896551724,8.91862394674472,0.774509803921569,0.686363636363636,0.784313725490196,0.633333333333333,CUPE,2021,260720801A,Centro,2.31199229299342,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,55,53,15.2737752161383,0.926147737713212,0.929200996391788,0.928553288527055,0.92690139059655,332.39,324.14,0.97517975871717,-0.15,2.12018181818182,3.60545924448417,-0.164905660377359,2.04150943396226,3.58055387303918,0.909090909090909,0.878048780487805,0.909090909090909,0.848484848484848,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155
max_gap_60min,166,160,46.1095100864553,0.878625806480791,0.815357837181928,0.880010163982502,0.81589314333982,1110.28,1240.66,1.11742983751846,0.785421686746988,3.85831325301205,8.60760563099839,0.9355,3.882375,8.70998299366882,0.771084337349398,0.707692307692308,0.831325301204819,0.714285714285714,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290202A,Charneca,11.2832131026728
max_gap_60min,251,237,68.299711815562,0.845075431205654,0.651210779366759,0.846352896172513,0.656164859870036,1297.55,1599,1.23232245385534,1.20099601593626,4.12864541832669,9.17674080015053,1.32544303797468,4.24426160337553,9.38853769680818,0.749003984063745,0.625,0.800796812749004,0.612403100775194,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,287,271,78.0979827089337,0.846587235610843,0.673977485965064,0.847033141060441,0.672074588342212,1477.94,1774.52,1.20067120451439,1.03337979094077,3.42459930313589,9.03627864263365,1.17365313653137,3.54752767527675,9.26913984712363,0.745644599303136,0.640394088669951,0.787456445993031,0.611464968152866,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290203A,Torrinha,12.3419267993948
max_gap_60min,106,94,27.0893371757925,0.924057162163648,0.670275622804184,0.923395837934694,0.702491011110591,562.42,740.4,1.31645389566516,1.67905660377359,3.23584905660377,7.59663865587436,1.93936170212766,3.56468085106383,8.05045366767111,0.69811320754717,0.58974358974359,0.792452830188679,0.6,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290201G,Pirapama,13.0597386932039
max_gap_60min,258,245,70.6051873198847,0.331046602510109,0.224717495768594,0.332455967805429,0.244442611233001,1279.46,435.16,0.340112234849077,-3.27248062015504,4.66589147286822,14.809802719454,-3.38714285714286,4.76787755102041,15.1533479967367,0.550387596899225,0.2,0.655038759689923,0.205357142857143,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260720802A,Camela,15.3107152412702
max_gap_60min,293,277,79.8270893371758,0.848459411323037,0.641556098861289,0.848653909711898,0.638290891986983,1505.2,1698.49,1.12841482859421,0.659692832764505,3.68522184300341,8.34107278602957,0.74826714801444,3.82617328519856,8.55608443544277,0.733788395904437,0.623188405797102,0.784982935153584,0.611111111111111,CUPE,2021,260720804A,Rurópolis,3.31306361103069,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,40,38,10.9510086455331,0.80718760788797,0.805288566993103,0.818057713237988,0.806522203245673,318.55,357.75,1.12305760477162,0.98,6.152,15.7246610456315,1.51052631578947,5.99684210526316,15.9500080844725,0.775,0.735294117647059,0.75,0.655172413793103,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290202A,Charneca,11.2832131026728
max_gap_60min,60,58,16.7146974063401,0.923937203376537,0.798750049410138,0.940844425954156,0.801833218072683,316.73,440.02,1.3892589903072,2.05483333333333,4.80916666666667,13.3056012641293,2.44689655172414,4.65379310344828,13.3927423732357,0.883333333333333,0.825,0.85,0.727272727272727,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,68,66,19.0201729106628,0.783308948965602,0.82046063207597,0.795910661422084,0.829779707638151,348.63,335.35,0.961908040042452,-0.195294117647059,3.40558823529412,7.71730599138753,0.053939393939394,3.25363636363636,7.62259937371244,0.882352941176471,0.826086956521739,0.823529411764706,0.707317073170732,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290203A,Torrinha,12.3419267993948
