estacao_historica,ano_alvo,cod_estacao,nome_estacao,max_precip_diaria_09e,max_precip_diaria_09f,n_registros_00h_relocados,diferenca_max_diaria_mm
CUPE,2021,260290201G,Pirapama,155,155,19,0
CUPE,2021,260290202A,Charneca,162.47,161.09,22,-1.38
CUPE,2021,260290203A,Torrinha,147.9,148.1,359,0.199999999999989
CUPE,2021,260290204A,Enseado dos Corais,148.76,147.78,358,-0.97999999999999
CUPE,2021,260290205A,Pontes dos Carvalhos,122.46,122.66,26,0.200000000000003
CUPE,2021,260720801A,Centro,203.39,204.57,21,1.18000000000001
CUPE,2021,260720801G,Campo do Avião,209.2,210.4,20,1.20000000000002
CUPE,2021,260720802A,Camela,89.92,89.92,5,0
CUPE,2021,260720804A,Rurópolis,186.51,187.1,17,0.590000000000003
CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,54.17,54.37,138,0.199999999999996
IFPE,2018,260290202A,Charneca,117.24,115.86,2,-1.38
IFPE,2018,260290203A,Torrinha,142.87,142.67,155,-0.200000000000017
IFPE,2018,260290204A,Enseado dos Corais,86.73,86.73,363,0
IFPE,2018,260290205A,Pontes dos Carvalhos,82.34,82.34,8,0
IFPE,2018,260720801A,Centro,99.21,103.15,17,3.94000000000001
IFPE,2018,260720802A,Camela,113.2,113.2,17,0
IFPE,2018,260720803A,Porto de Galinhas,110.05,110.25,8,0.200000000000003
IFPE,2018,260720804A,Rurópolis,103.77,106.13,12,2.36
IFPE,2018,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,87.47,87.47,23,0
IPOJUCA,2021,260290201G,Pirapama,155,155,19,0
IPOJUCA,2021,260290202A,Charneca,162.47,161.09,22,-1.38
IPOJUCA,2021,260290203A,Torrinha,147.9,148.1,359,0.199999999999989
IPOJUCA,2021,260290204A,Enseado dos Corais,148.76,147.78,358,-0.97999999999999
IPOJUCA,2021,260720801A,Centro,203.39,204.57,21,1.18000000000001
IPOJUCA,2021,260720801G,Campo do Avião,209.2,210.4,20,1.20000000000002
IPOJUCA,2021,260720802A,Camela,89.92,89.92,5,0
IPOJUCA,2021,260720804A,Rurópolis,186.51,187.1,17,0.590000000000003
IPOJUCA,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,54.17,54.37,138,0.199999999999996
IPOJUCA,2021,261420401A,Centro,168.59,168.98,357,0.389999999999986
IPOJUCA,2021,261420402A,SIRINHAEM - APAC,89.3,89.1,179,-0.200000000000003
IPOJUCA,2025,260290201G,Pirapama,307,305.6,18,-1.39999999999998
IPOJUCA,2025,260290202A,Charneca,160.5,157.94,359,-2.56
IPOJUCA,2025,260290203A,Torrinha,131.7,126.19,26,-5.50999999999999
IPOJUCA,2025,260290204A,Enseado dos Corais,103.12,100.96,157,-2.16000000000001
IPOJUCA,2025,260720801A,Centro,96.69,96.69,13,0
IPOJUCA,2025,260720801G,Campo do Avião,89,89,21,0
IPOJUCA,2025,260720804A,Rurópolis,125.05,125.05,21,0
IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,124.26,124.26,313,0
IPOJUCA,2025,261420401A,Centro,122.5,122.89,115,0.390000000000001
