estacao_historica,ano_alvo,cod_estacao,nome_estacao,municipios,distancia_km,n_dias_ano,n_dias_com_precipitacao,n_dias_cobertura_60,n_dias_cobertura_70,n_dias_cobertura_90,n_dias_mp10_validos,n_overlap_60_mp10,n_overlap_70_mp10,n_overlap_90_mp10,total_mm_dias_60,total_mm_dias_70,total_mm_dias_90,max_precip_diaria_final_mm,n_registros_00h_relocados,pct_overlap_60_mp10,pct_overlap_70_mp10,pct_overlap_90_mp10
CUPE,2021,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,365,365,223,328,345,347,208,310,327,1023.2,1757.2,1825.8,210.4,20,59.9423631123919,89.3371757925072,94.2363112391931
CUPE,2021,260720801A,Centro,IPOJUCA,2.31199229299342,365,365,322,330,339,347,305,313,322,2079.84,2120.49,2239.2,204.57,21,87.8962536023055,90.2017291066282,92.7953890489914
CUPE,2021,260720804A,Rurópolis,IPOJUCA,3.31306361103069,365,365,312,326,328,347,295,308,310,1669.57,1864.03,1877.05,187.1,17,85.014409221902,88.7608069164265,89.3371757925072
CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,10.642748652155,365,171,73,81,84,347,71,79,82,406.55,435.63,439.23,54.37,138,20.4610951008646,22.7665706051873,23.6311239193084
CUPE,2021,260290202A,Charneca,CABO DE SANTO AGOSTINHO,11.2832131026728,365,266,185,192,197,347,178,185,190,1460.13,1689.97,1730.39,161.09,22,51.2968299711816,53.314121037464,54.7550432276657
CUPE,2021,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,12.1770872579976,365,361,289,303,312,347,275,289,297,1810.22,1964.89,2159.79,147.78,358,79.2507204610951,83.28530259366,85.5907780979827
CUPE,2021,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,12.3419267993948,365,365,334,347,350,347,317,330,333,1996.46,2105.03,2157.74,148.1,359,91.3544668587896,95.1008645533141,95.9654178674352
CUPE,2021,260290201G,Pirapama,CABO DE SANTO AGOSTINHO,13.0597386932039,365,216,116,170,173,347,104,157,158,903.8,1581.4,1582,155,19,29.971181556196,45.2449567723343,45.5331412103746
CUPE,2021,260720802A,Camela,IPOJUCA,15.3107152412702,365,359,296,304,305,347,282,290,291,445.81,483.47,483.47,89.92,5,81.2680115273775,83.5734870317003,83.8616714697406
CUPE,2021,260290205A,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,19.6094816469432,365,365,339,346,347,347,322,329,330,1951.86,1978.97,1987.23,122.66,26,92.7953890489914,94.8126801152738,95.1008645533141
IFPE,2018,260720801A,Centro,IPOJUCA,2.94037517011968,365,365,330,338,349,275,248,255,263,1405.69,1507.76,1675.76,103.15,17,90.1818181818182,92.7272727272727,95.6363636363636
IFPE,2018,260720804A,Rurópolis,IPOJUCA,4.23417961072742,365,365,337,349,355,275,253,265,269,1489.2,1581.28,1701.45,106.13,12,92,96.3636363636364,97.8181818181818
IFPE,2018,260290202A,Charneca,CABO DE SANTO AGOSTINHO,9.86964956137547,365,78,0,0,0,275,0,0,0,0,0,0,115.86,2,0,0,0
IFPE,2018,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,10.3825396484058,365,301,46,58,72,275,33,42,54,173.95,315.66,443.42,87.47,23,12,15.2727272727273,19.6363636363636
IFPE,2018,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,10.896338207296,365,167,148,150,153,275,124,126,127,1089.92,1191.65,1205.41,142.67,155,45.0909090909091,45.8181818181818,46.1818181818182
IFPE,2018,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,11.2670570461699,365,365,325,333,339,275,249,257,262,1345.76,1417.31,1510.22,86.73,363,90.5454545454545,93.4545454545455,95.2727272727273
IFPE,2018,260720803A,Porto de Galinhas,IPOJUCA,14.2515483795198,365,365,331,338,342,275,256,262,265,1327.17,1333.47,1343.13,110.25,8,93.0909090909091,95.2727272727273,96.3636363636364
IFPE,2018,260720802A,Camela,IPOJUCA,16.5684663669388,365,314,267,282,289,275,207,221,226,1289.5,1494.47,1519.53,113.2,17,75.2727272727273,80.3636363636364,82.1818181818182
IFPE,2018,260290205A,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,18.2351955265537,365,147,126,131,136,275,102,106,111,880.21,995.38,1065.97,82.34,8,37.0909090909091,38.5454545454546,40.3636363636364
IPOJUCA,2021,260720801G,Campo do Avião,IPOJUCA,6.92640747959743,365,365,223,328,345,329,195,294,311,1023.2,1757.2,1825.8,210.4,20,59.2705167173252,89.3617021276596,94.5288753799392
IPOJUCA,2021,260720804A,Rurópolis,IPOJUCA,7.14376732272583,365,365,312,326,328,329,279,291,293,1669.57,1864.03,1877.05,187.1,17,84.8024316109423,88.4498480243161,89.0577507598784
