estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
CUPE,2021,2021-01-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.2,25,0,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
CUPE,2021,2021-01-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,7.24631578947368,TRUE,FALSE
CUPE,2021,2021-01-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,15.0181018518333,TRUE,FALSE
CUPE,2021,2021-01-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1,25,0,0.6,25,70,FALSE,TRUE,TRUE,TRUE,7.7978947368421,TRUE,FALSE
CUPE,2021,2021-01-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.4,24,0,0.4,24,70,FALSE,TRUE,TRUE,TRUE,9.51111111111111,TRUE,FALSE
CUPE,2021,2021-01-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,19.3023529411765,TRUE,FALSE
CUPE,2021,2021-01-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.0575,TRUE,FALSE
CUPE,2021,2021-01-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,9.25428571428571,TRUE,FALSE
CUPE,2021,2021-01-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.0134782608696,TRUE,FALSE
CUPE,2021,2021-01-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.535,TRUE,FALSE
CUPE,2021,2021-01-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1.8,27,0,1,27,60,TRUE,TRUE,TRUE,TRUE,22.3675,TRUE,FALSE
CUPE,2021,2021-01-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,1.8,26,0,1.6,26,60,TRUE,TRUE,TRUE,TRUE,9.62705882352941,TRUE,FALSE
CUPE,2021,2021-01-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,3.4,29,0,1.2,29,70,FALSE,TRUE,TRUE,TRUE,11.5095833333333,TRUE,FALSE
CUPE,2021,2021-01-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,9.115,TRUE,FALSE
CUPE,2021,2021-01-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,13.9225,TRUE,FALSE
CUPE,2021,2021-01-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,19.0875,TRUE,FALSE
CUPE,2021,2021-01-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.6,25,0,0.6,25,60,TRUE,TRUE,TRUE,TRUE,14.5225,TRUE,FALSE
CUPE,2021,2021-01-18,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,4.6,26,0,4.4,26,60,TRUE,TRUE,TRUE,TRUE,8.863,TRUE,FALSE
CUPE,2021,2021-01-19,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0,23,0,0,23,170,FALSE,FALSE,FALSE,TRUE,10.7945454545455,TRUE,FALSE
CUPE,2021,2021-01-20,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,0.2,24,0,0.2,24,60,TRUE,TRUE,TRUE,TRUE,10.9504166666667,TRUE,FALSE
