fonte_dados,cod_estacao,datahora_local,nome_estacao,n_registros,n_valores_distintos,valores_mm,arquivos
CEMADEN,260005402A,2025-10-01T00:30:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T01:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T01:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T01:40:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T01:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:20:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:30:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:40:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T02:50:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T03:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T04:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T04:10:00Z,ABREU E LIMA - APAC,2,1,1.18,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T05:00:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T05:10:00Z,ABREU E LIMA - APAC,2,1,2.16,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T05:20:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T05:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:10:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:30:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:40:00Z,ABREU E LIMA - APAC,2,1,1.57,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T06:50:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T07:00:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T07:10:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T07:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T08:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T08:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T08:30:00Z,ABREU E LIMA - APAC,2,1,2.36,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T08:40:00Z,ABREU E LIMA - APAC,2,1,2.17,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T08:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T09:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T09:20:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T09:30:00Z,ABREU E LIMA - APAC,2,1,2.36,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T09:40:00Z,ABREU E LIMA - APAC,2,1,2.56,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T09:50:00Z,ABREU E LIMA - APAC,2,1,0.59,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T10:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T10:30:00Z,ABREU E LIMA - APAC,2,1,1.97,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T10:40:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T10:50:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T11:00:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T11:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T11:40:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T11:50:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T12:00:00Z,ABREU E LIMA - APAC,2,1,2.76,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T12:30:00Z,ABREU E LIMA - APAC,2,1,1.18,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T12:50:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T15:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T15:10:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:10:00Z,ABREU E LIMA - APAC,2,1,0.98,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:30:00Z,ABREU E LIMA - APAC,2,1,0.39,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T16:40:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T17:10:00Z,ABREU E LIMA - APAC,2,1,0.79,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T18:00:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-01T19:20:00Z,ABREU E LIMA - APAC,2,1,0.2,data(111).csv | data(112).csv
