fonte_dados,ano,mes,n_registros,n_estacoes,mes_presente
CEMADEN,2017,1,106532,167,TRUE
CEMADEN,2017,2,107807,167,TRUE
CEMADEN,2017,3,138141,175,TRUE
CEMADEN,2017,4,181005,170,TRUE
CEMADEN,2017,5,230921,171,TRUE
CEMADEN,2017,6,277579,174,TRUE
CEMADEN,2017,7,331089,183,TRUE
CEMADEN,2017,8,144066,180,TRUE
CEMADEN,2017,9,136622,178,TRUE
CEMADEN,2017,10,119442,183,TRUE
CEMADEN,2017,11,113237,205,TRUE
CEMADEN,2017,12,153469,232,TRUE
CEMADEN,2018,1,179736,279,TRUE
CEMADEN,2018,2,199726,292,TRUE
CEMADEN,2018,3,225805,293,TRUE
CEMADEN,2018,4,259606,298,TRUE
CEMADEN,2018,5,241180,299,TRUE
CEMADEN,2018,6,228134,300,TRUE
CEMADEN,2018,7,231776,295,TRUE
CEMADEN,2018,8,215118,292,TRUE
CEMADEN,2018,9,202688,288,TRUE
CEMADEN,2018,10,198044,290,TRUE
CEMADEN,2018,11,191265,290,TRUE
CEMADEN,2018,12,197594,286,TRUE
CEMADEN,2019,1,202580,280,TRUE
CEMADEN,2019,2,183878,277,TRUE
CEMADEN,2019,3,211174,271,TRUE
CEMADEN,2019,4,197201,272,TRUE
CEMADEN,2019,5,205330,277,TRUE
CEMADEN,2019,6,252307,282,TRUE
CEMADEN,2019,7,212660,281,TRUE
CEMADEN,2019,8,224918,280,TRUE
CEMADEN,2019,9,202445,283,TRUE
CEMADEN,2019,10,180746,290,TRUE
CEMADEN,2019,11,136838,286,TRUE
CEMADEN,2019,12,167457,281,TRUE
CEMADEN,2020,1,141134,268,TRUE
CEMADEN,2020,2,149996,256,TRUE
CEMADEN,2020,3,168634,230,TRUE
CEMADEN,2020,4,157397,215,TRUE
CEMADEN,2020,5,169749,217,TRUE
CEMADEN,2020,6,197685,255,TRUE
CEMADEN,2020,7,206513,255,TRUE
CEMADEN,2020,8,179291,238,TRUE
CEMADEN,2020,9,166490,234,TRUE
CEMADEN,2020,10,152451,236,TRUE
CEMADEN,2020,11,155663,225,TRUE
CEMADEN,2020,12,154673,221,TRUE
CEMADEN,2021,1,138642,211,TRUE
CEMADEN,2021,2,112820,183,TRUE
CEMADEN,2021,3,139369,185,TRUE
CEMADEN,2021,4,151285,180,TRUE
CEMADEN,2021,5,171700,182,TRUE
CEMADEN,2021,6,151980,206,TRUE
CEMADEN,2021,7,176212,221,TRUE
CEMADEN,2021,8,216326,241,TRUE
CEMADEN,2021,9,163854,244,TRUE
CEMADEN,2021,10,153170,244,TRUE
CEMADEN,2021,11,151617,241,TRUE
CEMADEN,2021,12,166247,234,TRUE
CEMADEN,2022,1,157714,220,TRUE
CEMADEN,2022,2,124683,203,TRUE
CEMADEN,2022,3,168033,208,TRUE
CEMADEN,2022,4,150982,215,TRUE
CEMADEN,2022,5,199087,209,TRUE
CEMADEN,2022,6,183310,216,TRUE
CEMADEN,2022,7,181534,209,TRUE
CEMADEN,2022,8,167794,210,TRUE
CEMADEN,2022,9,142364,223,TRUE
CEMADEN,2022,10,143917,214,TRUE
CEMADEN,2022,11,159363,219,TRUE
CEMADEN,2022,12,143733,218,TRUE
CEMADEN,2023,1,143448,207,TRUE
CEMADEN,2023,2,142738,217,TRUE
CEMADEN,2023,3,173998,225,TRUE
CEMADEN,2023,4,166556,223,TRUE
CEMADEN,2023,5,180161,226,TRUE
CEMADEN,2023,6,214611,230,TRUE
CEMADEN,2023,7,180374,249,TRUE
CEMADEN,2023,8,197258,263,TRUE
CEMADEN,2023,9,191765,263,TRUE
CEMADEN,2023,10,176753,259,TRUE
CEMADEN,2023,11,175807,269,TRUE
CEMADEN,2023,12,186788,263,TRUE
CEMADEN,2024,1,168393,257,TRUE
CEMADEN,2024,2,166474,263,TRUE
CEMADEN,2024,3,168638,258,TRUE
CEMADEN,2024,4,175424,253,TRUE
CEMADEN,2024,5,202319,255,TRUE
CEMADEN,2024,6,219925,269,TRUE
CEMADEN,2024,7,226442,276,TRUE
CEMADEN,2024,8,186587,286,TRUE
CEMADEN,2024,9,198984,283,TRUE
CEMADEN,2024,10,193588,275,TRUE
CEMADEN,2024,11,182584,276,TRUE
CEMADEN,2024,12,180290,278,TRUE
CEMADEN,2025,1,186316,271,TRUE
CEMADEN,2025,2,185751,263,TRUE
CEMADEN,2025,3,196005,257,TRUE
CEMADEN,2025,4,173201,262,TRUE
CEMADEN,2025,5,216534,256,TRUE
CEMADEN,2025,6,223101,256,TRUE
CEMADEN,2025,7,213922,252,TRUE
CEMADEN,2025,8,215920,261,TRUE
CEMADEN,2025,9,176859,287,TRUE
CEMADEN,2025,10,321883,263,TRUE
CEMADEN,2025,11,165782,257,TRUE
CEMADEN,2025,12,150588,244,TRUE
INMET,2017,1,10044,24,TRUE
INMET,2017,2,9072,24,TRUE
INMET,2017,3,10044,24,TRUE
INMET,2017,4,9720,24,TRUE
INMET,2017,5,10044,24,TRUE
INMET,2017,6,9720,24,TRUE
INMET,2017,7,10044,24,TRUE
INMET,2017,8,10044,24,TRUE
INMET,2017,9,10131,25,TRUE
INMET,2017,10,10788,25,TRUE
INMET,2017,11,10440,25,TRUE
INMET,2017,12,10788,25,TRUE
INMET,2018,1,10788,25,TRUE
INMET,2018,2,9744,25,TRUE
INMET,2018,3,10778,25,TRUE
INMET,2018,4,10350,24,TRUE
INMET,2018,5,10695,24,TRUE
INMET,2018,6,10350,24,TRUE
INMET,2018,7,10695,24,TRUE
INMET,2018,8,10695,24,TRUE
INMET,2018,9,10350,24,TRUE
INMET,2018,10,10695,24,TRUE
INMET,2018,11,10350,24,TRUE
INMET,2018,12,10695,24,TRUE
INMET,2019,1,10695,24,TRUE
INMET,2019,2,9660,24,TRUE
INMET,2019,3,10695,24,TRUE
INMET,2019,4,10350,24,TRUE
INMET,2019,5,10695,24,TRUE
INMET,2019,6,10350,24,TRUE
INMET,2019,7,10695,24,TRUE
INMET,2019,8,10695,24,TRUE
INMET,2019,9,10350,24,TRUE
INMET,2019,10,10695,24,TRUE
INMET,2019,11,10350,24,TRUE
INMET,2019,12,10695,24,TRUE
INMET,2020,1,10695,24,TRUE
INMET,2020,2,10005,24,TRUE
INMET,2020,3,10695,24,TRUE
INMET,2020,4,10350,24,TRUE
INMET,2020,5,10695,24,TRUE
INMET,2020,6,10350,24,TRUE
INMET,2020,7,10695,24,TRUE
INMET,2020,8,10694,24,TRUE
INMET,2020,9,10260,23,TRUE
