fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude,longitude,distancia_gaibu_km,faixa_distancia
CEMADEN,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.33,-34.956,0.116707872718135,<=5 km
CEMADEN,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0,-8.287,-35.033,9.64529855709911,>5-10 km
CEMADEN,260290205A,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.233,-8.233,-34.979,-34.979,61197,2017-01-01T03:00:00Z,2025-03-26T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0,-8.233,-34.979,10.9623055006057,>10-20 km
CEMADEN,260290202A,Charneca,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.297,-8.297,-35.057,-35.057,64475,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1782,0,-8.297,-35.057,11.6373392821951,>10-20 km
CEMADEN,260790109A,Barra de Jangada,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.22,-8.22,-34.932,-34.932,62494,2017-01-01T03:00:00Z,2024-06-12T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0,-8.22,-34.932,12.4106755442896,>10-20 km
CEMADEN,260290201G,Pirapama,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.282054,-8.282031,-35.064685,-35.064672,31017,2019-10-01T00:10:00Z,2025-10-24T10:30:00Z,2019;2020;2021;2023;2024;2025,0,0,390,0,-8.2820425,-35.0646785,13.0179995725833,>10-20 km
CEMADEN,260720801G,Campo do Avião,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.399458,-8.399431,-35.058456,-35.058455,53642,2019-10-01T16:00:00Z,2025-12-31T23:10:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1580,0,-8.3994445,-35.0584555,13.699863829626,>10-20 km
CEMADEN,260720801A,Centro,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.4,-8.4,-35.064,-35.064,89265,2017-01-01T03:00:00Z,2025-12-31T23:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1634,0,-8.4,-35.064,14.2386959438181,>10-20 km
CEMADEN,260720804A,Rurópolis,IPOJUCA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.411,-8.411,-35.07,-35.07,66265,2017-01-01T03:00:00Z,2025-12-31T23:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1484,0,-8.411,-35.07,15.4798425489309,>10-20 km
CEMADEN,260790104A,Prazeres,JABOATÃO DOS GUARARAPES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.188,-8.188,-34.953,-34.953,82109,2017-01-01T03:00:00Z,2025-12-27T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,348,0,-8.188,-34.953,15.6817706880758,>10-20 km
