cod_estacao,nome_estacao,municipios,distancia_gaibu_km,n_dias_ano,n_dias_com_precipitacao,n_dias_cobertura_60,n_dias_cobertura_70,n_dias_cobertura_90,n_dias_mp10_validos,n_overlap_60_mp10,n_overlap_70_mp10,n_overlap_90_mp10,total_mm_dias_60,total_mm_dias_70,total_mm_dias_90,max_precip_diaria_mm,n_registros_00h_relocados,pct_overlap_60_mp10,pct_overlap_70_mp10,pct_overlap_90_mp10,corr_ref_60,n_comuns_ref_60,corr_ref_70,n_comuns_ref_70,corr_ref_90,n_comuns_ref_90
260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,0.116707872718135,365,354,261,278,284,262,191,202,204,1074.11,1312.8,1337.32,71.2,320,72.9007633587786,77.0992366412214,77.8625954198473,1,,1,,1,
260290203A,Torrinha,CABO DE SANTO AGOSTINHO,9.64529855709911,365,203,165,166,171,262,108,109,114,894.9,895.3,917.44,124.19,187,41.2213740458015,41.6030534351145,43.5114503816794,0.85556676774752,83,0.843786633210959,90,0.83988799690086,96
260290205A,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,10.9623055006057,365,202,171,172,175,262,112,113,116,838.94,842.87,864.75,102.83,11,42.7480916030534,43.1297709923664,44.2748091603054,0.892984557980491,86,0.845126954476687,93,0.845890290731921,98
260290202A,Charneca,CABO DE SANTO AGOSTINHO,11.6373392821951,365,203,147,157,164,262,106,112,115,717.89,885.35,907.42,130.81,17,40.4580152671756,42.7480916030534,43.8931297709924,0.850849455166192,86,0.817146963724725,97,0.81584673092016,100
260790109A,Barra de Jangada,JABOATÃO DOS GUARARAPES,12.4106755442896,365,354,283,296,302,262,201,212,217,1484.3,1575.32,1585.66,98.09,12,76.7175572519084,80.9160305343512,82.824427480916,0.810422191796049,170,0.838157805561088,188,0.820622160960435,193
260290201G,Pirapama,CABO DE SANTO AGOSTINHO,13.0179995725833,365,85,28,32,35,262,13,16,18,20,21.4,25.8,33.2,4,4.9618320610687,6.10687022900763,6.87022900763359,,9,0.884984650702101,10,0.884984650702101,10
260720801G,Campo do Avião,IPOJUCA,13.699863829626,365,91,60,80,82,262,27,34,34,10.6,87,87,41.2,2,10.3053435114504,12.9770992366412,12.9770992366412,,11,0.91688441581593,15,0.91688441581593,15
260720801A,Centro,IPOJUCA,14.2386959438181,365,244,192,208,214,262,155,170,175,1034.27,1204.26,1258.81,124.18,5,59.1603053435115,64.8854961832061,66.793893129771,0.607223951572925,132,0.600576227990242,153,0.60184400206126,159
260720804A,Rurópolis,IPOJUCA,15.4798425489309,365,354,275,294,303,262,202,212,218,1335.62,1589.03,1655.9,119.05,18,77.0992366412214,80.9160305343512,83.206106870229,0.732108904762921,170,0.706772137667401,188,0.708939410045026,195
260790104A,Prazeres,JABOATÃO DOS GUARARAPES,15.6817706880758,365,339,297,304,308,262,211,217,221,1579.42,1670.85,1711.03,124.49,323,80.5343511450382,82.824427480916,84.351145038168,0.754061781682859,182,0.78510828582966,196,0.783042327904673,200
260790110A,Cajueiro Seco,JABOATÃO DOS GUARARAPES,18.17024712476,365,300,140,144,156,262,105,107,111,668.6,742.8,822.8,131.2,22,40.0763358778626,40.8396946564886,42.3664122137405,0.768630307793677,85,0.787585266517233,92,0.786036183256901,94
260790101A,Muribeca,JABOATÃO DOS GUARARAPES,19.1679603398448,365,315,244,253,262,262,181,189,198,1016.34,1168.41,1177.37,58.29,12,69.0839694656489,72.1374045801527,75.5725190839695,0.621860818171506,158,0.707995247824189,172,0.710222205325479,179
