criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,234,170,64.8854961832061,0.835991649405347,0.78468689832232,0.810422191796049,0.748734459689534,984,1198.5,1.21798780487805,0.916666666666666,2.73752136752137,6.18171849809934,0.673588235294118,2.81276470588235,5.96560854348638,0.790598290598291,0.666666666666667,0.884615384615385,0.73,260290204A,Enseado dos Corais,0.116707872718135,260790109A,Barra de Jangada,12.4106755442896
max_gap_60min,229,170,64.8854961832061,0.679204553227837,0.704001804027174,0.732108904762921,0.669131141742281,807.64,995.18,1.23220741914714,0.818951965065502,3.30506550218341,7.84635548029428,1.04994117647059,3.34652941176471,7.54818213409108,0.786026200873362,0.662068965517241,0.799126637554585,0.557692307692308,260290204A,Enseado dos Corais,0.116707872718135,260720804A,Rurópolis,15.4798425489309
max_gap_60min,251,182,69.4656488549618,0.752484770733388,0.738046031981611,0.754061781682859,0.732231523656427,1020.45,1271.06,1.24558773090303,0.998446215139442,3.24808764940239,7.73493902195142,0.91010989010989,3.2032967032967,7.50324413353801,0.776892430278885,0.660606060606061,0.828685258964143,0.647540983606557,260290204A,Enseado dos Corais,0.116707872718135,260790104A,Prazeres,15.6817706880758
max_gap_60min,252,181,69.0839694656489,0.768318417950286,0.746201022787106,0.704347708365722,0.708510727924912,1128.11,1259.35,1.11633617289094,0.520793650793651,3.43809523809524,8.39009393216049,0.468397790055249,3.32121546961326,8.17960811715795,0.80952380952381,0.694267515923567,0.805555555555556,0.581196581196581,260790109A,Barra de Jangada,12.4106755442896,260720804A,Rurópolis,15.4798425489309
max_gap_60min,259,184,70.2290076335878,0.922231423846595,0.849939166475212,0.900103631359085,0.856754469374991,1355.42,1428.14,1.05365126676602,0.280772200772201,2.12571428571429,5.11781618183405,0.429836956521739,2.17864130434783,5.34165455355971,0.857142857142857,0.770186335403727,0.845559845559846,0.68,260790109A,Barra de Jangada,12.4106755442896,260790104A,Prazeres,15.6817706880758
max_gap_60min,253,185,70.6106870229008,0.771915554874027,0.729166944948018,0.722313427283763,0.721078047525091,1249.65,1226.4,0.981394790541352,-0.091897233201581,3.64241106719368,8.44340655359251,0.0515675675675675,3.78345945945946,8.57922613532719,0.786561264822134,0.682352941176471,0.802371541501976,0.615384615384615,260720804A,Rurópolis,15.4798425489309,260790104A,Prazeres,15.6817706880758
max_gap_70min,257,188,71.7557251908397,0.832443089741324,0.795919307656184,0.838157805561088,0.758573931662396,1222.33,1504.77,1.23106689682819,1.09898832684825,3.11112840466926,7.45119367346824,0.635851063829787,3.05446808510638,6.29259088134609,0.797665369649806,0.686746987951807,0.883268482490272,0.743589743589744,260290204A,Enseado dos Corais,0.116707872718135,260790109A,Barra de Jangada,12.4106755442896
max_gap_70min,257,188,71.7557251908397,0.684851672857501,0.74285280264576,0.706772137667401,0.698409409059867,1178.84,1479.05,1.2546656034746,1.16813229571984,4.07677042801556,9.90506542187749,0.93031914893617,3.94468085106383,8.32873754832845,0.797665369649806,0.692307692307692,0.809338521400778,0.611111111111111,260290204A,Enseado dos Corais,0.116707872718135,260720804A,Rurópolis,15.4798425489309
max_gap_70min,272,196,74.8091603053435,0.774064836827143,0.762146807146246,0.78510828582966,0.751174758943068,1291.6,1559.77,1.20762620006194,0.985919117647059,3.56753676470588,8.46427746560248,0.708163265306122,3.42734693877551,7.67688200683968,0.790441176470588,0.686813186813187,0.830882352941176,0.664233576642336,260290204A,Enseado dos Corais,0.116707872718135,260790104A,Prazeres,15.6817706880758
max_gap_70min,278,199,75.9541984732825,0.73437079153285,0.760535223865207,0.647287735873147,0.717923694094769,1423.39,1538.39,1.08079303634282,0.413669064748201,3.96244604316547,9.34508938873531,0.567286432160804,3.8248743718593,9.11400713904994,0.81294964028777,0.711111111111111,0.805755395683453,0.605839416058394,260790109A,Barra de Jangada,12.4106755442896,260720804A,Rurópolis,15.4798425489309
max_gap_70min,275,199,75.9541984732825,0.92135259656362,0.858934085705076,0.90802043109348,0.864673526151956,1489.2,1571.26,1.0551034112275,0.2984,2.20145454545455,5.16778454377784,0.536180904522613,2.19819095477387,5.24607515411408,0.861818181818182,0.784090909090909,0.847272727272727,0.695652173913044,260790109A,Barra de Jangada,12.4106755442896,260790104A,Prazeres,15.6817706880758
