criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,115,83,31.6793893129771,0.851261225112156,0.846051204450166,0.85556676774752,0.839749504816822,413.94,549.47,1.32741460114993,1.17852173913043,2.63695652173913,8.15684503160169,1.65698795180723,3.29120481927711,9.45427212670458,0.826086956521739,0.733333333333333,0.886956521739131,0.754716981132076,260290204A,Enseado dos Corais,0.116707872718135,260290203A,Torrinha,9.64529855709911
max_gap_60min,120,86,32.824427480916,0.911418495013667,0.836346654809404,0.892984557980491,0.830370850825125,412.53,597.44,1.44823406782537,1.54091666666667,2.46808333333333,6.11781544616486,1.69441860465116,2.95581395348837,6.65897156665963,0.841666666666667,0.746666666666667,0.858333333333333,0.696428571428571,260290204A,Enseado dos Corais,0.116707872718135,260290205A,Pontes dos Carvalhos,10.9623055006057
max_gap_60min,116,86,32.824427480916,0.849878106244072,0.82301740636593,0.850849455166192,0.82206215680651,385.13,533.6,1.38550619271415,1.27991379310345,2.57991379310345,8.13764321342276,1.69395348837209,3.13604651162791,9.2847536942447,0.844827586206897,0.753424657534247,0.862068965517241,0.69811320754717,260290204A,Enseado dos Corais,0.116707872718135,260290202A,Charneca,11.6373392821951
max_gap_60min,234,170,64.8854961832061,0.835991649405347,0.78468689832232,0.810422191796049,0.748734459689534,984,1198.5,1.21798780487805,0.916666666666666,2.73752136752137,6.18171849809934,0.673588235294118,2.81276470588235,5.96560854348638,0.790598290598291,0.666666666666667,0.884615384615385,0.73,260290204A,Enseado dos Corais,0.116707872718135,260790109A,Barra de Jangada,12.4106755442896
max_gap_60min,24,9,3.43511450381679,0.897697724731184,0.738546510614415,,,22.09,19.6,0.88727931190584,-0.10375,0.62125,1.95188263820685,0.6,0.644444444444444,1.86785676348292,0.875,0.571428571428571,0.916666666666667,0.333333333333333,260290204A,Enseado dos Corais,0.116707872718135,260290201G,Pirapama,13.0179995725833
max_gap_60min,28,11,4.19847328244275,0.461538461538462,0.461538461538462,,,0.4,0.4,1,0,0.0142857142857143,0.0534522483824849,0,0,0,0.928571428571429,0.333333333333333,1,,260290204A,Enseado dos Corais,0.116707872718135,260720801G,Campo do Avião,13.699863829626
max_gap_60min,166,132,50.381679389313,0.624214988678935,0.450987674662538,0.607223951572925,0.328231261475814,881.81,783.6,0.888626801691974,-0.591626506024096,4.58933734939759,9.26823916550041,-0.780378787878788,4.26871212121212,8.77412065006051,0.608433734939759,0.462809917355372,0.72289156626506,0.48314606741573,260290204A,Enseado dos Corais,0.116707872718135,260720801A,Centro,14.2386959438181
max_gap_60min,229,170,64.8854961832061,0.679204553227837,0.704001804027174,0.732108904762921,0.669131141742281,807.64,995.18,1.23220741914714,0.818951965065502,3.30506550218341,7.84635548029428,1.04994117647059,3.34652941176471,7.54818213409108,0.786026200873362,0.662068965517241,0.799126637554585,0.557692307692308,260290204A,Enseado dos Corais,0.116707872718135,260720804A,Rurópolis,15.4798425489309
max_gap_60min,251,182,69.4656488549618,0.752484770733388,0.738046031981611,0.754061781682859,0.732231523656427,1020.45,1271.06,1.24558773090303,0.998446215139442,3.24808764940239,7.73493902195142,0.91010989010989,3.2032967032967,7.50324413353801,0.776892430278885,0.660606060606061,0.828685258964143,0.647540983606557,260290204A,Enseado dos Corais,0.116707872718135,260790104A,Prazeres,15.6817706880758
max_gap_60min,115,85,32.4427480916031,0.785213853743097,0.826652677260735,0.768630307793677,0.82390468204253,409.81,537.2,1.31085137014714,1.10773913043478,2.99469565217391,8.83695594844642,1.45235294117647,3.91352941176471,10.2580740653113,0.826086956521739,0.714285714285714,0.860869565217391,0.69811320754717,260290204A,Enseado dos Corais,0.116707872718135,260790110A,Cajueiro Seco,18.17024712476
max_gap_60min,217,158,60.3053435114504,0.705824303423035,0.698336534837537,0.621860818171506,0.668151964085172,799.55,881.66,1.10269526608717,0.378387096774194,2.85608294930876,5.90289724224762,0.269303797468354,2.7629746835443,5.37674252001919,0.723502304147465,0.605263157894737,0.815668202764977,0.622641509433962,260290204A,Enseado dos Corais,0.116707872718135,260790101A,Muribeca,19.1679603398448
max_gap_60min,159,102,38.9312977099237,0.93916060634174,0.827490268572206,0.939439297058705,0.824860460556575,861.38,796.85,0.925085328194293,-0.405849056603774,2.61314465408805,5.80685947661316,-0.577647058823529,3.01725490196078,5.73698492924911,0.842767295597484,0.759615384615385,0.817610062893082,0.6375,260290203A,Torrinha,9.64529855709911,260290205A,Pontes dos Carvalhos,10.9623055006057
max_gap_60min,135,96,36.6412213740458,0.975100492791982,0.916829705188262,0.976643843593986,0.903509235361578,684.26,672.76,0.983193522929881,-0.0851851851851851,1.51762962962963,3.14750647926848,-0.287083333333333,1.81666666666667,3.47174697858777,0.918518518518519,0.867469879518072,0.896296296296296,0.78125,260290203A,Torrinha,9.64529855709911,260290202A,Charneca,11.6373392821951
max_gap_60min,135,89,33.969465648855,0.893066462346247,0.820766450734399,0.871056069420502,0.816873798494606,812.71,763.77,0.939781717955974,-0.362518518518519,3.32444444444444,7.71889667801856,-0.892471910112359,3.9538202247191,8.40588591271188,0.822222222222222,0.707317073170732,0.851851851851852,0.672131147540984,260290203A,Torrinha,9.64529855709911,260790109A,Barra de Jangada,12.4106755442896
max_gap_60min,23,9,3.43511450381679,0.996867637238181,0.89732496029391,,,21.4,19.6,0.91588785046729,-0.0782608695652174,0.0782608695652174,0.227806172378874,-0.0122222222222223,0.0122222222222223,0.0366666666666668,0.956521739130435,0.833333333333333,1,1,260290203A,Torrinha,9.64529855709911,260290201G,Pirapama,13.0179995725833
