data_local,cod_estacao,nome_estacao,municipios,latitude,longitude,distancia_gaibu_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,n_registros_validos,n_registros_00h_relocados,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao
2019-01-01,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,89.2380952380952,TRUE
2019-01-02,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,23,1,0,0,23,120,FALSE,FALSE,FALSE,TRUE,76,TRUE
2019-01-03,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,52.1666666666667,TRUE
2019-01-04,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,57.5,TRUE
2019-01-05,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0,24,1,0,0,24,60,TRUE,TRUE,TRUE,TRUE,50.4583333333333,TRUE
2019-01-06,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,1.58,28,1,6,0.39,28,60,TRUE,TRUE,TRUE,TRUE,29.9583333333333,TRUE
2019-01-07,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,21.66,43,1,24,4.53,43,60,TRUE,TRUE,TRUE,TRUE,23.7619047619048,TRUE
2019-01-08,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.99,27,1,3,0.59,27,60,TRUE,TRUE,TRUE,TRUE,42.5416666666667,TRUE
2019-01-09,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.99,26,1,2,0.79,26,60,TRUE,TRUE,TRUE,TRUE,41.9166666666667,TRUE
2019-01-10,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,-8.33,-34.956,0.116707872718135,96.5648854961832,72.9007633587786,77.0992366412214,77.8625954198473,0.2,25,1,1,0.2,25,60,TRUE,TRUE,TRUE,TRUE,37.6666666666667,TRUE
