fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260005401A,Distrito Industrial - Timbó,ABREU E LIMA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.917,-7.917,-34.898,-34.898,69404,2017-01-01T03:00:00Z,2024-01-28T04:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,0,0
CEMADEN,260005402A,ABREU E LIMA - APAC,ABREU E LIMA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.895636,-7.895636,-34.941958,-34.941958,78285,2017-10-16T18:30:00Z,2025-12-31T19:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1730,0
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,AFOGADOS DA INGAZEIRA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.74295,-7.74295,-37.62516,-37.62516,56420,2018-01-17T19:10:00Z,2025-08-27T18:00:00Z,2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,0
CEMADEN,260020301A,ARIZONA - APAC,AFRÂNIO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.673611,-8.673611,-40.961361,-40.961361,1203,2018-03-01T19:20:00Z,2019-06-06T06:00:00Z,2018;2019,0,0,0,0
CEMADEN,260020301U,AFRANIO,AFRÂNIO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.534305,-8.534305,-40.972055,-40.972055,5358,2017-09-04T17:00:00Z,2022-09-09T23:00:00Z,2017;2018;2019;2022,0,0,0,0
CEMADEN,260020302A,Afrânio [Centro] - APAC,AFRÂNIO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.51714,-8.51714,-41.00909,-41.00909,13415,2024-07-02T18:50:00Z,2025-12-31T23:50:00Z,2024;2025,0,0,1492,0
CEMADEN,260030201A,AGRESTINA - APAC,AGRESTINA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.441758,-8.441758,-35.952225,-35.952225,54308,2019-05-15T12:00:00Z,2025-12-31T23:40:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,1556,0
CEMADEN,260040101A,Bairro D´Ouro,ÁGUA PRETA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.70865,-8.694,-35.526,-35.52197,83190,2017-01-01T03:00:00Z,2025-12-31T17:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,530,0
CEMADEN,260040102A,AGUA PRETA - APAC,ÁGUA PRETA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.708611,-8.708611,-35.521667,-35.521667,16216,2017-11-18T03:30:00Z,2022-10-24T15:00:00Z,2017;2018;2019;2022,0,0,0,0
CEMADEN,260050001A,Garanhuns,ÁGUAS BELAS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.128,-9.128,-37.037,-37.037,54169,2017-01-21T00:10:00Z,2025-12-31T22:40:00Z,2017;2018;2019;2021;2022;2023;2024;2025,0,0,1332,0
CEMADEN,260050002A,Centro,ÁGUAS BELAS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.116,-9.116,-37.118,-37.118,81982,2017-01-01T03:00:00Z,2025-12-03T00:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1512,0
