fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_intervalos_modais,n_dias_com_valor,moda_n_validas,p50_n_validas,p90_n_validas,p95_n_validas,max_n_validas,n_esperado_intervalo,erro_fechamento_min,intervalo_fecha_dia,n_esperado_dia,razao_p95_esperado,cadencia_inconsistente,confianca_cadencia
CEMADEN,260005401A,2017,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,10,5429,217,24,34,85.2,123.8,144,144,0,TRUE,144,0.859722222222222,FALSE,ALTA
CEMADEN,260005401A,2018,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,5343,249,24,25,35,41.6,66,24,0,TRUE,24,1.73333333333333,TRUE,BAIXA
CEMADEN,260005401A,2019,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,6327,351,24,24,37,42.5,96,24,0,TRUE,24,1.77083333333333,TRUE,BAIXA
CEMADEN,260005401A,2020,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,4509,283,24,24,34.8,39,73,24,0,TRUE,24,1.625,TRUE,BAIXA
CEMADEN,260005401A,2021,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,7557,365,24,26,41,52.8,117,24,0,TRUE,24,2.2,TRUE,BAIXA
CEMADEN,260005401A,2022,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,6419,365,24,27,63.2000000000001,90.8,141,24,0,TRUE,24,3.78333333333333,TRUE,BAIXA
CEMADEN,260005401A,2023,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,7439,365,24,25,49,74.2000000000001,143,24,0,TRUE,24,3.09166666666667,TRUE,BAIXA
CEMADEN,260005401A,2024,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,598,28,24,24,37,39.6,43,24,0,TRUE,24,1.65,TRUE,BAIXA
CEMADEN,260005402A,2017,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,675,55,23,23,25,26,29,24,0,TRUE,24,1.08333333333333,FALSE,ALTA
CEMADEN,260005402A,2018,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,2037,325,1,19,32,37.8,64,24,0,TRUE,24,1.575,TRUE,BAIXA
CEMADEN,260005402A,2019,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,4201,264,24,24,36,44,95,24,0,TRUE,24,1.83333333333333,TRUE,BAIXA
CEMADEN,260005402A,2020,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7232,348,24,26,39,43.65,76,24,0,TRUE,24,1.81875,TRUE,BAIXA
CEMADEN,260005402A,2021,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7115,365,24,26,41,48,108,24,0,TRUE,24,2,TRUE,BAIXA
CEMADEN,260005402A,2022,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6964,365,24,26,44,52.8,91,24,0,TRUE,24,2.2,TRUE,BAIXA
CEMADEN,260005402A,2023,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7282,365,24,26,40.6,47,75,24,0,TRUE,24,1.95833333333333,TRUE,BAIXA
CEMADEN,260005402A,2024,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7231,355,24,25,37,44,80,24,0,TRUE,24,1.83333333333333,TRUE,BAIXA
CEMADEN,260005402A,2025,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7444,365,24,26,42,49.6,114,24,0,TRUE,24,2.06666666666667,TRUE,BAIXA
CEMADEN,260010401A,2018,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,8006,349,24,24,29,33.6,46,24,0,TRUE,24,1.4,TRUE,BAIXA
CEMADEN,260010401A,2019,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,4726,281,24,24,29,35,59,24,0,TRUE,24,1.45833333333333,TRUE,BAIXA
CEMADEN,260010401A,2020,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3561,178,27,27,28,30,61,24,0,TRUE,24,1.25,FALSE,ALTA
CEMADEN,260010401A,2021,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5019,265,24,26,28,30,60,24,0,TRUE,24,1.25,FALSE,ALTA
CEMADEN,260010401A,2022,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,8550,365,24,24,24,24,25,24,0,TRUE,24,1,FALSE,ALTA
CEMADEN,260010401A,2023,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,8618,365,24,24,24,24,41,24,0,TRUE,24,1,FALSE,ALTA
CEMADEN,260010401A,2024,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7802,351,24,24,30,33,55,24,0,TRUE,24,1.375,TRUE,BAIXA
CEMADEN,260010401A,2025,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3470,177,24,24,28,32.4,78,24,0,TRUE,24,1.35,TRUE,BAIXA
CEMADEN,260020301A,2018,ARIZONA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,313,118,1,6,13.3,15.15,26,24,0,TRUE,24,0.63125,TRUE,BAIXA
CEMADEN,260020301A,2019,ARIZONA - APAC,PLUVIOMETRICA_AUTOMATICA,,10,158,62,1,4,12.9,22.7,34,144,0,TRUE,144,0.157638888888889,TRUE,BAIXA
CEMADEN,260020301U,2017,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,390,29,11,12,24.4,26,27,24,0,TRUE,24,1.08333333333333,FALSE,MEDIA
CEMADEN,260020301U,2018,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,2194,171,24,14,24,24,25,24,0,TRUE,24,1,FALSE,ALTA
CEMADEN,260020301U,2019,AFRANIO,PLUVIOMETRICA_AUTOMATICA,,60,653,29,24,24,24.2,25,27,24,0,TRUE,24,1.04166666666667,FALSE,MEDIA
