fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,maior_lacuna_sem_90,n_dias_acima_esperado,n_meses_algum_valor,n_meses_80pct_dias_90
CEMADEN,260005401A,2017,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,10,144,ALTA,FALSE,365,217,14,12,10,6,0.594520547945206,0.0383561643835616,0.0328767123287671,0.0273972602739726,0.0164383561643836,179,0,8,0
CEMADEN,260005401A,2018,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,249,246,246,245,243,0.682191780821918,0.673972602739726,0.673972602739726,0.671232876712329,0.665753424657534,117,118,9,8
CEMADEN,260005401A,2019,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,351,298,293,289,283,0.961643835616438,0.816438356164383,0.802739726027397,0.791780821917808,0.775342465753425,46,152,12,9
CEMADEN,260005401A,2020,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,283,206,205,201,198,0.773224043715847,0.562841530054645,0.560109289617486,0.549180327868853,0.540983606557377,157,92,10,6
CEMADEN,260005401A,2021,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,364,364,363,346,1,0.997260273972603,0.997260273972603,0.994520547945205,0.947945205479452,1,190,12,12
CEMADEN,260005401A,2022,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,360,357,356,341,1,0.986301369863014,0.978082191780822,0.975342465753425,0.934246575342466,3,211,12,12
CEMADEN,260005401A,2023,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,365,364,364,357,1,1,0.997260273972603,0.997260273972603,0.978082191780822,1,175,12,12
CEMADEN,260005401A,2024,Distrito Industrial - Timbó,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,28,27,27,27,27,0.0765027322404372,0.0737704918032787,0.0737704918032787,0.0737704918032787,0.0737704918032787,339,10,1,1
CEMADEN,260005402A,2017,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,55,40,36,33,17,0.150684931506849,0.10958904109589,0.0986301369863014,0.0904109589041096,0.0465753424657534,318,4,3,0
CEMADEN,260005402A,2018,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,325,182,158,134,109,0.89041095890411,0.498630136986301,0.432876712328767,0.367123287671233,0.298630136986301,112,78,12,1
CEMADEN,260005402A,2019,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,264,219,217,217,207,0.723287671232877,0.6,0.594520547945206,0.594520547945206,0.567123287671233,87,103,10,6
CEMADEN,260005402A,2020,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,348,344,343,340,332,0.950819672131147,0.939890710382514,0.937158469945355,0.92896174863388,0.907103825136612,21,183,12,10
CEMADEN,260005402A,2021,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,359,358,355,338,1,0.983561643835616,0.980821917808219,0.972602739726027,0.926027397260274,6,185,12,12
CEMADEN,260005402A,2022,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,359,357,352,335,1,0.983561643835616,0.978082191780822,0.964383561643836,0.917808219178082,3,203,12,12
CEMADEN,260005402A,2023,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,365,364,364,355,1,1,0.997260273972603,0.997260273972603,0.972602739726027,1,193,12,12
CEMADEN,260005402A,2024,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,355,340,340,338,332,0.969945355191257,0.92896174863388,0.92896174863388,0.923497267759563,0.907103825136612,11,160,12,10
CEMADEN,260005402A,2025,ABREU E LIMA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,363,363,363,360,1,0.994520547945205,0.994520547945205,0.994520547945205,0.986301369863014,2,194,12,12
CEMADEN,260010401A,2018,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,349,344,344,342,329,0.956164383561644,0.942465753424658,0.942465753424658,0.936986301369863,0.901369863013699,17,63,12,11
CEMADEN,260010401A,2019,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,281,196,195,195,190,0.76986301369863,0.536986301369863,0.534246575342466,0.534246575342466,0.520547945205479,170,55,10,6
CEMADEN,260010401A,2020,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,366,178,177,176,175,175,0.486338797814208,0.483606557377049,0.480874316939891,0.478142076502732,0.478142076502732,189,175,6,5
CEMADEN,260010401A,2021,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,265,237,235,233,228,0.726027397260274,0.649315068493151,0.643835616438356,0.638356164383562,0.624657534246575,127,134,12,7
CEMADEN,260010401A,2022,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,365,359,357,355,333,1,0.983561643835616,0.978082191780822,0.972602739726027,0.912328767123288,2,0,12,12
CEMADEN,260010401A,2023,AFOGADOS DA INGAZEIRA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,365,361,360,359,353,1,0.989041095890411,0.986301369863014,0.983561643835616,0.967123287671233,2,10,12,12
