fonte_dados,cod_estacao,nome_estacao,ano,mes,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,n_dias_acima_esperado,mes_80pct_dias_90
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,1,144,ALTA,FALSE,31,31,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,2,144,ALTA,FALSE,28,28,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,3,144,ALTA,FALSE,31,31,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,4,144,ALTA,FALSE,30,30,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,5,144,ALTA,FALSE,31,31,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,6,144,ALTA,FALSE,30,30,3,2,2,1,1,0.1,0.0666666666666667,0.0666666666666667,0.0333333333333333,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,7,144,ALTA,FALSE,31,31,8,7,5,3,1,0.258064516129032,0.225806451612903,0.161290322580645,0.0967741935483871,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,8,144,ALTA,FALSE,31,5,3,3,3,2,0.161290322580645,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0645161290322581,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,9,144,ALTA,FALSE,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,10,144,ALTA,FALSE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,11,144,ALTA,FALSE,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2017,12,144,ALTA,FALSE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2018,1,24,BAIXA,TRUE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2018,2,24,BAIXA,TRUE,28,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2018,3,24,BAIXA,TRUE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260005401A,Distrito Industrial - Timbó,2018,4,24,BAIXA,TRUE,30,4,4,4,3,3,0.133333333333333,0.133333333333333,0.133333333333333,0.1,0.1,3,FALSE
