fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,260005402A,2025,11932,865,11067,13
CEMADEN,260020302A,2025,9687,746,8941,13
CEMADEN,260030201A,2025,8464,778,7686,13
CEMADEN,260040101A,2017,14062,1,14061,13
CEMADEN,260040101A,2025,7032,264,6768,13
CEMADEN,260050001A,2017,5027,1,5026,12
CEMADEN,260050001A,2025,10051,665,9386,13
CEMADEN,260050002A,2017,12243,1,12242,13
CEMADEN,260050002A,2025,10172,755,9417,13
CEMADEN,260060901A,2025,8470,338,8132,13
CEMADEN,260080701A,2017,12778,1,12777,13
CEMADEN,260080701A,2025,6274,68,6206,13
CEMADEN,260090601A,2025,9421,141,9280,13
CEMADEN,260090602A,2025,4251,844,3407,6
CEMADEN,260090603A,2025,4179,818,3361,6
CEMADEN,260090604A,2025,1915,336,1579,6
CEMADEN,260100301A,2025,5642,4,5638,11
CEMADEN,260105201A,2025,11649,864,10785,13
CEMADEN,260110202A,2025,10097,785,9312,13
CEMADEN,260110203A,2025,3164,741,2423,5
CEMADEN,260110204A,2025,3258,774,2484,5
CEMADEN,260110206A,2025,3207,749,2458,5
CEMADEN,260110207A,2025,3071,773,2298,5
CEMADEN,260120101A,2025,6360,23,6337,13
CEMADEN,260120101C,2017,2188,1,2187,5
CEMADEN,260130001A,2017,16236,1,16235,13
CEMADEN,260130001A,2025,9243,398,8845,13
CEMADEN,260130016H,2025,11967,828,11139,13
CEMADEN,260140901A,2017,13749,1,13748,13
CEMADEN,260140901A,2025,7702,31,7671,11
CEMADEN,260140901H,2017,10020,1,10019,10
CEMADEN,260140902A,2017,13619,1,13618,13
CEMADEN,260140902A,2025,10230,818,9412,13
CEMADEN,260140917H,2025,12132,845,11287,13
CEMADEN,260150802A,2017,9037,1,9036,13
CEMADEN,260150802A,2025,12099,821,11278,13
CEMADEN,260170601A,2025,7125,37,7088,13
CEMADEN,260170602A,2025,3695,752,2943,5
CEMADEN,260170603A,2025,3703,755,2948,5
CEMADEN,260170604A,2025,3676,749,2927,5
CEMADEN,260180501A,2025,6572,26,6546,13
CEMADEN,260190401A,2017,10440,1,10439,13
CEMADEN,260190401A,2025,7585,767,6818,13
CEMADEN,260200101A,2025,9706,746,8960,13
CEMADEN,260200101C,2017,4442,1,4441,10
CEMADEN,260210001A,2025,10877,755,10122,13
CEMADEN,260210001C,2017,11532,1,11531,10
CEMADEN,260220901A,2025,11202,781,10421,13
CEMADEN,260220902A,2025,3440,779,2661,5
CEMADEN,260220903A,2025,3420,766,2654,5
CEMADEN,260220904A,2025,4036,780,3256,6
CEMADEN,260230801A,2025,12701,874,11827,13
CEMADEN,260230803A,2025,3592,810,2782,5
CEMADEN,260230804A,2025,4102,827,3275,5
CEMADEN,260230805A,2025,3642,808,2834,5
CEMADEN,260240701C,2017,16192,1,16191,12
CEMADEN,260250601A,2025,6651,29,6622,13
CEMADEN,260260501C,2017,10129,1,10128,10
CEMADEN,260290201G,2025,4506,195,4311,11
CEMADEN,260290202A,2025,12458,891,11567,13
CEMADEN,260290203A,2017,12608,1,12607,13
CEMADEN,260290203A,2025,11975,829,11146,13
CEMADEN,260290204A,2017,11952,1,11951,13
CEMADEN,260290205A,2017,12884,1,12883,13
CEMADEN,260300901A,2017,9300,1,9299,13
CEMADEN,260300901A,2025,9483,758,8725,13
CEMADEN,260300902A,2025,7389,501,6888,11
CEMADEN,260310801A,2017,11530,2,11528,13
CEMADEN,260310801A,2025,9851,765,9086,13
CEMADEN,260320701A,2025,10666,700,9966,13
CEMADEN,260320701C,2017,11516,1,11515,11
CEMADEN,260330601A,2025,6831,33,6798,13
CEMADEN,260340501A,2025,9573,734,8839,13
CEMADEN,260345401A,2017,16087,1,16086,13
CEMADEN,260345401G,2025,11867,835,11032,13
CEMADEN,260345402A,2017,13077,1,13076,13
CEMADEN,260345403A,2017,6442,1,6441,8
CEMADEN,260345404A,2017,14831,1,14830,13
CEMADEN,260345404A,2025,12100,851,11249,13
CEMADEN,260345405A,2017,6775,1,6774,10
CEMADEN,260345405A,2025,2922,123,2799,11
CEMADEN,260345406A,2017,13768,1,13767,13
CEMADEN,260345406A,2025,12201,875,11326,13
CEMADEN,260350401A,2025,11765,826,10939,13
CEMADEN,260360301A,2025,6345,54,6291,11
CEMADEN,260370201A,2025,7587,61,7526,13
CEMADEN,260390001A,2025,9997,733,9264,13
CEMADEN,260392601A,2025,9709,740,8969,13
CEMADEN,260410601A,2017,11688,1,11687,13
CEMADEN,260410601A,2025,6605,39,6566,13
CEMADEN,260410602A,2017,12265,1,12264,13
CEMADEN,260410602A,2025,7631,592,7039,13
CEMADEN,260410603A,2017,11801,12,11789,13
CEMADEN,260410604A,2017,5982,1,5981,9
CEMADEN,260410605A,2017,7061,1,7060,13
CEMADEN,260410605A,2025,5074,33,5041,11
CEMADEN,260410606A,2017,11633,1,11632,13
CEMADEN,260410606A,2025,11419,796,10623,13
CEMADEN,260410607A,2017,12038,1,12037,13
CEMADEN,260415501A,2025,7055,196,6859,11
CEMADEN,260420501A,2017,12966,1,12965,13
CEMADEN,260420502A,2017,8539,1,8538,13
CEMADEN,260420502A,2025,10523,799,9724,13
CEMADEN,260420503A,2017,9623,1,9622,13
CEMADEN,260450201A,2017,15100,1,15099,13
CEMADEN,260450201A,2025,11770,814,10956,13
CEMADEN,260470001A,2017,14046,1,14045,13
CEMADEN,260470001A,2025,5888,158,5730,12
CEMADEN,260480901A,2017,15562,1,15561,13
CEMADEN,260480901A,2025,10446,841,9605,13
CEMADEN,260490801A,2025,10624,748,9876,13
CEMADEN,260510301A,2025,6410,26,6384,13
CEMADEN,260515201A,2025,9736,746,8990,13
CEMADEN,260515201C,2017,3852,1,3851,10
CEMADEN,260520201A,2017,14613,1,14612,13
CEMADEN,260520201A,2025,12091,839,11252,13
CEMADEN,260520202H,2017,13707,1,13706,13
CEMADEN,260530101A,2025,5913,16,5897,13
CEMADEN,260530101C,2017,7072,1,7071,10
CEMADEN,260540001A,2025,4129,333,3796,12
CEMADEN,260545901A,2025,1162,1,1161,11
CEMADEN,260550901A,2025,8075,40,8035,11
CEMADEN,260570701A,2017,9938,1,9937,13
CEMADEN,260570701A,2025,9224,746,8478,13
CEMADEN,260570701C,2017,1520,1,1519,9
CEMADEN,260570702A,2025,9800,736,9064,13
CEMADEN,260580601A,2025,9404,645,8759,13
CEMADEN,260580601C,2017,12081,1,12080,9
CEMADEN,260590501A,2017,12982,1,12981,13
CEMADEN,260590501A,2025,11136,766,10370,13
CEMADEN,260590518H,2025,11888,823,11065,13
CEMADEN,260600201C,2017,11896,1,11895,9
CEMADEN,260600202A,2025,3925,763,3162,5
CEMADEN,260600203A,2025,3953,768,3185,5
CEMADEN,260600204A,2025,3872,766,3106,5
CEMADEN,260620001A,2017,14079,14,14065,13
CEMADEN,260620001A,2025,11578,841,10737,13
CEMADEN,260620002A,2017,12905,1,12904,13
CEMADEN,260620003H,2017,10676,1,10675,10
CEMADEN,260620003H,2025,2994,148,2846,9
CEMADEN,260630901A,2025,6622,52,6570,13
CEMADEN,260640801A,2025,4218,868,3350,6
CEMADEN,260640802A,2025,3652,730,2922,6
CEMADEN,260640803A,2025,3491,756,2735,5
CEMADEN,260650701A,2025,10857,750,10107,13
CEMADEN,260660601A,2017,10106,24,10082,13
CEMADEN,260660601A,2025,6861,748,6113,13
CEMADEN,260670501A,2025,6945,53,6892,13
CEMADEN,260680403A,2017,12734,1,12733,13
CEMADEN,260680403A,2025,11856,874,10982,13
CEMADEN,260680404A,2017,14878,1,14877,13
CEMADEN,260680404A,2025,10512,857,9655,13
CEMADEN,260680405A,2017,12970,1,12969,13
CEMADEN,260680405A,2025,6636,837,5799,10
CEMADEN,260690301A,2025,9844,741,9103,13
CEMADEN,260700001A,2025,9637,733,8904,13
