fonte_dados,cod_estacao,ano,n,minimo,p50,p95,p99,p999,maximo
CEMADEN,260005401A,2017,9885,0,0,0.79,2.76,5.73204,13.01
CEMADEN,260005401A,2018,6876,0,0,0.59,2.36,6.30125,9.55
CEMADEN,260005401A,2019,9181,0,0,1.18,3.74,7.17379999999997,11.18
CEMADEN,260005401A,2020,6275,0,0,0.663999999999869,2.36,6.25067999999994,9.22
CEMADEN,260005401A,2021,10951,0,0,1.08,3.15,8.31049999999999,14.25
CEMADEN,260005401A,2022,13298,0,0,0.79,2.36,7.10703,13.4
CEMADEN,260005401A,2023,12191,0,0,0.79,1.77,5.2738999999999,9.77
CEMADEN,260005401A,2024,747,0,0,0.79,5.29279999999999,11.03654,11.79
CEMADEN,260005402A,2017,1082,0,0,0.2,1.60800000000001,3.11841000000004,3.35
CEMADEN,260005402A,2018,6122,0,0,1.38,3.74,8.89038999999996,14.48
CEMADEN,260005402A,2019,6805,0,0,1.37,3.74,7.01055999999997,2452.77
CEMADEN,260005402A,2020,9898,0,0,0.98,3.15,7.76943999999959,17.08
CEMADEN,260005402A,2021,10690,0,0,0.98,3.15,7.09348999999982,12.87
CEMADEN,260005402A,2022,11181,0,0,1.37,3.94,11.6819999999998,16.85
CEMADEN,260005402A,2023,10791,0,0,0.98,3.15200000000001,7.5682999999998,24.66
CEMADEN,260005402A,2024,9784,0,0,0.98,3.55,10.0489700000002,25.39
CEMADEN,260005402A,2025,11067,0,0,1.18,3.74,7.71933999999999,20.81
CEMADEN,260010401A,2018,8789,0,0,0.2,2.16,8.32,13.01
CEMADEN,260010401A,2019,5916,0,0,0.42,3.15,9.41970000000003,13.84
CEMADEN,260010401A,2020,4930,0,0,0,0.79,6.92839999999997,14.5
CEMADEN,260010401A,2021,6340,0,0,0,0.98,5.37779000000002,8.72
CEMADEN,260010401A,2022,8663,0,0,0,0,0,0.2
CEMADEN,260010401A,2023,8760,0,0,0,0,3.15,14.26
CEMADEN,260010401A,2024,8781,0,0,0.2,2.17,11.4261999999999,22.1
CEMADEN,260010401A,2025,4241,0,0,0.42,2.36,9.73680000000058,10.98
CEMADEN,260020301A,2018,810,0,0,1.18,4.70309999999999,11.6498600000001,13.64
CEMADEN,260020301A,2019,393,0,0.2,3.15,6.73199999999999,11.80584,12.19
CEMADEN,260020301U,2017,443,0,0,0,0.2,0.823199999999997,1
CEMADEN,260020301U,2018,2344,0,0,0,0,1.2,11.6
CEMADEN,260020301U,2019,665,0,0,0,0.2,0.4,0.4
CEMADEN,260020301U,2022,1906,0,0,0.2,0.6,2.05700000000002,16.2
CEMADEN,260020302A,2024,3728,0,0,0,0.98,7.45238000000028,11.38
CEMADEN,260020302A,2025,8941,0,0,0,0.98,4.92,12.62
CEMADEN,260030201A,2019,6479,0,0,0.39,0.59,1.86917999999999,724.86
CEMADEN,260030201A,2020,5777,0,0,0.59,2.36,6.89144000000013,16.47
CEMADEN,260030201A,2021,4032,0,0,0.2,0.79,3.15,5.91
CEMADEN,260030201A,2022,10708,0,0,0.59,1.77,5.63840999999988,18.31
CEMADEN,260030201A,2023,10370,0,0,0.39,1.37,6.82250999999988,14.51
CEMADEN,260030201A,2024,8478,0,0,0.39,1.38,5.80936999999985,10.98
CEMADEN,260030201A,2025,7686,0,0,0.39,0.98,2.22984999999992,4.72
CEMADEN,260040101A,2017,14061,0,0,0.59,2.24599999999993,5.8886000000001,12.26
CEMADEN,260040101A,2018,9727,0,0,0.59,2.36,6.1,9.71
CEMADEN,260040101A,2019,4604,0,0,0.98,2.17,5.76834999999996,8.93
