fonte_dados,cod_estacao,nome_estacao,ano,datahora_local,precipitacao_mm,arquivo_origem
CEMADEN,260820602A,JOAQUIM NABUCO - APAC,2022,2022-10-06T18:00:00Z,13105.58,data(75).csv
CEMADEN,260100301A,ANGELIM - APAC,2019,2019-11-19T05:10:00Z,6901.58,data(40).csv
CEMADEN,260100301A,ANGELIM - APAC,2019,2019-11-19T06:00:00Z,6901.58,data(40).csv
CEMADEN,260100301A,ANGELIM - APAC,2019,2019-11-19T19:20:00Z,6901.58,data(40).csv
CEMADEN,260100301A,ANGELIM - APAC,2019,2019-11-19T23:40:00Z,6901.58,data(40).csv
CEMADEN,260005402A,ABREU E LIMA - APAC,2019,2019-05-02T17:10:00Z,2452.77,data(34).csv
CEMADEN,261070707A,PAULISTA - APAC,2019,2019-07-05T11:30:00Z,1869.53,data(36).csv
CEMADEN,261190303A,RIO FORMOSO - APAC,2025,2025-10-07T18:40:00Z,859.55,data(111).csv
CEMADEN,261160610A,Alto Mandu,2020,2020-06-03T16:20:00Z,728.22,data(47).csv
CEMADEN,260030201A,AGRESTINA - APAC,2019,2019-05-21T12:00:00Z,724.86,data(34).csv
CEMADEN,261580501A,TUPANATINGA - APAC,2020,2020-06-02T17:50:00Z,686.47,data(47).csv
CEMADEN,260040101A,Bairro D´Ouro,2020,2020-05-20T17:20:00Z,635.48,data(46).csv
CEMADEN,260515201A,LAGOAS - APAC,2021,2021-08-30T19:20:00Z,614.29,data(61).csv
CEMADEN,260790103A,Cavaleiro,2018,2018-04-26T20:00:00Z,597.72,data(21).csv
CEMADEN,261370105A,SAO LOURENCO DA MATA - APAC,2018,2018-04-27T12:40:00Z,504.57,data(21).csv
CEMADEN,260415501A,CASINHAS - APAC,2023,2023-07-19T19:50:00Z,467.43,data(84).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-09-22T12:10:00Z,431.56,data(62).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-09-18T12:10:00Z,431.35,data(62).csv
CEMADEN,261160601A,Varzea,2023,2023-12-30T18:00:00Z,429.67,data(89).csv
CEMADEN,261000402A,Japaranduba,2018,2018-04-25T14:20:00Z,424.22,data(21).csv
CEMADEN,260960001A,Águas Compridas,2019,2019-08-01T19:20:00Z,401.14,data(37).csv
CEMADEN,260140902A,Hospital Municipal,2022,2022-03-19T15:10:00Z,381.21,data(68).csv
CEMADEN,260360301A,CAMUTANGA - APAC,2022,2022-03-25T17:20:00Z,294.35,data(68).csv
CEMADEN,260620001A,Estádio Municipal,2022,2022-06-06T20:50:00Z,264,data(71).csv
CEMADEN,261160607A,Alto do Céu,2022,2022-03-18T16:20:00Z,255.54,data(68).csv
CEMADEN,260420502A,Canaã,2017,2017-05-22T09:20:00Z,254.91,data(10).csv
CEMADEN,260105201A,ARACOIABA - APAC,2024,2024-06-25T09:40:00Z,253.44,data(95).csv
CEMADEN,261640704A,Livramento,2022,2022-03-07T18:30:00Z,250.5,data(68).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-12-12T08:30:00Z,242.53,data(89).csv
CEMADEN,260820602A,JOAQUIM NABUCO - APAC,2022,2022-12-21T23:20:00Z,242.11,data(77).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-11-16T05:40:00Z,228.68,data(88).csv
CEMADEN,261540901A,TORITAMA - APAC,2021,2021-08-14T15:10:00Z,228.47,data(61).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-11-16T11:50:00Z,228.26,data(88).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-11-19T05:20:00Z,228.26,data(88).csv
CEMADEN,261000403A,SANTO ANTÔNIO DOS PALMARES - APAC,2022,2022-04-07T15:20:00Z,225.33,data(69).csv
CEMADEN,260950101A,Engenho Coqueiro,2023,2023-03-03T10:40:00Z,218.19,data(80).csv
CEMADEN,260790102A,Cavaleiro 2,2022,2022-01-18T15:50:00Z,215.88,data(66).csv
CEMADEN,260790102A,Cavaleiro 2,2022,2022-01-25T12:20:00Z,215.88,data(66).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-15T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-16T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-17T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-18T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-20T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-25T12:10:00Z,215.67,data(63).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-11-26T12:30:00Z,215.67,data(64).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-12-02T13:00:00Z,215.67,data(65).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-12-05T12:10:00Z,215.67,data(65).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-12-18T12:20:00Z,215.67,data(65).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-12-23T12:10:00Z,215.67,data(65).csv
CEMADEN,260790102A,Cavaleiro 2,2022,2022-01-16T12:30:00Z,215.67,data(66).csv
CEMADEN,260790102A,Cavaleiro 2,2022,2022-01-18T14:30:00Z,215.67,data(66).csv
CEMADEN,260790102A,Cavaleiro 2,2022,2022-01-22T15:00:00Z,215.67,data(66).csv
CEMADEN,260790102A,Cavaleiro 2,2021,2021-10-03T12:10:00Z,214.84,data(63).csv
CEMADEN,261160607A,Alto do Céu,2023,2023-11-19T11:50:00Z,214.84,data(88).csv
CEMADEN,260490801A,CUMARU - APAC,2021,2021-08-05T14:30:00Z,214.21,data(61).csv
CEMADEN,260410602A,Cidade Jardim,2017,2017-05-29T10:10:00Z,213.58,data(10).csv
CEMADEN,260960003A,Bonsucesso,2023,2023-10-10T17:40:00Z,205.8,data(87).csv
CEMADEN,260960003A,Bonsucesso,2023,2023-10-13T16:40:00Z,205.6,data(87).csv
CEMADEN,260790101A,Muribeca,2024,2024-01-15T18:50:00Z,199.73,data(90).csv
CEMADEN,260140902A,Hospital Municipal,2022,2022-04-07T10:50:00Z,194.48,data(69).csv
CEMADEN,261160601A,Varzea,2019,2019-06-14T03:10:00Z,194.06,data(35).csv
CEMADEN,260960001A,Águas Compridas,2019,2019-06-15T17:30:00Z,191.34,data(35).csv
CEMADEN,260345404A,Jardim Primavera,2024,2024-04-21T09:10:00Z,180.01,data(93).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T15:40:00Z,176.65,data(104).csv
CEMADEN,260750501A,ITAIBA - APAC,2022,2022-09-11T04:00:00Z,172.25,data(74).csv
CEMADEN,261520101A,GUARANI - APAC,2020,2020-02-17T19:50:00Z,165.74,data(43).csv
CEMADEN,260700001A,Inajá [Estádio Municipal] - APAC,2024,2024-01-30T12:30:00Z,164.48,data(90).csv
CEMADEN,260875001A,Jutaí,2021,2021-03-12T17:10:00Z,163.85,data(56).csv
