criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,media_a_mm,media_b_mm,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,mediana_abs_diff_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,205,191,55.0432276657061,0.975526950707111,0.903763281499228,0.97876094829516,0.906030245015068,4.63414634146341,5.66624390243903,950,1161.58,1.22271578947368,1.03209756097561,1.64936585365854,4.41043043084979,0.2,0.96261780104712,1.58659685863874,4.23687205574513,0.917073170731707,0.862903225806452,0.868292682926829,0.7,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_60min,199,184,53.0259365994236,0.959730866136065,0.798340276388615,0.961144353690507,0.794997093440326,4.80301507537689,4.94929648241206,955.8,984.91,1.03045616237707,0.146281407035176,2.23743718592965,5.37618763319666,0.35,0.06125,2.28527173913044,5.48207389945908,0.849246231155779,0.758064516129032,0.814070351758794,0.584269662921348,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_60min,288,272,78.3861671469741,0.975606840814756,0.821470764252019,0.975874816063371,0.819136916613605,6.39420138888889,5.34986111111111,1841.53,1540.76,0.836673852720292,-1.04434027777778,1.77107638888889,4.16451765414275,0.405,-1.06875,1.82779411764706,4.24030251764853,0.822916666666667,0.735751295336788,0.871527777777778,0.751677852348993,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_70min,301,284,81.8443804034582,0.925402824605147,0.877099393345778,0.928375766788893,0.881315402648602,5.378073089701,6.66950166112957,1618.8,2007.52,1.24012849023968,1.29142857142857,2.21800664451827,6.84501550102718,0.38,1.24144366197183,2.17489436619718,6.86852919553081,0.910299003322259,0.871428571428572,0.857142857142857,0.734567901234568,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_70min,304,286,82.4207492795389,0.890939002210373,0.75514569393348,0.892483116439237,0.753770685850456,5.67565789473684,5.92430921052632,1725.4,1800.99,1.04381013098412,0.248651315789474,3.05430921052632,7.70093913018679,0.68,0.171258741258741,3.10545454545455,7.8559482163277,0.825657894736842,0.757990867579909,0.782894736842105,0.614035087719298,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_70min,308,291,83.8616714697406,0.975650775808443,0.836260364057382,0.975903738008703,0.833098309712908,6.78457792207792,5.73564935064935,2089.65,1766.58,0.845395161869213,-1.04892857142857,1.80048701298701,4.17637274266968,0.550000000000001,-1.07742268041237,1.85948453608247,4.25462913450338,0.831168831168831,0.755868544600939,0.876623376623377,0.771084337349398,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_90min,323,306,88.1844380403458,0.91868827014852,0.873807755704626,0.921478468312624,0.877294449956825,5.53622291021672,6.89160990712074,1788.2,2225.99,1.24482160832122,1.35538699690402,2.31068111455108,7.01955880966553,0.380000000000001,1.31254901960784,2.27581699346405,7.05038449792828,0.913312693498452,0.877729257641921,0.854489164086687,0.735955056179775,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720801A,Centro,2.31199229299342
max_gap_90min,318,300,86.4553314121038,0.87882932185421,0.712607279058107,0.880285900303937,0.708579211203722,5.62389937106918,5.88088050314465,1788.4,1870.12,1.04569447550883,0.256981132075472,3.30276729559748,7.97181449954114,0.8,0.1837,3.36643333333333,8.13040419249457,0.817610062893082,0.748917748917749,0.761006289308176,0.582417582417583,CUPE,2021,260720801G,Campo do Avião,1.69909448841243,260720804A,Rurópolis,3.31306361103069
max_gap_90min,318,301,86.7435158501441,0.975365328776281,0.840238326347621,0.975605475401957,0.837304429047382,6.98009433962264,5.89830188679245,2219.67,1875.66,0.845017502601738,-1.08179245283019,1.8501572327044,4.17995452263787,0.59,-1.11119601328904,1.91,4.25576907642951,0.833333333333333,0.762331838565022,0.877358490566038,0.778409090909091,CUPE,2021,260720801A,Centro,2.31199229299342,260720804A,Rurópolis,3.31306361103069
max_gap_60min,313,232,84.3636363636364,0.967878442466966,0.906194242402677,0.970070492500969,0.921542595974355,4.29162939297125,4.11150159744409,1343.28,1286.9,0.958028110297183,-0.180127795527157,1.17789137380192,2.68023591065063,0.2,-0.136465517241379,1.26241379310345,2.77744192030898,0.881789137380192,0.814070351758794,0.894568690095847,0.777027027027027,IFPE,2018,260720801A,Centro,2.94037517011968,260720804A,Rurópolis,4.23417961072742
