cod_estacao,nome_estacao,ano_alvo,n_dias_com_diferenca,maior_abs_diferenca_mm,soma_abs_diferencas_mm
260720801G,Campo do Avião,2021,78,4.00000000000004,58.4000000000003
260720801A,Centro,2021,80,6.91000000000001,63.9600000000007
260720804A,Rurópolis,2021,64,2.36000000000001,50.4000000000002
260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,2021,44,0.789999999999996,13.4400000000001
260290202A,Charneca,2021,72,1.96000000000001,51.1999999999998
260290204A,Enseado dos Corais,2021,92,3.16,68.5200000000007
260290203A,Torrinha,2021,88,8.59000000000003,95.0400000000001
260290201G,Pirapama,2021,72,1.8,40.8000000000005
260720802A,Camela,2021,18,1.37000000000002,12.5600000000002
260290205A,Pontes dos Carvalhos,2021,49,3.15000000000003,35.1000000000005
260720801A,Centro,2018,34,3.94,28.8200000000003
260720804A,Rurópolis,2018,24,4.13,31.8800000000003
260290202A,Charneca,2018,4,1.38,4.34000000000001
260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,2018,27,4.33,24.4400000000001
260290203A,Torrinha,2018,22,2.56,11.0400000000002
260290204A,Enseado dos Corais,2018,39,2.16,29.5800000000003
260720803A,Porto de Galinhas,2018,16,10.79,34.5800000000002
260720802A,Camela,2018,33,6.49,34.6600000000003
260290205A,Pontes dos Carvalhos,2018,16,0.98000000000004,9.8600000000002
261420402A,SIRINHAEM - APAC,2021,23,10.17,36.5199999999999
261420401A,Centro,2021,51,3.94,51.2000000000001
260720801G,Campo do Avião,2025,37,3.00000000000002,23.2000000000002
260720804A,Rurópolis,2025,38,6.15,35.1000000000003
260720801A,Centro,2025,25,2.36000000000002,16.9800000000002
260290204A,Enseado dos Corais,2025,22,2.16,21.2400000000001
260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,2025,60,5.51000000000001,43.7800000000003
260290202A,Charneca,2025,55,3.34999999999999,38.2200000000006
260290203A,Torrinha,2025,49,5.51000000000001,46.4400000000003
260290201G,Pirapama,2025,31,3.19999999999999,24.4000000000007
261420401A,Centro,2025,28,4.92,22.0400000000002
