estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,precip_diaria_mm_sens_midnight,n_registros_validos,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao,diferenca_midnight_mm
CUPE,2021,2021-01-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,25,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,0
CUPE,2021,2021-01-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,7.24631578947368,TRUE,0
CUPE,2021,2021-01-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,15.0181018518333,TRUE,0
CUPE,2021,2021-01-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1,1,25,3,0.6,25,70,FALSE,TRUE,TRUE,TRUE,7.7978947368421,TRUE,0
CUPE,2021,2021-01-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.4,0.4,24,1,0.4,24,70,FALSE,TRUE,TRUE,TRUE,9.51111111111111,TRUE,0
CUPE,2021,2021-01-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,19.3023529411765,TRUE,0
CUPE,2021,2021-01-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.0575,TRUE,0
CUPE,2021,2021-01-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,9.25428571428571,TRUE,0
CUPE,2021,2021-01-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.0134782608696,TRUE,0
CUPE,2021,2021-01-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.535,TRUE,0
CUPE,2021,2021-01-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.8,1.8,27,3,1,27,60,TRUE,TRUE,TRUE,TRUE,22.3675,TRUE,0
CUPE,2021,2021-01-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.8,1.8,26,2,1.6,26,60,TRUE,TRUE,TRUE,TRUE,9.62705882352941,TRUE,0
CUPE,2021,2021-01-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,3.4,3.4,29,7,1.2,29,70,FALSE,TRUE,TRUE,TRUE,11.5095833333333,TRUE,4.44089209850063e-16
CUPE,2021,2021-01-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,9.115,TRUE,0
CUPE,2021,2021-01-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,13.9225,TRUE,0
CUPE,2021,2021-01-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,19.0875,TRUE,0
CUPE,2021,2021-01-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.6,0.6,25,1,0.6,25,60,TRUE,TRUE,TRUE,TRUE,14.5225,TRUE,0
